,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,"5,607","5,424","5,408","5,382","5,461","5,363","5,443","5,203","5,085","5,173","5,243","4,872","5,233","5,450","4,131","5,740","4,733","4,792","5,453","5,711","5,507","5,848","4,037","2,546",304,"-4,160","2,901","2,741","4,256","5,743","4,787","5,470","3,509","2,863","3,313","2,585","4,713","4,659","5,450","3,160"
Depreciation & Amortization,571,732,630,582,727,831,838,892,"1,295",938,"1,365","1,372","1,237","1,241","1,316","1,612","1,431","1,404","1,387","1,371","1,449","1,651","1,840","2,135","1,868","2,194","2,382","2,292","2,237","1,936","1,917","1,800","1,791","1,772","1,690","1,579","1,552","1,628","1,597",0
Share-Based Compensation,692,452,381,387,708,470,347,433,716,460,298,471,740,446,409,451,792,494,573,396,902,486,497,389,582,371,384,429,929,546,383,"-2,340",0,0,0,0,0,"1,675",982,0
Other Operating Activities,"-4,029","-9,847","8,643","-3,486","-4,381","-8,315","12,309","-11,557","-1,804","-13,935","-9,347","-2,033","5,981","-11,370","3,666","-7,561","8,274","-7,539",-755,"7,556",93,"-8,654","-19,349","7,353","14,519","17,714","-14,243","-28,227","-10,892","-16,287","-11,897",-113,"-5,101","2,953","7,013","3,081","1,141","-8,717","7,476","-3,160"
Operating Cash Flow,"2,841","-3,239","15,062","2,865","2,515","-1,651","18,937","-5,029","5,292","-7,364","-2,441","4,682","13,191","-4,233","9,522",242,"15,230",-849,"6,658","15,034","7,951",-669,"-12,975","12,423","17,273","16,119","-8,576","-22,765","-3,470","-8,062","-4,810","4,817",199,"7,588","12,016","7,245","7,406",-755,"15,505",0
Operating Cash Flow Growth,-68.91%,-,-28.63%,-80.14%,-11.47%,-,25.73%,-,110.42%,-,-,-,149.26%,-,-,-94.83%,15.46%,-,-30.08%,6112.40%,-47.79%,-,-,-17.37%,117.24%,-,-,-,-,-,-,-,-,-,-,50.40%,3621.61%,-,29.04%,-
Capital Expenditures,0,0,0,0,0,0,0,"-30,518","-38,408","-7,021","-8,426","21,785","-32,376","35,380","-3,526","-5,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acquisitions,0,0,0,0,0,0,0,-3,"-28,904",-83,-810,-787,-46,43,-20,-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,"-25,494","-31,224","-40,904","-48,959","-36,019","-53,180","-38,055","-48,429","-27,551","-55,090","-72,936","-75,933","-31,670","-69,319","-58,605","-50,179","-30,004","-31,383","-32,483","-33,851","-17,273","-35,417","-50,623","-44,971","-71,999","-69,288","-94,212","-87,118","-114,123","-110,976","-62,404","-79,962","-40,403","-42,229","-23,293","-12,201","-24,772","-25,062","-19,560",-
Other Investing Activities,"7,269","-3,296","-1,626","15,854","-6,905","67,978","-6,252","44,148","44,497","43,056","42,488","42,004","34,819","75,769","58,865","41,278","40,165","31,933","32,263","15,606","8,247","24,719","43,242","42,445","27,696","172,975","136,870","107,630","129,651","126,252","55,383","48,560","17,442","37,721","24,212","-3,725","16,817","45,663","27,188",-
Investing Cash Flow,"-18,225","-34,520","-42,530","-33,105","-42,924","14,798","-44,307","-34,802","-50,366","-19,138","-39,684","-12,931","-29,273","41,873","-3,286","-14,478","10,161",550,-220,"-18,245","-9,026","-10,698","-7,381","-2,526","-44,303","103,687","42,658","20,512","15,528","15,276","-7,021","-31,402","-22,961","-4,508",919,"-15,926","-7,955","20,601","7,628",0
Dividends Paid,"-1,897","-2,020","-2,145","-2,081","-2,126","-2,220","-2,246","-2,234","-2,244","-2,259","-2,279","-2,256","-2,267","-2,255","-2,309","-2,278","-2,285","-2,309","-2,347","-2,373","-2,291","-2,374","-2,458","-2,466","-2,312","-2,397",-655,-778,-659,-765,"-1,046","-1,157","-1,178","-1,284","-1,355","-1,476","-1,357","-1,449","-1,514",0
Common Stock Issued,617,435,324,464,614,398,442,272,479,316,229,391,572,150,183,306,382,64,102,84,181,61,114,24,209,245,59,58,66,48,100,"4,447",0,0,0,0,0,"-9,330","48,043",0
Share Repurchases,"-1,025","-2,954","-2,490","-2,945","-2,592","-1,994","-2,137","-1,974","-2,029","-2,214","-1,839","-2,034","-2,175","-2,287","-2,601","-2,845","-3,029","-2,923","-9,532","-7,299","-4,820","-4,898","-8,998","-7,367","-5,877",-2,-3,"-1,135","-5,121","-1,915","-7,091","-7,012","-6,018",-4,-5,-6,"-4,016","-4,005","-3,205",0
Other Financing Activities,"15,451","37,294","24,196","30,451","39,551","-13,425","22,745","41,535","44,783","27,554","41,216","9,522","14,571","-37,272","-7,753","17,524","-40,069","-39,325","-17,651","11,965","-25,954","24,241","-1,994","-22,303","32,815","-5,962","-49,222","19,680","5,535","-20,972","-1,800","-16,174","-14,413","-48,555","-1,270","3,853","-4,836","-15,085","-10,569",-
Financing Cash Flow,"15,196","38,663","24,865","31,779","40,631","-13,253","23,078","41,547","45,047","27,825","41,005","9,691","15,051","-37,090","-7,278","18,397","-38,943","-38,647","-10,364","16,975","-23,244","26,826","4,660","-17,378","36,589","-8,112","-49,815","20,095","10,063","-19,774","4,345","-5,872","-9,573","-49,835","-2,620","2,383","-2,177","-21,859","39,165",0
Net Cash Flow,-188,904,"-2,603","1,539",222,-106,"-2,292","1,716",-27,"1,323","-1,120","1,442","-1,031",550,"-1,042","4,161","-13,552","-38,946","-3,926","13,764","-24,319","15,459","-15,696","-7,481","9,559","111,694","-15,733","17,842","22,121","-12,560","-7,486","-32,457","-32,335","-46,755","10,315","-6,298","-2,726","-2,013","62,298",0
Free Cash Flow,"2,841","-3,239","15,062","2,865","2,515","-1,651","18,937","-35,547","-33,116","-14,385","-10,867","26,467","-19,185","31,147","5,996","-5,038","15,230",-849,"6,658","15,034","7,951",-669,"-12,975","12,423","17,273","16,119","-8,576","-22,765","-3,470","-8,062","-4,810","4,817",199,"7,588","12,016","7,245","7,406",-755,"15,505",0
Free Cash Flow Growth,-68.91%,-,-28.63%,-80.14%,-11.47%,-,25.73%,-,-,-,-,-,-,-,-,-,-,-,11.04%,-,-47.79%,-,-,-17.37%,117.24%,-,-,-,-,-,-,-,-,-,-,50.40%,3621.61%,-,29.04%,-
Free Cash Flow Margin,14.36%,-15.71%,73.47%,13.60%,12.03%,-7.94%,90.37%,-167.97%,-150.86%,-65.47%,-48.98%,124.40%,-88.82%,141.70%,27.65%,-24.26%,72.01%,-3.94%,30.35%,71.66%,36.79%,-3.10%,-58.95%,62.55%,98.45%,90.22%,-45.47%,-127.00%,-19.21%,-39.77%,-25.54%,23.10%,1.13%,44.56%,61.60%,36.85%,35.73%,-3.68%,74.34%,-
Free Cash Flow Per Share,0.53,-0.61,2.84,0.54,0.48,-0.32,3.65,-6.87,-6.44,-2.81,-2.13,5.21,-3.78,6.18,1.20,-1.02,3.09,-0.17,1.38,3.20,1.73,-0.15,-2.96,2.93,4.21,3.93,-2.08,-5.48,-0.83,-1.94,-1.18,1.21,0.05,1.99,3.14,1.89,1.94,-0.20,4.21,-
