,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,"4,990","4,705","6,395","4,617","4,155","5,164","4,013","9,428","5,478","5,589","5,001","7,198","6,286","4,060","4,262","4,067","32,551","-1,138","12,011","18,540","-25,392","21,661","14,073","16,524","29,159","-49,746","26,295","30,137","35,835","11,711","28,094","10,344","39,646","5,580","-43,621","-2,798","18,164","35,504","35,912","-12,767"
Depreciation & Amortization,"1,675","1,772","1,810","1,854","1,934","1,871","1,941","1,989","1,978","2,125","2,234","2,246","2,296","2,243","2,296","2,296","2,353","2,387","2,387","2,395","2,610","2,417","2,456","2,534","2,657","2,585","2,524","2,583","2,904","2,673","2,672","2,668","2,705","2,703","2,710","2,728","2,758","3,051","3,096","3,210"
Other Operating Activities,302,"-1,549","-1,300","5,853","1,764","-1,072","2,026","-1,205",-120,-260,575,389,"-1,032","11,992","1,769","4,514","-26,675","6,307","-5,863","-10,471","33,627","-16,501","-7,344","-9,210","-19,739","53,959","-18,151","-20,959","-28,193","-5,078","-20,513",-945,"-34,556","-1,457","49,442","11,752","-10,721","-29,862","-26,574","23,226"
Operating Cash Flow,"6,967","4,928","6,905","12,324","7,853","5,963","7,980","10,212","7,336","7,454","7,810","9,833","7,550","18,295","8,327","10,877","8,229","7,556","8,535","10,464","10,845","7,577","9,185","9,848","12,077","6,798","10,668","11,761","10,546","9,306","10,253","12,067","7,795","6,826","8,531","11,682","10,201","8,693","12,434","13,669"
Operating Cash Flow Growth,45.45%,-18.61%,0.71%,57.48%,12.72%,21.00%,15.57%,-17.14%,-6.58%,25.00%,-2.13%,-3.71%,2.92%,145.44%,6.62%,10.62%,8.99%,-58.70%,2.50%,-3.80%,31.79%,0.28%,7.62%,-5.89%,11.36%,-10.28%,16.15%,19.43%,-12.68%,36.89%,-3.89%,2.60%,-26.09%,-26.65%,-16.80%,-3.19%,30.87%,27.35%,45.75%,17.01%
Capital Expenditures,"-3,360","-2,794","-3,299","-4,079","-5,013","-3,447","-3,389","-4,967","-4,279","-2,843","-3,301","-3,285","-3,525","-2,355","-2,794","-3,262","-3,297","-2,589","-3,740","-3,711","-4,497","-3,151","-3,596","-4,392","-4,840","-2,968","-3,219","-3,329","-3,496","-2,519","-3,144","-3,581","-4,032","-3,090","-3,743","-4,074","-4,557","-3,713","-4,685","-5,303"
Acquisitions,"-5,601",-700,24,-393,"-3,755","-3,995",-505,"-5,560",-100,"-30,185",-255,-375,-584,"-1,599",-122,-919,-68,-112,-261,-148,"-2,758",-262,-318,-152,-951,-26,-56,-29,"-2,421",-47,-57,-100,-252,-34,-69,-80,"-10,411","-7,629",-887,-48
Change in Investments,"6,574",-575,"2,258","-1,798",-538,-697,"-1,752",-557,"1,082","-10,442","-2,833","-21,045","-5,175","-18,397","-2,592","11,044","-13,040","25,162","3,744","-29,633","-14,235","-6,855","11,251","23,998","-14,857","-24,891","-10,676","-7,527","24,842","13,313","-19,520","26,231","22,330","-55,775","-11,487","-3,490","8,669","3,241","15,896","-22,792"
Other Investing Activities,316,214,48,128,-54,7,34,-20,144,-390,-7,-214,234,-181,43,-12,"-3,458",-153,379,31,-328,67,-44,"-1,090",-429,81,-796,-970,"-2,276",449,92,964,-735,333,-308,308,207,182,331,95
Investing Cash Flow,"-2,071","-3,855",-969,"-6,142","-9,360","-8,132","-5,612","-11,104","-3,153","-43,860","-6,396","-24,919","-9,050","-22,532","-5,465","6,851","-19,863","22,308",122,"-33,461","-21,818","-10,201","7,293","18,364","-21,077","-27,804","-14,747","-11,855","16,649","11,196","-22,629","23,514","17,311","-58,566","-15,607","-7,336","-6,092","-7,919","10,655","-28,048"
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-928,-418,"-1,585",-548,-674,"-2,043","-1,741","-4,998","-8,973","-8,994","-6,580","-5,980","-7,632","-6,869","-3,180","-1,011","-1,055","-2,608","-4,450","-1,400","-1,128"
Debt Issued / Paid,"1,134",961,568,897,"1,570","2,928",451,671,-14,"11,588",211,428,452,"2,038","-2,415","-1,382",482,"-3,692","-1,571",942,198,196,"2,627","2,834",420,"1,554","2,579",99,"2,559","-1,637",958,262,-335,"6,190","1,072",-886,"1,795","-5,092","2,112",-19
Other Financing Activities,40,"-1,272",-18,40,-15,-110,-73,-69,19,25,-71,15,143,-23,-69,-16,-13,-102,-151,-24,-66,-289,10,-62,-156,-159,-55,18,-233,-132,-207,-416,60,-367,"-1,097",23,-538,-380,-423,"-3,489"
Financing Cash Flow,"1,174",-311,550,937,"1,555","2,818",378,602,5,"11,613",140,443,595,"2,015","-2,484","-1,398",469,"-3,794","-1,722",-10,-286,"-1,678","2,089","2,098","-1,779",-346,"-2,474","-8,856","-6,668","-8,349","-5,229","-7,786","-7,144","2,643","-1,036","-1,918","-1,351","-9,922",289,"-4,636"
Exchange Rate Effect,37,0,21,-194,-116,-207,130,-37,-51,7,-5,-12,-162,61,122,39,26,92,-133,-68,-31,15,11,-121,120,-184,44,-200,432,-61,-51,14,103,53,-326,-296,285,47,-23,-34
Net Cash Flow,"6,107",762,"6,507","6,925",-68,442,"2,876",-327,"4,137","-24,786","1,549","-14,655","-1,067","-2,161",500,"16,369","-11,139","26,162","6,802","-23,075","-11,290","-4,287","18,578","30,189","-10,659","-21,536","-6,509","-9,150","20,959","12,092","-17,656","27,809","18,065","-49,044","-8,438","2,132","3,043","-9,101","23,355","-19,049"
