,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"292,537","308,556","312,267","340,804","369,620","355,462","336,045","321,538","324,390","350,872","357,049","355,868","402,026","411,021","417,950","452,330","488,698","492,346","460,583","530,417","502,503","494,364","523,076","510,759","553,678","445,860","433,893","508,520","542,551","589,460","635,427","617,614","669,065","777,385","602,823","588,074","680,812","678,336","746,359","764,993","880,426"
Market Cap Growth,31.48%,20.28%,13.20%,21.85%,26.35%,15.20%,7.61%,-5.65%,-12.24%,-1.29%,6.25%,10.68%,23.93%,17.14%,17.06%,27.11%,21.56%,19.79%,10.20%,17.26%,2.82%,0.41%,13.57%,-3.71%,10.18%,-9.81%,-17.05%,-0.44%,-2.01%,32.21%,46.45%,21.45%,23.32%,31.88%,-5.13%,-4.78%,1.76%,-12.74%,23.81%,30.08%,-
Enterprise Value,"316,575","332,831","330,899","353,236","386,241","375,546","354,036","340,189","336,949","394,069","385,783","372,831","475,622","418,513","493,802","511,114","559,702","533,550","492,795","586,619","569,632","565,418","578,349","538,177","592,871","507,453","504,508","589,394","611,456","643,937","708,352","662,590","695,143","857,933","691,296","671,944","767,745","775,213","821,651","858,934","974,367"
PE Ratio,15.02,16.00,14.77,16.46,18.60,17.48,18.72,14.13,13.47,14.32,14.00,15.30,16.70,18.23,19.17,24.22,10.87,12.39,9.70,8.56,124.97,18.43,18.11,19.01,6.80,44.54,19.52,14.19,12.76,5.67,6.01,7.18,7.45,9.29,50.45,-492.94,-29.83,93.58,8.60,9.96,11.56
PS Ratio,1.61,1.68,1.65,1.76,1.90,1.80,1.68,1.55,1.54,1.64,1.64,1.64,1.80,1.74,1.74,1.88,2.02,2.17,1.93,2.07,2.23,1.93,2.00,1.97,1.69,1.88,1.67,1.82,1.90,1.61,1.74,1.78,1.89,2.20,2.27,2.32,2.91,2.38,1.86,1.90,2.19
PB Ratio,1.32,1.36,1.33,1.44,1.54,1.47,1.37,1.30,1.27,1.36,1.36,1.32,1.43,1.40,1.39,1.47,1.40,1.42,1.29,1.41,1.44,1.34,1.37,1.29,1.30,1.20,1.10,1.23,1.22,1.32,1.35,1.31,1.32,1.53,1.31,1.29,1.44,1.34,1.38,1.46,1.68
P/FCF Ratio,17.60,20.70,21.98,19.37,21.97,20.66,18.47,21.16,21.05,20.05,20.49,19.00,20.41,13.25,13.04,13.66,14.37,21.36,20.65,24.73,21.98,22.15,22.63,23.41,24.38,20.16,18.10,18.87,20.27,19.84,21.63,20.98,25.59,33.66,29.02,29.56,31.26,29.47,28.73,28.61,32.93
P/OCF Ratio,10.56,11.61,11.73,10.95,11.55,10.76,9.85,10.05,10.30,10.64,10.88,10.97,12.31,9.45,9.50,10.04,10.69,14.07,13.09,15.25,13.44,13.21,13.74,13.64,14.31,11.76,11.02,12.31,13.64,13.94,15.18,14.65,16.97,21.04,17.12,16.88,18.28,17.35,17.35,17.00,19.57
Debt / Equity Ratio,0.33,0.32,0.32,0.32,0.33,0.35,0.34,0.34,0.33,0.39,0.39,0.38,0.36,0.35,0.34,0.33,0.29,0.29,0.27,0.26,0.28,0.26,0.26,0.26,0.24,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.24,0.26,0.26,0.26,0.25,0.23,0.24,0.24
Interest Coverage,10.97,9.35,11.74,9.13,7.96,9.66,6.95,17.15,10.05,6.45,11.03,10.96,12.59,6.26,5.02,5.46,11.73,-0.63,16.71,25.19,-32.70,28.83,18.80,21.67,37.99,-60.62,36.23,38.65,43.68,14.71,33.89,12.54,50.19,7.61,-50.23,-2.99,20.36,37.53,37.15,-12.62,20.43
Return on Capital (ROIC),Upgrade,7.36%,7.15%,7.63%,7.41%,7.01%,7.05%,6.24%,7.64%,7.91%,7.64%,7.73%,7.00%,6.86%,6.18%,6.02%,5.19%,8.88%,7.70%,9.19%,11.87%,0.51%,5.49%,5.77%,5.12%,15.89%,-0.16%,2.34%,4.92%,5.82%,19.09%,18.64%,15.22%,15.04%,13.87%,0.61%,-1.96%,-5.57%,-0.53%,13.20%,11.61%
Buyback Yield / Dilution,-6.36%,-4.74%,-4.73%,-4.05%,-3.93%,-3.98%,-3.85%,-3.07%,-2.66%,-0.03%,-0.04%,-0.04%,-0.04%,-50.19%,-50.18%,18.92%,-0.05%,-0.03%,-0.03%,-85.08%,0.18%,0.31%,0.61%,0.64%,0.83%,1.03%,1.42%,2.84%,4.38%,5.52%,5.72%,5.27%,4.60%,3.82%,3.22%,2.40%,1.47%,1.24%,1.43%,1.36%,1.36%
Total Shareholder Return,-6.36%,-4.74%,-4.73%,-4.05%,-3.93%,-3.98%,-3.85%,-3.07%,-2.66%,-0.03%,-0.04%,-0.04%,-0.04%,-50.19%,-50.18%,18.92%,-0.05%,-0.03%,-0.03%,-85.08%,0.18%,0.31%,0.61%,0.64%,0.83%,1.03%,1.42%,2.84%,4.38%,5.52%,5.72%,5.27%,4.60%,3.82%,3.22%,2.40%,1.47%,1.24%,1.43%,1.36%,1.36%
