,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Total Current Liabilities,"3,110","3,156","2,963","3,002","3,081","2,919","3,644","3,572","3,839","3,659","3,283","2,930","2,602","2,433","2,489","1,832","1,752","2,110","2,338","2,304","2,073","2,155","1,821","1,819","1,807","2,591","2,417","2,986","3,017","2,697","2,799","2,630","3,205","3,407","3,466","3,277","2,798","3,948","3,896","3,119"
Long-Term Debt,"4,993","4,951","4,825","4,751","4,512","4,691","3,949","3,871","3,573","3,926","3,910","3,289","3,300","3,367","3,402","3,415","3,442","3,776","3,352","3,315","3,302","3,273","3,227","3,266","3,245","7,359","7,430","7,092","7,116","7,166","7,150","7,178","6,748","6,832","7,678","8,120","9,593","9,251","10,062","12,508"
Other Long-Term Liabilities,"1,988","2,012","2,183","2,090","2,145","2,053","2,360","2,318","2,345","2,319","3,622","2,476","2,549","2,544","2,390","2,641","2,623","2,510","2,312","2,321","2,366","2,377","2,506","2,637","2,725","2,809","2,879","2,939","2,891","2,897","2,822","2,941","2,986","3,035","2,347","2,364","2,355","2,360","2,384","2,362"
Total Long-Term Liabilities,"6,981","6,963","7,008","6,842","6,656","6,743","6,309","6,189","5,919","6,244","7,532","5,765","5,849","5,911","5,793","6,056","6,066","6,286","5,664","5,635","5,668","5,650","5,734","5,903","5,971","10,168","10,309","10,030","10,007","10,063","9,972","10,120","9,734","9,866","10,024","10,484","11,947","11,611","12,446","14,870"
Total Liabilities,"10,092","10,119","9,971","9,843","9,738","9,662","9,953","9,761","9,758","9,903","10,815","8,695","8,451","8,344","8,282","7,888","7,818","8,396","8,002","7,939","7,741","7,805","7,555","7,722","7,778","12,759","12,725","13,016","13,024","12,761","12,771","12,750","12,939","13,273","13,490","13,761","14,745","15,559","16,342","17,989"
Total Debt,"6,167","6,136","6,119","6,089","5,930","5,863","5,879","5,818","5,818","5,684","5,211","4,318","3,843","3,926","3,963","3,513","3,567","3,871","3,813","3,768","3,791","3,820","3,326","3,341","3,313","8,198","7,908","8,007","8,004","7,666","7,637","7,378","7,442","7,586","8,237","8,685","9,773","10,027","10,937","12,743"
Debt Growth,3.11%,0.09%,-2.47%,-1.29%,-3.84%,-4.45%,-3.91%,-4.45%,-1.89%,-3.06%,-11.36%,-25.77%,-33.94%,-30.93%,-23.95%,-18.64%,-7.20%,-1.40%,-3.79%,7.25%,6.29%,-1.33%,-12.76%,-11.32%,-12.61%,114.62%,137.76%,139.64%,141.63%,-6.48%,-3.42%,-7.85%,-7.03%,-1.04%,7.85%,17.72%,31.33%,32.18%,32.78%,46.72%
Common Stock,"-1,498.9","-1,432.3","-1,385.5","-1,329.9","-1,272.6","-1,246.7","-1,205.5","-1,193","-1,145.5","-1,097.6","-1,007.6",-998.5,-981.4,-954.7,-913,-881.4,-850.4,-836.4,-810.5,-803.8,-751.5,-724.4,-709.2,-712.3,-687.1,-674.2,-655.8,-663.6,-649.4,-635.4,-622.7,-627.8,-615.2,-603.4,-590.2,-577.4,-559.7,-544.1,-527.4,-516.7
Retained Earnings,"9,904","10,054","9,993","10,152","10,267","10,411","10,580","10,769","10,109","10,269","10,476","10,772","12,693","12,584","12,847","12,792","12,967","13,200","13,410","13,498","13,662","13,892","14,138","14,357","14,537","14,687","14,876","15,061","15,200","15,400","15,678","15,905","16,076","16,298","16,520","16,731","16,781","16,987","17,290","17,510"
Comprehensive Income,"-1,034.6",-924.5,"-1,241.9","-1,470.6","-1,662.1","-1,578.4","-2,125.9","-2,208.6","-2,046.7","-2,125.7","-2,388.3","-2,611.7","-2,393.7","-2,217.1","-1,847.4","-1,695.6","-1,535.3","-1,877.8","-1,741.9","-1,811.2","-1,744.8","-1,781.4","-2,375.6","-2,088.6","-2,478.2","-2,353.1","-2,140.1","-1,713.3","-1,824.4","-1,681.9","-1,515.9","-1,452.3","-1,505.6","-2,050.6","-2,786.1","-2,218.3","-2,163.3","-2,304.8","-2,449.4","-2,120.3"
Shareholders' Equity,"7,371","7,697","7,366","7,352","7,333","7,586","7,249","7,367","6,917","7,045","7,080","7,162","9,317","9,412","10,086","10,215","10,581","10,486","10,858","10,883","11,166","11,386","11,054","11,556","11,372","11,659","12,080","12,684","12,726","13,083","13,540","13,825","13,955","13,644","13,144","13,936","14,058","14,138","14,313","14,873"
Net Cash / Debt,"-5,810.2","-5,798.4","-5,781.9","-5,850.2","-5,734.5","-5,647.9","-5,672.6","-5,538.7","-5,504.9","-5,168.9","-3,917.7","-3,662.9",-550.7,-577.3,-285.2,-383.6,-362.6,-877.4,-836.6,-832.3,"-1,052.3","-1,122.9",-911.3,-935.1,"-1,092.5","-1,760.6","-1,549.9","-1,806.9","-1,808.9","-1,849.6","-1,836.4","-3,695.7","-4,243.9","-4,271.2","-4,935.2","-5,534.6","-7,259.5","-8,121","-8,987.7","-10,508.4"
Net Cash Per Share,-27.04,-26.92,-26.76,-27.01,-26.38,-25.98,-26.07,-25.45,-25.26,-23.66,-17.87,-16.67,-2.51,-2.63,-1.30,-1.74,-1.64,-3.97,-3.78,-3.77,-4.75,-5.06,-4.10,-4.21,-4.91,-7.92,-6.97,-8.12,-8.13,-8.31,-8.25,-16.60,-19.07,-19.20,-22.18,-24.86,-32.60,-36.45,-40.36,-47.17
Working Capital,189.6,183.7,331.8,135.3,33.2,183.4,-850.9,-793.4,-807.9,-280.1,"1,034",619,"2,692","2,914","3,388","3,524","3,644","2,946","2,744","2,786","2,822","2,760","2,797","2,901","2,882","6,416","6,268","5,824","5,749","5,680","5,577","3,853","3,044","2,960","2,817","3,044","2,924","1,406","1,305","2,530"
Book Value Per Share,34.70,36.15,34.48,34.32,34.12,35.25,33.69,34.14,32.01,32.53,32.58,32.90,42.76,43.16,46.20,46.67,48.23,47.77,49.51,49.49,50.71,51.61,50.11,52.31,51.41,52.71,54.54,57.26,57.43,59.04,61.10,62.30,62.86,61.46,59.21,62.72,63.24,63.57,64.39,66.84
