,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Long-Term Debt,"7,816","7,816","7,816","7,765","7,841","7,838","7,243","14,687","12,207","12,158","12,163","12,214","10,812","10,816","10,423","10,430","10,428","10,427","10,424","10,312","11,065","11,068","11,075","11,141","10,436","10,417","10,386","9,890","9,845","9,812","10,032","9,972","9,345","9,311","8,730","8,719","8,741","8,823","8,652","8,547"
Other Long-Term Liabilities,"2,756","2,712","2,360","2,236","2,105","2,048","1,822","1,423","1,253","1,324","1,235","1,315","1,242","1,488","1,520","1,444","1,403","1,388","1,357","1,324","1,252","1,333","1,260","1,333","1,290","1,397","1,362","1,386","1,326","1,342","1,354","1,315","1,251","1,220","1,220","1,214","1,167","1,177","1,182","1,095"
Total Long-Term Liabilities,"10,572","10,528","10,176","10,001","9,946","9,886","9,065","16,110","13,460","13,482","13,398","13,529","12,054","12,304","11,943","11,874","11,831","11,815","11,781","11,636","12,317","12,401","12,335","12,474","11,726","11,814","11,748","11,276","11,171","11,154","11,386","11,287","10,596","10,531","9,950","9,933","9,908","10,000","9,834","9,642"
Total Liabilities,"15,504","15,897","16,065","15,867","14,964","14,891","14,768","21,447","20,872","17,960","17,029","17,552","15,896","16,372","16,544","16,736","16,800","16,922","16,734","16,438","17,364","17,356","17,027","17,352","16,779","15,908","15,671","15,697","15,396","15,488","15,332","15,593","15,040","15,297","14,918","15,278","15,174","15,346","15,253","15,250"
Total Debt,"7,816","7,816","7,816","7,779","7,841","7,838","7,891","15,346","15,393","12,921","12,315","12,384","10,909","11,152","10,938","10,942","10,894","10,871","10,459","10,312","11,320","11,283","11,283","11,360","10,851","10,817","10,821","10,836","10,610","10,574","10,301","10,212","9,582","9,538","8,954","8,943","8,968","9,076","8,900","8,809"
Debt Growth,62.16%,62.16%,-,-0.47%,0.32%,0.28%,0.96%,97.27%,96.31%,64.85%,56.06%,-19.30%,-29.13%,-13.69%,-11.18%,-11.64%,-0.14%,-2.52%,-4.38%,-5.76%,3.91%,3.79%,7.88%,10.16%,-4.14%,-4.13%,-4.09%,-4.61%,-2.22%,-2.25%,-4.81%,-5.76%,-9.69%,-9.80%,-13.08%,-12.43%,-6.41%,-4.84%,-0.60%,-1.50%
Common Stock,"-5,309","-5,119","-5,262","-5,143","-5,020","-4,931","-4,807","-4,699","-4,579","-4,500","-4,403","-4,278","-4,166","-4,074","-3,984","-3,877","-3,750","-3,646","-3,755","-3,862","-3,775","-3,792","-3,702","-3,615","-3,633","-3,567","-3,447","-3,355","-3,177","-3,116","-2,886","-2,814","-2,585","-2,308","-2,222","-2,394","-2,431","-2,538","-2,641","-2,814"
Retained Earnings,"19,337","19,984","21,060","21,809","21,013","20,914","20,706","20,524","17,958","14,595","14,445","14,141","13,569","13,441","13,649","12,668","12,586","12,939","13,216","13,739","13,734","13,652","13,800","11,989","10,814","9,098","8,987","8,691","8,709","8,896","8,927","9,710","9,780","9,617","10,024","10,572","11,075","11,459","12,018","12,536"
Comprehensive Income,-303,-303,-307,-399,-402,-298,-451,-363,-364,-361,-360,-454,-452,-450,-448,-469,-471,-470,-463,-355,-354,-352,-353,-362,-351,-342,-340,-362,-362,-360,-360,-183,-178,-179,-181,-230,-229,-228,-227,-331
Shareholders' Equity,"13,725","14,562","15,491","16,267","15,591","15,685","15,448","15,462","13,015","9,734","9,682","9,409","8,951","8,917","9,217","8,322","8,365","8,823","8,998","9,522","9,605","9,508","9,745","8,012","6,830","5,189","5,200","4,974","5,170","5,420","5,681","6,713","7,017","7,130","7,621","7,948","8,415","8,693","9,150","9,391"
Net Cash / Debt,"-5,693","-5,456","-5,787","-5,488","-5,547","-5,078","-5,642","-5,269","-5,800","-9,813","-9,026","-8,375","-8,802","-9,013","-9,040","-8,605","-8,562","-8,399","-8,402","-8,304","-9,940","-10,107","-9,712","-9,092","-9,466","-9,006","-8,706","-8,273","-8,164","-7,916","-7,669","-7,168","-7,428","-7,312","-6,977","-6,597","-7,089","-6,971","-6,864","-6,545"
Net Cash Per Share,-6.67,-6.40,-6.78,-6.46,-6.53,-5.95,-6.60,-6.16,-6.76,-11.41,-10.45,-9.69,-10.15,-10.35,-10.36,-9.96,-9.75,-9.54,-9.57,-9.53,-11.39,-11.55,-11.09,-10.39,-10.78,-10.27,-9.87,-9.33,-9.18,-8.89,-8.58,-8.01,-8.23,-8.04,-7.67,-7.24,-7.82,-7.72,-7.61,-7.30
Working Capital,"8,554","8,796","8,958","8,781","8,807","10,219","9,216","14,733","11,693","8,102","8,129","7,654","5,986","6,192","5,543","5,915","6,066","6,329","6,483","6,349","6,141","6,265","6,528","6,334","5,602","5,005","5,100","5,054","5,295","5,593","5,485","5,637","5,273","5,496","5,443","5,607","5,979","6,097","6,181","5,935"
Book Value Per Share,16.17,17.21,18.27,19.18,18.34,18.41,18.07,18.06,15.17,11.32,11.23,10.89,10.32,10.26,10.57,9.53,9.56,10.06,10.26,10.92,11.00,10.88,11.12,9.13,7.78,5.92,5.90,5.61,5.82,6.09,6.36,7.50,7.80,7.89,8.39,8.79,9.31,9.65,10.19,10.52
