,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"14,791","15,558","15,184","16,027","15,873","16,262","17,843","15,869","16,669","14,923","15,118","15,406","20,164","19,809","22,318","21,005","22,717","23,341","23,149","22,804","18,506","19,747","19,591","20,054","22,510","15,790","16,507","16,225","19,384","21,896","24,065","22,467","24,838","24,210","20,104","17,830","18,443","18,348","15,447","14,383","16,400"
Market Cap Growth,22.97%,19.24%,9.62%,22.73%,7.32%,4.53%,17.51%,-0.99%,5.01%,-8.24%,-15.27%,-2.92%,20.97%,32.74%,47.62%,36.34%,12.66%,17.83%,3.72%,8.57%,-18.54%,-15.40%,-15.37%,-12.06%,21.63%,-20.04%,-15.74%,-19.09%,-13.89%,38.67%,45.79%,38.47%,28.14%,10.57%,-16.46%,-20.64%,-25.75%,-24.21%,-23.17%,-19.33%,-
Enterprise Value,-875,"-11,587","-14,271","3,548","3,724","2,713",861,"4,270","-13,833",577,"-11,983","-11,760","-9,725","-10,006","-11,258","-13,518","-16,821","-7,279","-5,726","-5,673","-7,519","-1,295","-5,915",319,"-8,931","-26,559","-21,155","-18,670","-35,980","-24,784","-28,667","-24,538","-36,983","-30,745","-16,382","-12,025","-13,368","-6,299","-6,152","-5,307","-3,289"
PE Ratio,20.23,20.78,20.53,21.73,19.78,19.23,19.24,16.68,17.54,15.46,15.77,15.69,19.98,19.33,21.67,19.83,19.77,18.55,16.77,15.65,12.26,13.38,13.29,13.51,15.57,10.92,12.04,12.65,16.81,18.53,19.46,16.79,16.52,15.95,13.01,11.54,14.25,14.80,13.15,12.98,15.17
PS Ratio,3.64,3.76,3.61,3.78,3.67,3.67,3.87,3.38,3.51,3.11,3.12,3.14,4.04,3.90,4.38,4.02,4.20,4.17,4.01,3.86,3.10,3.30,3.27,3.32,3.70,2.57,2.72,2.70,3.24,3.61,3.86,3.52,3.79,3.64,2.95,2.58,2.73,2.71,2.28,2.14,2.44
PB Ratio,1.87,1.96,1.89,1.88,1.88,1.89,2.04,1.81,1.92,1.69,1.69,1.61,2.06,1.99,2.22,2.07,2.22,2.28,2.24,2.20,1.76,1.86,1.81,1.86,2.03,1.45,1.45,1.40,1.66,1.91,2.04,1.89,2.07,2.12,1.82,1.62,1.64,1.58,1.33,1.21,1.38
P/FCF Ratio,32.55,23.42,4.68,23.24,30.15,34.36,34.69,-60.73,11.90,23.63,-24.08,9.85,19.45,9.43,12.24,17.63,18.21,-3590.92,28.53,13.33,14.67,9.74,11.22,22.73,11.30,-15.36,7.92,11.41,14.50,5.32,-87.93,81.28,29.54,16.40,19.41,-46.31,11.05,23.61,6.76,4.38,5.00
P/OCF Ratio,17.62,14.60,4.15,13.91,16.96,18.31,19.33,108.47,9.09,14.24,-75.59,7.62,13.35,7.65,9.58,12.30,13.20,50.97,18.34,10.56,10.47,7.78,8.55,14.18,8.68,-40.80,6.09,7.89,10.22,4.71,104.31,28.42,18.32,11.90,12.11,63.16,7.71,12.39,5.16,3.62,4.13
Debt / Equity Ratio,0.94,0.81,0.68,0.79,0.82,0.82,0.78,0.92,0.93,0.90,1.13,0.82,0.91,0.80,0.81,1.20,1.21,1.11,1.45,1.32,1.34,1.12,1.13,1.14,1.06,1.33,1.18,1.16,0.76,0.87,0.86,0.85,0.65,0.64,0.82,1.44,1.32,1.82,2.36,1.66,1.66
Return on Capital (ROIC),Upgrade,4.77%,5.22%,5.47%,4.81%,5.29%,5.49%,6.08%,5.80%,5.79%,5.89%,5.16%,5.77%,5.53%,5.92%,5.87%,4.97%,5.30%,6.04%,5.62%,6.24%,6.33%,6.77%,6.60%,6.62%,6.52%,5.93%,5.77%,5.37%,5.87%,5.71%,5.82%,6.26%,7.81%,8.32%,7.87%,5.90%,5.12%,3.93%,3.11%,3.64%
Dividend Yield,2.00%,1.90%,2.00%,1.90%,1.90%,1.90%,1.80%,2.00%,2.00%,2.20%,2.20%,2.10%,1.70%,1.70%,1.60%,1.70%,1.60%,1.60%,1.60%,1.80%,2.30%,2.30%,2.60%,2.60%,2.40%,3.60%,3.50%,3.60%,3.00%,2.70%,2.40%,2.60%,2.30%,2.40%,2.90%,3.30%,3.30%,3.30%,4.00%,4.30%,3.75%
Payout Ratio,44.30%,41.30%,43.40%,38.80%,33.70%,34.70%,32.40%,37.10%,36.00%,35.00%,32.40%,34.90%,33.90%,34.50%,33.90%,34.70%,27.60%,26.40%,24.90%,34.60%,30.40%,40.30%,34.10%,41.20%,40.90%,44.90%,47.60%,53.00%,61.90%,40.90%,40.50%,38.70%,36.50%,39.30%,37.60%,41.70%,104.20%,49.70%,48.10%,50.30%,56.93%
Buyback Yield / Dilution,0.51%,0.82%,1.55%,1.76%,1.60%,1.61%,1.21%,1.47%,1.73%,2.04%,2.41%,2.45%,1.19%,-0.19%,-0.73%,-0.65%,0.38%,0.88%,1.56%,1.82%,4.70%,3.43%,3.74%,4.31%,3.98%,4.31%,3.96%,2.58%,0.63%,0.41%,-0.27%,-0.11%,0.44%,0.07%,0.12%,0.02%,-0.67%,0.04%,0.51%,0.78%,0.78%
Total Shareholder Return,2.51%,2.72%,3.55%,3.66%,3.50%,3.51%,3.01%,3.47%,3.73%,4.24%,4.61%,4.55%,2.89%,1.51%,0.87%,1.05%,1.98%,2.48%,3.16%,3.62%,7.00%,5.73%,6.34%,6.91%,6.38%,7.91%,7.46%,6.18%,3.63%,3.11%,2.13%,2.49%,2.74%,2.47%,3.02%,3.32%,2.63%,3.34%,4.51%,5.08%,4.53%
