,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"7,872","7,157","7,569","8,110","8,107","8,570","7,146","8,298","6,726","6,978","8,247","9,834","10,957","11,553","12,159","12,895","13,019","13,033","13,429","10,662","11,341","11,905","11,449","12,410","8,803","9,432","9,980","13,100","16,878","17,851","18,990","20,699","22,818","18,620","21,328","22,980","20,086","21,990","20,974","23,260","24,768"
Market Cap Growth,22.45%,19.24%,29.89%,10.94%,2.99%,19.75%,-5.59%,2.33%,-17.04%,-18.58%,15.41%,18.51%,62.92%,65.58%,47.43%,31.12%,18.82%,12.80%,10.44%,-17.32%,-12.89%,-8.65%,-14.74%,16.40%,-22.38%,-20.77%,-12.83%,5.56%,91.73%,89.26%,90.29%,58.00%,35.19%,4.31%,12.31%,11.02%,-11.97%,18.10%,-1.66%,1.22%,-
Enterprise Value,"6,933","6,392","7,504","7,627","7,790","8,133","6,744","7,728","7,216","7,025","9,400","10,106","10,640","11,818","8,519","12,521","12,799","12,677","10,358","6,741","8,199","8,900","8,691","8,579","-2,716","3,911","7,773","10,927","14,211","15,050","3,613","15,644","20,421","16,490","10,464","15,069","10,741","13,096","11,902","12,977","14,485"
PE Ratio,18.63,15.51,15.76,16.55,16.25,16.83,14.23,17.21,13.60,14.33,15.58,17.27,19.69,18.80,19.12,21.19,17.63,16.56,15.67,10.80,11.28,11.54,11.07,11.79,9.16,10.79,12.20,15.20,16.11,15.09,13.54,13.47,15.16,12.44,14.17,14.67,12.04,12.65,12.10,13.50,14.85
PS Ratio,1.71,1.52,1.56,1.65,1.61,1.67,1.37,1.59,1.28,1.32,1.53,1.75,1.87,1.88,1.91,1.95,1.90,1.85,1.85,1.43,1.51,1.56,1.48,1.59,1.10,1.19,1.25,1.60,1.98,1.95,1.95,2.01,2.15,1.71,1.94,2.09,1.79,1.93,1.81,1.96,2.09
PB Ratio,2.03,1.78,1.83,1.90,1.85,1.92,1.58,1.79,1.45,1.47,1.68,1.94,2.10,2.14,2.18,2.26,2.19,2.12,2.11,1.74,1.78,1.83,1.74,1.81,1.30,1.35,1.40,1.78,2.22,2.27,2.30,2.41,2.65,1.96,2.26,2.33,2.01,2.21,2.05,2.16,2.30
P/FCF Ratio,14.07,11.07,16.92,12.10,11.64,18.89,8.67,10.20,18.79,24.52,-11.87,-54.18,32.92,19.03,-38.60,-19.60,-18.84,-9.57,17.91,18.97,64.80,28.41,26.08,16.52,2.63,2.95,2.53,2.46,9.64,5.19,2.89,8.73,4.87,2.06,-1122.52,-26.23,-7.62,-2.56,-5.69,-750.31,-750.31
P/OCF Ratio,12.76,10.26,14.91,11.10,10.74,16.44,7.95,9.15,14.61,17.73,-14.39,-702.85,21.10,14.53,-97.27,-25.27,-23.49,-10.60,15.19,15.52,38.06,21.30,19.84,13.82,2.52,2.83,2.45,2.40,9.04,5.01,2.86,8.49,4.81,2.05,296.22,-29.57,-7.98,-2.60,-5.97,140.97,150.11
Debt / Equity Ratio,0.44,0.52,0.52,0.51,0.51,0.48,0.49,0.44,0.43,0.43,0.57,0.55,0.45,0.53,0.63,0.62,0.49,0.46,0.45,0.52,0.47,0.45,0.49,0.42,0.47,0.48,0.45,0.44,0.42,0.40,0.38,0.37,0.39,0.40,0.40,0.34,0.40,0.33,0.34,0.34,0.34
Return on Capital (ROIC),Upgrade,7.33%,7.27%,7.33%,7.25%,7.28%,7.48%,7.62%,7.43%,7.70%,7.53%,6.96%,7.32%,7.56%,7.55%,7.35%,6.94%,8.66%,9.07%,9.28%,10.58%,10.76%,10.92%,10.56%,10.85%,9.64%,8.50%,7.94%,8.16%,9.73%,11.42%,12.97%,13.73%,13.28%,11.23%,11.39%,11.87%,11.96%,13.14%,12.70%,11.96%
