,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Long-Term Debt,"10,824","9,860","9,940","9,858","9,856","9,941","9,900","10,044","11,316","11,569","11,550","11,506","12,394","12,938","14,257","14,355","20,278","20,409","20,120","20,101","19,931","22,470","22,453","23,803","24,209","26,689","25,662","25,809","24,571","24,440","24,065","23,776","22,817","22,710","20,959","20,729","20,559","23,395","23,031","22,533"
Other Long-Term Liabilities,"11,769","11,770","10,999","11,308","14,805","14,934","15,080","15,141","13,808","14,021","14,178","13,180","15,824","13,476","13,111","13,295","11,386","11,531","11,259","11,240","12,961","12,897","12,278","11,070","14,952","15,047","15,748","15,535","20,152","15,407","14,212","14,434","14,750","15,127","15,483","14,148","12,622","12,479","12,593","12,751"
Total Long-Term Liabilities,"22,593","21,630","20,939","21,166","24,661","24,875","24,980","25,185","25,124","25,590","25,728","24,686","28,218","26,414","27,368","27,650","31,664","31,940","31,379","31,341","32,892","35,367","34,731","34,873","39,161","41,736","41,410","41,344","44,723","39,847","38,277","38,210","37,567","37,837","36,442","34,877","33,181","35,874","35,624","35,284"
Total Liabilities,"29,724","30,823","29,276","30,262","33,282","35,485","35,283","37,054","35,820","36,688","35,689","35,575","39,948","37,820","38,450","39,817","44,550","43,089","42,867","43,563","46,979","48,576","48,364","47,708","54,574","57,582","57,681","56,800","61,739","56,153","54,047","53,682","55,136","54,679","53,779","52,556","51,321","52,136","50,310","51,101"
Total Debt,"10,872","12,082","11,842","12,251","10,779","13,104","13,152","14,601","14,334","15,438","14,366","15,326","16,075","17,240","18,074","18,910","24,289","23,092","22,711","23,301","22,736","25,751","25,892","26,464","28,167","31,620","29,945","28,751","27,754","26,799","26,185","25,596","25,528","25,430","24,100","23,870","23,521","26,395","25,116","25,440"
Debt Growth,-15.52%,-4.61%,-0.68%,-2.77%,-0.86%,8.46%,11.06%,19.18%,32.98%,17.81%,9.23%,4.97%,12.15%,11.67%,25.81%,23.39%,51.10%,33.94%,25.66%,23.22%,-6.39%,11.51%,14.01%,13.57%,23.89%,22.79%,15.65%,8.64%,-1.47%,-15.25%,-12.56%,-10.97%,-8.02%,-5.11%,-7.96%,-6.74%,-7.86%,3.79%,4.22%,6.58%
Common Stock,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,36,111,138,159,38,264,499,874,"1,058","1,338","1,097","1,352","1,240",582,9,9,9,9,9
Retained Earnings,"6,925","6,727","6,155","6,229","5,726","5,508","5,668","5,771","6,001","6,095","6,223","6,385","4,879","4,988","5,437","5,724","5,852","6,973","7,665","8,377","8,006","8,249","9,109","10,037","9,105","9,137","10,032","11,115","6,896","10,748","12,531","13,973","16,179","17,433","18,958","20,177","21,326","21,510","21,584","20,699"
Comprehensive Income,-460,-489,-596,-611,"-3,594","-3,688","-3,727","-3,851","-3,540","-3,647","-3,606","-3,651","-4,483","-4,462","-4,202","-4,224","-4,867","-5,638","-5,346","-5,288","-4,994","-4,818","-4,815","-4,617","-5,997","-5,876","-5,933","-6,022","-7,113","-4,659","-3,064","-3,029","-3,278","-3,257","-3,251","-3,218","-1,549","-1,481","-1,574","-1,540"
Shareholders' Equity,"6,474","6,247","5,568","5,627","2,141","1,829","1,950","1,929","2,470","2,457","2,626","2,743",405,535,"1,244","1,509",994,"1,344","2,328","3,098","3,021","3,467","4,405","5,558","3,267","3,299","4,363","5,592",657,"7,147","10,805","12,041","14,253","15,416","16,289","16,968","19,786","20,038","20,019","19,168"
Net Cash / Debt,"-5,627","-5,047","-7,243","-6,680","-7,496","-6,687","-6,930","-8,912","-9,608","-9,171","-8,694","-9,968","-11,508","-13,522","-13,470","-14,449","-20,220","-18,883","-17,777","-18,460","-17,701","-20,640","-21,095","-21,926","-22,426","-22,160","-20,729","-19,510","-21,438","-18,717","-16,231","-15,036","-14,935","-12,885","-12,029","-12,494","-15,926","-16,997","-17,233","-18,162"
Working Capital,"6,256","5,427","4,004","4,222","2,597","3,305","3,465","1,712","2,512","2,814","3,162","1,964","2,119",88,"1,312",743,"2,832","2,471","2,386","1,769","2,123","1,695","1,210","1,349","1,690","3,543","3,955","4,474","3,200","4,679","6,218","7,371","7,365","8,759","8,234","6,919","4,077","5,463","4,753","3,434"
Book Value Per Share,6.97,6.77,6.08,6.16,2.37,2.03,2.16,2.15,2.77,2.78,2.98,3.12,0.46,0.61,1.43,1.74,1.15,1.56,2.70,3.60,3.52,4.03,5.12,6.47,3.81,3.84,5.06,6.48,0.76,8.24,12.41,13.82,16.40,17.71,18.64,19.53,22.88,23.33,23.31,22.43
