,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Total Long-Term Liabilities,877,826,848,874,887,809,809,800,"1,223","1,259","1,236",974,"1,008","1,027","1,049",931,914,"2,574","2,313","2,081","1,921","2,060","2,912","3,428","3,190","3,190","3,208","3,159","4,391","4,391","3,998","3,940","4,559","4,559","4,646","4,896","4,846","4,811","4,702","4,795"
Total Liabilities,"3,375","3,090","3,141","3,203","3,160","2,919","2,975","2,896","3,871","3,701","3,523","3,299","3,469","3,479","3,466","3,201","3,381","5,869","5,858","5,793","5,600","5,400","6,404","6,155","5,872","5,872","5,946","6,020","7,625","7,625","7,270","7,173","8,078","8,078","7,659","7,835","8,050","7,976","7,739","7,579"
Total Debt,0,0,0,0,0,0,0,0,369,369,377,268,273,379,281,187,184,"1,952","1,857","1,680","1,546","1,453","2,658","2,544","2,405","2,405","2,419","2,416","3,429","3,429","3,343","3,305","4,016","4,016","3,888","4,117","4,080","4,095","4,051","4,132"
Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-26.02%,2.71%,-25.46%,-30.22%,-32.60%,415.04%,560.85%,798.40%,740.22%,-25.56%,43.13%,51.43%,55.56%,65.52%,-8.99%,-5.03%,42.58%,42.58%,38.20%,36.80%,17.12%,17.12%,16.30%,24.57%,1.59%,1.97%,4.19%,0.36%
Common Stock,"12,327","12,396","12,387","12,427","12,456","12,439","12,437","12,447","12,431","12,440","12,440","12,457","12,403","12,401","12,346","12,356","12,316","12,328","12,263","12,277","12,235","12,249","12,180","12,189","12,154","12,154","12,081","12,097","12,063","12,063","11,986","11,954","11,785","11,785","11,590","11,556","11,492","11,455","11,353","11,340"
Retained Earnings,225,237,302,444,467,88,204,268,60,150,76,-213,-219,-648,-581,-664,"-1,792","-2,163","-2,032","-1,937","-1,927","-1,979","-2,200","-2,114","-3,241","-3,241","-3,207","-2,976","-2,911","-2,911","-2,715","-2,482","-2,293","-2,293","-2,253","-2,186","-2,136","-2,144","-2,114","-1,958"
Comprehensive Income,482,610,152,-261,-554,-582,"-1,025",-923,-845,"-1,026",-986,"-1,289","-1,045",-964,-852,-832,-829,-874,-970,"-1,076","-1,019","-1,126","-1,266","-1,117","-1,331","-1,331","-1,235",-990,-941,-941,"-1,061","-1,089","-1,270","-1,270","-1,465","-1,255","-1,279","-1,247","-1,347","-1,200"
Shareholders' Equity,"13,034","13,243","12,841","12,610","12,369","11,945","11,616","11,792","11,646","11,564","11,530","10,955","11,139","10,789","10,913","10,860","9,695","9,291","9,261","9,264","9,289","9,144","8,714","8,958","7,582","7,582","7,639","8,131","8,211","8,211","8,210","8,383","8,222","8,222","7,872","8,115","8,077","8,064","7,892","8,182"
Net Cash / Debt,"3,207","3,145","2,735","1,918","2,027","1,951","1,898","1,883","1,603","1,778","1,122","1,296","1,577","1,637","1,596","1,669","1,928",82,29,-62,102,190,"-1,217","-1,272",-888,-888,-880,-854,"-1,193","-1,193","-1,243","-1,121","-2,194","-2,194","-2,430","-2,789","-2,421","-2,262","-2,522","-2,408"
Net Cash / Debt Growth,-,32.09%,1.75%,-34.04%,-36.79%,-37.97%,-30.60%,-1.82%,-20.92%,-8.87%,-40.89%,-31.17%,-1.62%,-7.93%,42.25%,28.78%,22.26%,-94.99%,-98.18%,-,-94.71%,131.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Working Capital,"2,872","3,006","2,572","1,723","1,815","1,904","1,723","1,699","1,257","1,447","1,041","1,266","1,301","1,363","1,351","1,448","1,519","1,099",924,717,568,710,307,991,779,779,697,735,"1,222","1,222","1,100","1,366",574,574,741,824,828,888,932,"1,219"
Book Value Per Share,22.51,22.87,22.18,21.74,21.30,20.48,20.01,20.29,20.07,19.94,19.87,18.84,19.16,18.54,18.75,18.64,16.64,15.94,15.88,15.84,15.88,15.63,14.89,15.23,12.89,12.88,12.98,13.77,13.90,13.90,13.89,14.14,13.95,14.04,13.54,14.10,14.03,14.06,13.81,14.30
