,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"86,979","86,570","90,439","70,025","87,055","91,666","99,086","70,483","75,075","52,123","52,530","48,129","41,564","44,049","39,854","43,967","32,129","27,674","26,932","31,124","34,905","31,968","27,810","35,811","47,286","41,431","39,162","36,530","31,783","22,460","24,955","15,770","12,842","13,190","12,596","15,810","12,001","12,766","13,127","16,967"
Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,600",-,-,-,"7,319","8,386","7,813","6,757","12,297","10,779","6,745","6,297","7,609","12,814","10,885","7,054","5,706"
Cash & Cash Equivalents,"86,979","86,570","90,439","70,025","87,055","91,666","99,086","70,483","75,075","52,123","52,530","48,129","41,564","44,049","39,854","43,967","32,129","27,674","26,932","31,124","34,905","31,968","27,810","49,411","47,286","41,431","39,162","43,849","40,169","30,273","31,712","28,067","23,621","19,935","18,893","23,419","24,815","23,651","20,181","22,673"
Cash Growth,-3.12%,-2.41%,4.55%,-20.92%,0.09%,5.89%,9.56%,0.65%,-13.76%,-43.14%,-46.99%,-31.72%,-44.64%,-15.49%,-24.13%,-8.65%,-22.70%,-37.17%,-32.42%,-29.21%,8.64%,15.52%,3.26%,58.76%,35.47%,29.60%,40.82%,-11.26%,-15.05%,-26.93%,-19.02%,-35.99%,-41.20%,-34.15%,-40.42%,-16.56%,5.05%,18.64%,6.82%,-3.19%
Receivables,"20,975","21,432","21,957","23,237","20,547","21,760","22,332","27,022","25,918","25,128","25,187","24,076","21,675","21,447","25,026","24,209","22,560","20,797","20,414","14,645","19,518","20,152","16,018","16,568","16,925","16,041","17,302","16,691","15,381","15,190","14,874","15,620","16,050","16,283","17,197","14,831","14,212","14,767","14,546","15,466"
Inventory,"18,881","19,706","19,431","17,689","17,830","18,704","19,285","22,515","23,907","24,723","24,116","22,354","22,701","22,843","25,848","19,419","20,574","20,473","20,642","13,803","19,419","19,971","15,203","17,215","15,457","15,251","14,925","15,890","16,530","17,016","16,790","15,847","16,570","17,553","17,536","14,891","16,198","16,789","17,020","16,528"
Other Current Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,902",-,-,-,"8,423","41,118","39,932","40,211","6,814","7,058","6,887","6,456","5,243","5,061","5,006","4,687","5,132"
Total Current Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"103,096",-,-,-,"84,853","113,198","102,411","103,587","66,348","63,299","60,658","60,082","58,384","60,286","60,213","56,434","59,799"
"Property, Plant & Equipment","67,743","67,900","65,460","48,070","61,219","51,039","50,704","54,095","53,786","50,436","51,453","50,518","49,016","50,167","54,101","53,874","53,650","50,866","50,638","43,611","54,281","53,803","45,856","45,879","45,979","45,503","44,830","16,699","16,296","16,169","15,873","15,609","15,036","14,790","14,295","12,192","12,170","12,374","12,203","12,494"
Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,198",-,-,-,"42,549","45,420","47,337","47,062","42,209","39,845","36,195","33,624","36,027","38,262","37,392","35,528","38,000"
