,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"12,033","12,665","12,658","11,657","12,042","12,111","12,742","10,940","11,018","9,225","9,308","13,170","19,745","19,068","20,541","20,468","21,691","20,736","20,745","20,925","15,290","15,888","17,897","17,898","19,936","10,058","11,880","11,644","16,024","19,357","20,041","20,677","21,535","20,763","16,066","14,941","16,252","11,666","8,642","10,070","13,173"
Market Cap Growth,53.07%,37.64%,24.55%,12.20%,0.07%,-4.37%,0.66%,-6.15%,-8.50%,-23.83%,-26.95%,20.39%,79.20%,106.70%,120.68%,55.41%,9.86%,8.75%,0.99%,2.23%,-29.51%,-23.38%,-13.73%,-14.47%,30.38%,-36.70%,-33.62%,-34.94%,-19.62%,92.46%,68.69%,77.58%,34.40%,7.27%,-19.83%,-27.74%,-24.53%,-43.81%,-46.21%,-32.60%,-
Enterprise Value,"20,943","21,849","22,001","19,831","20,262","21,441","23,286","21,862","21,500","20,500","21,247","26,454","33,762","32,228","35,905","35,994","36,364","35,591","36,120","36,377","29,207","30,390","32,483","32,614","32,744","29,975","26,538","24,404","29,621","31,943","33,394","34,074","33,425","33,714","38,048","41,281","44,135","45,070","38,606","34,120","37,223"
PE Ratio,13.57,13.71,13.47,13.65,13.72,13.94,14.35,11.88,12.34,10.87,11.46,17.22,26.19,21.99,19.22,16.34,17.69,15.55,14.79,13.76,8.49,8.91,10.40,10.92,12.31,7.44,10.72,10.37,12.95,11.30,8.89,8.36,8.55,8.85,7.48,7.30,9.03,7.05,6.18,8.76,11.35
PS Ratio,3.04,3.17,3.14,2.92,2.99,3.02,3.16,2.69,2.71,2.29,2.31,3.08,4.18,3.66,3.57,3.43,3.60,3.41,3.41,3.41,2.48,2.59,2.93,2.99,3.37,1.81,2.25,2.17,2.83,3.02,2.80,2.73,2.80,2.79,2.23,2.12,2.41,1.74,1.35,1.65,2.16
PB Ratio,1.17,1.22,1.21,1.11,1.14,1.14,1.20,1.02,1.02,0.83,0.82,0.88,1.30,1.27,1.35,1.34,1.44,1.39,1.37,1.38,0.98,1.00,1.06,1.05,1.17,0.58,0.68,0.66,0.89,1.10,1.12,1.18,1.24,1.36,1.11,1.12,1.21,0.82,0.62,0.75,0.99
P/FCF Ratio,8.27,9.22,16.02,11.08,9.84,-448.57,12.35,10.71,10.42,3.65,5.45,8.09,12.79,24.70,86.67,11.46,12.74,11.02,7.71,14.93,6.35,4.98,6.56,5.03,7.02,4.78,5.34,7.06,9.95,12.27,11.47,10.04,19.74,9.53,9.75,5.35,3.70,2.77,1.78,3.03,3.96
P/OCF Ratio,7.78,8.60,14.30,10.19,9.12,195.35,11.42,9.91,9.74,3.54,5.18,7.56,11.69,20.93,54.63,10.73,11.95,10.32,7.38,13.68,6.10,4.85,6.33,4.94,6.86,4.63,5.21,6.77,9.58,11.80,11.04,9.80,18.68,9.27,9.41,5.20,3.64,2.71,1.74,2.92,3.82
Debt / Equity Ratio,0.92,0.92,0.95,0.84,0.84,0.93,1.06,1.06,1.03,1.06,1.10,0.94,0.96,0.92,1.05,1.06,1.02,1.04,1.07,1.04,0.94,0.95,0.90,0.90,0.79,1.19,0.90,0.77,0.82,0.77,0.79,0.81,0.73,0.89,1.57,2.04,2.14,2.39,2.22,1.86,1.86
Return on Capital (ROIC),Upgrade,4.42%,4.57%,4.68%,4.74%,4.82%,4.53%,4.21%,4.25%,4.21%,3.83%,3.53%,2.72%,2.64%,3.23%,3.64%,4.24%,4.26%,4.55%,4.65%,5.08%,6.16%,5.96%,5.58%,5.31%,5.59%,3.79%,3.64%,3.88%,4.07%,5.79%,7.31%,8.09%,8.65%,8.44%,6.06%,5.32%,4.53%,3.66%,3.44%,3.39%
Dividend Yield,1.60%,1.50%,1.60%,1.80%,1.80%,1.80%,1.80%,2.20%,2.20%,2.70%,2.80%,2.60%,1.80%,1.90%,1.90%,1.90%,1.90%,2.00%,2.20%,2.50%,3.80%,4.00%,3.80%,3.90%,3.50%,7.00%,6.10%,6.20%,4.50%,3.70%,3.60%,3.40%,3.20%,3.40%,4.50%,4.90%,4.50%,6.40%,8.80%,7.60%,5.83%
Payout Ratio,22.00%,20.40%,27.10%,31.00%,22.40%,24.10%,26.80%,28.80%,28.80%,34.10%,37.00%,50.00%,44.70%,30.40%,25.70%,29.70%,61.80%,27.60%,27.30%,37.80%,37.80%,44.70%,42.50%,47.40%,41.10%,154.20%,108.80%,45.10%,31.90%,29.80%,25.30%,28.00%,30.00%,42.40%,35.50%,35.50%,53.90%,68.30%,75.90%,70.70%,66.13%
Buyback Yield / Dilution,3.52%,3.69%,1.80%,3.76%,3.58%,3.90%,6.19%,4.03%,3.42%,2.57%,0.92%,-18.57%,-29.78%,-30.12%,-30.36%,-9.47%,0.50%,1.36%,2.49%,3.57%,4.55%,5.16%,5.43%,4.92%,4.36%,3.97%,3.55%,2.44%,0.91%,0.19%,0.51%,2.20%,4.21%,4.17%,3.66%,2.11%,0.15%,-0.02%,0.15%,0.08%,0.08%
Total Shareholder Return,5.12%,5.19%,3.40%,5.56%,5.38%,5.70%,7.99%,6.23%,5.62%,5.27%,3.72%,-15.97%,-27.98%,-28.22%,-28.46%,-7.57%,2.40%,3.36%,4.69%,6.07%,8.35%,9.16%,9.23%,8.82%,7.86%,10.97%,9.65%,8.64%,5.41%,3.89%,4.11%,5.60%,7.41%,7.57%,8.16%,7.01%,4.65%,6.38%,8.95%,7.68%,5.90%
