,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,41.4,-,-,50.5,215.1,244.2,374.9,266,366.4,500.6,391.2,231.1,304,312.3,272.4,452.6,636.8,260.7,154.2,179.1,151.6,156.4,640.2,291.5,251.1,253.8,334,549.8,290.9,291.3,360.2,305.4,260.2,415.2,363.4,314.8,393.4,488.1
Cash & Cash Equivalents,41.4,0,0,50.5,215.1,244.2,374.9,266,366.4,500.6,391.2,231.1,304,312.3,272.4,452.6,636.8,260.7,154.2,179.1,151.6,156.4,640.2,291.5,251.1,253.8,334,549.8,290.9,291.3,360.2,305.4,260.2,415.2,363.4,314.8,393.4,488.1
Cash Growth,-,-,-,-,419.57%,-,-,426.73%,70.34%,105.00%,4.35%,-13.12%,-17.03%,-37.61%,-30.37%,95.85%,109.47%,-16.52%,-43.39%,-60.43%,-76.19%,-40.01%,315.18%,62.76%,65.63%,62.28%,-47.83%,88.61%,15.85%,14.78%,7.84%,-44.45%,-10.55%,42.53%,0.89%,3.08%,51.19%,17.56%
Receivables,"1,119",-,-,"1,026","1,575","1,491","1,663","1,597","1,592","1,518","1,564","1,902","1,887","1,804","1,950","1,981","2,011","2,316","2,367","2,398","2,193","2,062","2,222","2,083","2,143","2,023","2,416","2,518","2,587","2,526","2,842","2,825","2,684","2,666","2,815","2,743","2,592","2,440"
Inventory,"1,029",-,-,996.2,"1,761","2,027","2,059","1,691","1,638","1,656","1,588","1,767","1,797","1,869","1,888","1,819","1,830","2,102","2,097","2,074","2,108","2,190","2,125","2,138","2,023","2,085","2,091","2,146","2,173","2,241","2,234","2,301","2,317","2,571","2,550","2,549","2,332","2,391"
Other Current Assets,243.2,-,-,232.2,624.5,245.7,352.6,331.5,315.8,360.8,"1,450",457.7,502.8,479.4,465.9,373.5,308,548,595.9,542.3,522,544.8,504.5,493.5,527.5,502,543.5,510.2,608.5,509.8,550.3,573.9,724.2,"1,929","1,870","1,842","1,676",826.8
Total Current Assets,"2,433",-,-,"2,305","4,176","4,008","4,449","3,885","3,913","4,035","4,993","4,358","4,491","4,465","4,577","4,626","4,785","5,226","5,214","5,194","4,974","4,953","5,492","5,006","4,945","4,864","5,385","5,724","5,660","5,568","5,986","6,005","5,985","7,580","7,598","7,448","6,993","6,146"
"Property, Plant & Equipment","5,833",-,-,"5,783","9,160","9,763","9,787","9,345","9,294","9,079","8,634","9,077","9,118","9,064","9,057","8,932","9,083","10,970","11,029","11,169","11,190","11,281","11,036","10,923","10,779","10,784","10,573","10,631","10,570","10,482","10,237","10,058","10,081","11,399","11,163","11,263","11,063","11,230"
Goodwill and Intangibles,"2,618",-,-,"2,541","7,442","8,723","8,660","7,439","7,377","7,282","6,741","8,792","8,858","8,793","8,895","8,749","8,700","11,672","11,579","11,497","11,345","11,295","11,110","11,020","9,629","9,595","9,459","9,401","9,278","9,192","9,113","8,960","8,816","8,929","7,012","6,943","6,825","6,778"
Other Long-Term Assets,157.1,-,-,206.9,"4,595","2,337","2,372","2,777","2,454","2,475","2,583","2,643","2,622","2,814","2,912","2,828","2,793","2,799","2,871","2,952","2,648","3,408","3,322","3,329","3,427","3,593","3,556","3,658","3,747","3,840","3,869","3,863","3,523","2,434","2,437","2,495","2,563","2,592"
Total Long-Term Assets,"8,607",-,-,"8,531","21,196","20,823","20,819","19,561","19,126","18,836","17,958","20,512","20,598","20,672","20,863","20,510","20,575","25,441","25,479","25,618","25,182","25,984","25,468","25,272","23,835","23,973","23,587","23,690","23,595","23,515","23,220","22,881","22,420","22,762","20,612","20,701","20,451","20,600"
Total Assets,"11,040",-,-,"10,836","25,372","24,831","25,268","23,446","23,038","22,871","22,950","24,870","25,089","25,137","25,440","25,136","25,361","30,667","30,693","30,812","30,157","30,937","30,960","30,278","28,780","28,836","28,972","29,414","29,254","29,083","29,206","28,886","28,406","30,342","28,210","28,149","27,444","26,746"
Accounts Payable,812.8,-,-,752.5,"1,231","1,314","1,243","1,110","1,054","1,213","1,225","1,453","1,492","1,402","1,443","1,484","1,717","1,680","1,702","1,707","1,832","1,781","1,696","1,514","1,674","1,672","1,797","1,906","2,124","2,135","2,219","2,260","2,252","2,271","2,177","2,163","2,124","2,159"
Current Debt,132.6,-,-,129,63.7,184.8,518.9,345.2,292.9,283.4,214.2,710.5,608.7,"1,245","1,114",594.4,740.7,"1,093","1,422",779.1,561.1,565.1,432,213.1,222.9,168.7,549.5,565.7,168.8,236.8,419.6,387.8,212.2,497,501.6,419.4,533,462.3
Other Current Liabilities,415.1,-,-,434.8,883.7,750.6,794.8,852.4,835.7,735.8,881.6,895.7,909,840.4,789.1,889.1,875.8,957.6,922.2,"1,105","1,042","1,101","1,011","1,060","1,032","1,208","1,206","1,372","1,352","1,184","1,273","1,464","1,439","2,244","2,289","2,421","2,263","1,347"
Total Current Liabilities,"1,361",-,-,"1,316","2,179","2,249","2,557","2,307","2,183","2,233","2,321","3,059","3,010","3,487","3,346","2,968","3,333","3,730","4,047","3,591","3,435","3,447","3,140","2,787","2,929","3,049","3,553","3,844","3,644","3,556","3,912","4,111","3,903","5,012","4,968","5,004","4,919","3,969"
Long-Term Debt,"2,852",-,-,"2,515","5,558","5,632","5,858","5,514","5,496","5,484","5,460","5,812","5,946","5,366","5,613","5,943","5,675","9,728","9,373","9,759","9,502","9,649","10,425","9,840","9,208","8,771","8,393","8,107","8,025","7,996","7,954","7,635","7,575","8,966","9,004","8,608","8,051","8,236"
Other Long-Term Liabilities,"2,520",-,-,"2,448","5,852","5,828","5,778","5,603","5,529","5,525","5,413","5,802","5,747","4,890","4,899","4,812","4,870","5,594","5,620","5,621","5,535","6,000","5,898","5,921","5,996","6,036","5,956","5,993","5,895","5,813","5,742","5,663","5,508","4,812","4,578","4,513","4,376","4,377"
Total Long-Term Liabilities,"5,372",-,-,"4,963","11,410","11,460","11,637","11,117","11,025","11,009","10,872","11,615","11,693","10,256","10,512","10,755","10,545","15,322","14,993","15,380","15,037","15,650","16,323","15,761","15,203","14,807","14,349","14,100","13,920","13,810","13,697","13,298","13,083","13,777","13,582","13,120","12,427","12,613"
Total Liabilities,"6,732",-,-,"6,279","13,589","13,709","14,194","13,424","13,208","13,241","13,194","14,673","14,703","13,743","13,858","13,723","13,878","19,051","19,039","18,971","18,473","19,096","19,462","18,548","18,132","17,856","17,902","17,944","17,564","17,365","17,609","17,409","16,986","18,789","18,549","18,124","17,346","16,582"
Total Debt,"2,985",-,-,"2,644","5,622","5,817","6,377","5,859","5,789","5,767","5,674","6,523","6,555","6,610","6,727","6,538","6,415","10,821","10,796","10,538","10,063","10,214","10,857","10,053","9,431","8,940","8,943","8,673","8,194","8,233","8,374","8,023","7,787","9,463","9,506","9,027","8,584","8,698"
Debt Growth,-,-,-,-,88.36%,-,-,121.64%,2.98%,-0.85%,-11.03%,11.33%,13.22%,14.62%,18.56%,0.23%,-2.13%,63.69%,60.49%,61.20%,56.87%,-5.60%,0.57%,-4.60%,-6.29%,-12.48%,-17.63%,-13.73%,-13.11%,-7.90%,-6.36%,-7.49%,-4.97%,14.93%,13.51%,12.52%,10.23%,-8.08%
Common Stock,"2,841",-,-,"2,881","10,770","10,699","10,552","10,441","10,461","10,433","10,434","10,613","10,627","10,654","10,687","10,640","10,591","10,723","10,695","10,718","10,742","10,773","10,787","10,860","10,919","10,952","11,060","11,121","11,062","10,999","10,796","10,619","10,642","10,655","10,652","10,688","10,701","10,713"
Retained Earnings,"1,961",-,-,"2,207","1,662","1,104","1,060",83.3,-105.9,-139.2,-147.2,79.3,172.4,"1,197","1,302","1,428","1,573","1,635","1,671","1,805","1,997","2,088","2,114","2,240","1,032","1,126","1,186","1,371","1,608","1,711","1,663","1,934","2,214","2,188",110,240.2,278.2,176.5
Comprehensive Income,-495.3,-,-,-532.5,-780.2,-827.5,-677.2,-611.4,-626.4,-742.1,-601.6,-543.4,-457.3,-497.6,-441.7,-674.3,-695.3,-754.8,-725.5,-695.4,"-1,069.2","-1,034.9","-1,419","-1,387.4","-1,319.9","-1,115.3","-1,194.3","-1,040.8",-999.1,"-1,012.7",-880.2,"-1,095.4","-1,454.3","-1,308.9","-1,118.5",-920.3,-898.6,-741.5
Shareholders' Equity,"4,307",-,-,"4,556","11,652","10,976","10,935","9,913","9,729","9,552","9,685","10,149","10,343","11,353","11,548","11,394","11,469","11,604","11,641","11,828","11,670","11,825","11,482","11,713","10,631","10,963","11,052","11,451","11,670","11,697","11,578","11,458","11,402","11,535","9,643","10,008","10,081","10,148"
