,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,"20,469","24,804","25,305","27,456","26,097","25,357","23,898","21,082","23,350","29,940","27,810","24,184","24,695","30,216","25,490","25,194","23,021","16,861","22,645","23,899","22,617","23,269","9,871","12,935","15,277","20,263","23,741","28,219","27,847","25,387","18,145","13,851","13,581","14,805","12,709","14,537","12,784","15,803","16,095"
Market Cap Growth,-,-,-,-,-,-,27.49%,2.23%,-5.56%,-23.22%,-10.53%,18.07%,16.37%,14.72%,5.76%,0.92%,-8.34%,4.17%,-6.78%,-44.20%,-11.16%,-5.14%,-1.75%,38.00%,-56.41%,-45.88%,-32.45%,-12.92%,140.51%,118.16%,82.28%,25.29%,-23.57%,-50.92%,-51.23%,-41.68%,-29.96%,4.95%,-5.87%,6.74%,-
Enterprise Value,-,"16,191","33,245","40,436","38,147","40,527","37,707","37,311","31,874","28,590","29,929","40,766","36,612","32,873","30,679","39,413","33,461","31,240","34,694","31,461","31,573","33,388","31,519","30,988","13,415","12,660","17,496","24,514","22,281","30,559","30,801","31,557","20,964","15,326","15,940","18,702","12,340","16,062","12,372","17,526","17,818"
PE Ratio,-,-,10.13,11.76,12.03,12.64,11.87,11.45,10.65,9.62,10.51,13.30,12.83,11.12,11.62,15.62,12.28,11.07,9.62,6.04,6.95,7.00,5.95,6.21,3.39,6.16,11.35,15.09,11.40,8.61,6.79,6.08,4.44,3.80,4.23,4.98,4.81,6.04,5.48,7.20,7.62
PS Ratio,-,-,3.32,3.93,3.93,4.19,3.89,3.73,3.47,3.08,3.39,4.29,4.00,3.44,3.50,4.27,3.53,3.41,3.07,2.18,2.69,2.74,2.45,2.55,1.23,1.88,2.59,3.46,3.54,3.42,3.01,2.68,1.91,1.53,1.58,1.78,1.60,1.89,1.66,2.06,2.10
PB Ratio,-,-,2.06,2.37,2.29,2.37,2.15,2.01,1.81,1.54,1.67,2.11,1.94,1.69,1.72,2.12,1.78,1.74,1.65,1.15,1.54,1.62,1.50,1.54,0.83,1.09,1.26,1.60,1.77,1.99,2.00,1.86,1.35,1.03,1.04,1.15,0.96,1.09,0.93,1.14,1.16
P/FCF Ratio,-,-,3.76,4.65,4.84,5.16,4.89,4.10,3.97,3.41,3.50,4.60,4.28,3.59,3.15,3.52,2.83,2.67,2.49,1.80,2.33,2.51,2.45,2.59,1.20,1.49,1.97,2.71,3.05,4.12,3.88,3.58,2.73,1.97,1.98,2.21,1.77,2.00,1.57,1.84,1.87
P/OCF Ratio,-,-,3.76,4.65,4.84,5.16,4.89,4.10,3.97,3.41,3.50,4.60,4.28,3.59,3.15,3.52,2.83,2.67,2.49,1.80,2.33,2.51,2.45,2.59,1.20,1.49,1.97,2.71,3.05,4.12,3.88,3.58,2.73,1.97,1.98,2.21,1.77,2.00,1.57,1.84,1.87
Debt / Equity Ratio,-,3.59,2.77,2.62,2.18,2.05,1.96,1.93,1.55,1.41,1.44,1.42,1.41,1.44,1.38,1.46,1.46,1.50,1.70,1.63,1.49,1.44,1.35,1.32,1.44,1.35,1.30,1.24,1.13,0.95,0.92,1.06,1.00,0.91,1.10,1.10,1.13,1.06,1.11,1.15,1.15
Return on Capital (ROIC),Upgrade,-,7.20%,5.39%,5.56%,5.99%,6.16%,6.10%,6.00%,6.66%,6.64%,6.51%,6.55%,6.27%,6.21%,6.20%,5.52%,5.87%,6.29%,6.34%,7.21%,8.90%,9.49%,10.71%,10.72%,10.00%,7.56%,4.92%,4.83%,7.39%,11.96%,15.49%,14.95%,15.38%,14.40%,11.86%,11.11%,9.51%,8.84%,8.16%,7.46%
