,2014-03-28,2014-06-27,2014-09-26,2014-12-26,2015-03-27,2015-06-26,2015-09-25,2015-12-25,2016-03-25,2016-06-24,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-09-27,2019-12-27,2020-03-27,2020-06-26,2020-09-25,2020-12-25,2021-03-26,2021-06-25,2021-09-24,2021-12-24,2022-03-25,2022-06-24,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29
Cash & Equivalents,"1,429","1,613","2,457",868,697,701,"3,329","2,223","1,150",694,647,665,773,755,"1,218",704,559,770,848,505,565,546,927,742,796,474,945,"1,098","1,748","1,416","1,203",982,749,820,"1,088",793,905,"1,131","1,661","1,170"
Cash & Cash Equivalents,"1,429","1,613","2,457",868,697,701,"3,329","2,223","1,150",694,647,665,773,755,"1,218",704,559,770,848,505,565,546,927,742,796,474,945,"1,098","1,748","1,416","1,203",982,749,820,"1,088",793,905,"1,131","1,661","1,170"
Cash Growth,33.18%,27.81%,75.12%,-37.87%,-51.22%,-56.54%,35.49%,156.11%,64.99%,-1.00%,-80.56%,-70.09%,-32.78%,8.79%,88.25%,5.86%,-27.68%,1.99%,-30.38%,-28.27%,1.07%,-29.09%,9.32%,46.93%,40.88%,-13.19%,1.94%,47.98%,119.60%,198.73%,27.30%,-10.56%,-57.15%,-42.09%,-9.56%,-19.25%,20.83%,37.93%,52.67%,47.54%
Receivables,"3,415","3,527","3,094","3,305","3,042","3,147","3,084","2,850","2,774","2,169","2,046","2,034","2,244","2,271","2,138","2,378","2,643","2,591","2,361","2,380","2,463","2,463","2,320","2,338","2,461","2,146","2,377","2,640","2,921","2,985","2,928","2,844","3,068","3,132","2,865","2,910","3,048","2,998","2,967","2,828"
Inventory,"1,850","1,810","1,509","1,942","1,684","1,717","1,615","1,700","1,635","1,610","1,596","1,636","1,660","1,787","1,647","1,984","2,045","1,961","1,857","1,986","1,970","1,961","1,836","2,003","2,001","2,227","1,950","2,066","2,134","2,392","2,511","2,845","2,999","3,028","2,676","2,927","2,811","2,801","2,552","2,783"
Other Current Assets,-128,-77,"1,819",-70,"2,189","2,171",-143,-268,-145,456,486,474,469,541,923,667,713,619,"1,133",507,448,452,471,483,457,472,512,677,619,601,621,573,601,603,639,688,675,719,712,660
Total Current Assets,"6,566","6,873","8,879","6,045","7,612","7,736","7,885","6,505","5,414","4,929","4,775","4,809","5,146","5,354","5,926","5,733","5,960","5,941","6,199","5,378","5,446","5,422","5,554","5,566","5,715","5,319","5,784","6,481","7,422","7,394","7,263","7,244","7,417","7,583","7,268","7,318","7,439","7,649","7,892","7,441"
"Property, Plant & Equipment","3,181","3,154","2,920","3,118","2,878","2,925","2,920","2,866","2,899","2,976","3,052","2,956","3,046","3,165","3,159","3,527","3,676","3,633","3,497","3,550","3,596","3,636","3,574","3,659","3,558","3,598","3,650","3,768","3,662","3,723","3,778","3,827","3,817","3,712","3,567","3,781","3,818","3,781","3,754","3,854"
Goodwill and Intangibles,"5,552","5,527","4,813","7,468","6,462","6,438","6,379","6,119","6,108","7,043","7,371","7,163","7,150","7,306","7,492","7,478","7,516","7,314","7,388","7,296","7,222","7,464","7,336","7,448","6,782","6,755","6,817","7,000","6,890","6,917","7,139","7,012","6,904","6,707","6,546","6,868","6,813","6,770","6,638","7,114"
Other Long-Term Assets,"3,329","3,317","3,540","3,522","3,291","3,342","3,405","3,733","3,420","2,552","2,410","2,687","2,714","2,695","2,826","2,073","2,095","2,125","3,302","2,964","2,998","3,226","3,230","3,303","3,312","3,168","2,991","3,017","2,993","3,024","3,282","3,326","3,313","3,346","3,401","3,386","3,420","3,501","3,428","4,662"
Total Long-Term Assets,"12,062","11,998","11,273","14,108","12,631","12,705","12,704","12,718","12,427","12,571","12,833","12,806","12,910","13,166","13,477","13,078","13,287","13,072","14,187","13,810","13,816","14,326","14,140","14,410","13,652","13,521","13,458","13,785","13,545","13,664","14,199","14,165","14,034","13,765","13,514","14,035","14,051","14,052","13,820","15,630"
Total Assets,"18,628","18,871","20,152","20,153","20,243","20,441","20,589","19,223","17,841","17,500","17,608","17,615","18,056","18,520","19,403","18,811","19,247","19,013","20,386","19,188","19,262","19,748","19,694","19,976","19,367","18,840","19,242","20,266","20,967","21,058","21,462","21,409","21,451","21,348","20,782","21,353","21,490","21,701","21,712","23,071"
Accounts Payable,"1,421","1,433","1,230","1,382","1,233","1,206","1,143","1,108","1,116","1,157","1,090","1,123","1,226","1,309","1,387","1,556","1,613","1,583","1,548","1,538","1,485","1,438","1,357","1,433","1,390","1,271","1,276","1,629","1,793","1,938","1,911","1,964","1,986","1,917","1,593","1,751","1,678","1,616","1,563","1,690"
Deferred Revenue,58,119,176,121,96,179,185,113,110,160,208,149,129,62,0,127,147,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Debt,625,625,577,937,736,631,498,500,152,302,331,"1,052",879,878,710,688,675,714,963,585,612,602,570,561,603,691,694,685,919,505,503,484,610,822,914,820,286,291,682,613
Other Current Liabilities,"1,983","1,683","2,010","1,436","2,076","2,025","1,749","1,545","1,719","1,692","1,437","1,189","1,701","1,623","1,750","1,264","1,729","1,625","1,899","1,348","1,770","1,654","1,613","1,410","1,966","1,765","1,720","1,769","2,327","2,219","2,242","1,826","2,450","2,319","2,125","1,849","2,429","2,351","2,218","1,708"
Total Current Liabilities,"4,087","3,860","3,993","3,876","4,141","4,041","3,575","3,266","3,097","3,311","3,066","3,513","3,935","3,872","3,847","3,635","4,164","4,046","4,410","3,471","3,867","3,694","3,540","3,404","3,959","3,727","3,690","4,083","5,039","4,662","4,656","4,274","5,046","5,058","4,632","4,420","4,393","4,258","4,463","4,011"
