,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Long-Term Debt,"3,147","3,119","3,099","8,265","8,257","8,250","8,243","8,227","8,219","8,212","8,205","7,694","7,691","7,683","24,710","24,743","24,640","24,638","24,684","33,145","56,597","58,463","59,530","63,205","63,737","75,926","81,518","84,389","84,935","106,576","113,903","116,395","113,287","124,577","128,251","140,118","141,351","138,914","136,989","135,611"
Other Long-Term Liabilities,"4,532","5,426","6,142","7,410","7,768","8,510","8,900","9,249","9,966","10,739","11,412","12,607","14,205","16,364","18,827","20,975","22,214","23,666","24,562","17,563","9,400","10,149","10,925","12,171","12,518","14,764","15,974","17,017","19,418","21,148","23,945","23,643","23,971","23,458","22,259","21,121","20,931","21,853","21,707","25,451"
Total Long-Term Liabilities,"7,679","8,545","9,241","15,675","16,025","16,760","17,143","17,476","18,185","18,951","19,617","20,301","21,896","24,047","43,537","45,718","46,854","48,304","49,246","50,708","65,997","68,612","70,455","75,376","76,255","90,690","97,492","101,406","104,353","127,724","137,848","140,038","137,258","148,035","150,510","161,239","162,282","160,767","158,696","161,062"
Total Liabilities,"26,036","27,296","30,083","43,764","39,202","40,672","43,800","51,363","46,372","48,538","53,115","64,117","59,295","64,567","90,609","103,601","94,899","99,105","104,570","119,099","129,692","138,290","142,591","163,188","155,966","184,586","199,404","227,791","219,757","245,516","261,842","282,304","276,766","288,326","290,873","316,632","309,852","309,005","303,910","325,979"
Total Debt,"3,147","3,119","3,099","8,265","8,257","8,250","8,243","8,227","8,219","8,212","8,205","7,694","7,691","7,683","24,710","24,743","24,640","24,638","24,684","33,145","56,597","58,463","59,530","63,205","63,737","75,926","81,518","84,389","84,935","106,576","113,903","116,395","113,287","124,577","128,251","140,118","141,351","138,914","136,989","135,611"
Debt Growth,3.52%,2.53%,1.84%,159.01%,162.38%,164.51%,165.99%,-0.46%,-0.46%,-0.46%,-0.46%,-6.48%,-6.42%,-6.44%,201.16%,221.59%,220.37%,220.68%,-0.11%,33.96%,129.70%,137.29%,141.17%,90.69%,12.62%,29.87%,36.94%,33.52%,33.26%,40.37%,39.73%,37.93%,33.38%,16.89%,12.60%,20.38%,24.77%,11.51%,6.81%,-3.22%
Common Stock,"8,187","8,573","8,995","9,303","9,733","10,401","11,042","11,562","12,312","13,194","14,136","15,354","16,144","17,297","18,380","19,557","20,731","22,196","23,543","24,959","26,227","28,203","29,985","31,826","33,580","36,185","38,475","41,033","43,328","46,892","50,047","53,706","54,295","56,141","61,689","67,337","72,134","79,167","84,982","91,297"
Retained Earnings,"2,298","2,172","1,735","1,949","1,892","1,984","2,063","2,545","3,058","3,915","4,167","4,916","6,327","6,524","6,779","8,636","11,199","13,733","16,616","19,625","23,193","25,818","27,952","31,220","33,755","38,998","45,329","52,551","60,658","68,436","71,592","85,915","82,071","80,043","82,915","83,193","86,365","93,115","102,994","113,618"
Comprehensive Income,-157,-143,-394,-511,-752,-617,-675,-723,-614,-571,-521,-985,-797,-607,-501,-484,-467,-934,"-1,034","-1,035","-1,010",-960,"-1,429",-986,"-2,063","-1,455","-1,029",-180,-666,-525,"-1,075","-1,376","-2,365","-4,782","-7,115","-4,487","-3,973","-3,680","-5,003","-3,040"
Shareholders' Equity,"10,328","10,602","10,336","10,741","10,873","11,768","12,430","13,384","14,756","16,538","17,782","19,285","21,674","23,214","24,658","27,709","31,463","34,995","39,125","43,549","48,410","53,061","56,508","62,060","65,272","73,728","82,775","93,404","103,320","114,803","120,564","138,245","134,001","131,402","137,489","146,043","154,526","168,602","182,973","201,875"
Net Cash / Debt,"5,519","4,867","3,784","9,151","5,524","5,751","6,185","11,581","7,640","8,328","10,142","18,287","13,840","13,768",-400,"6,243",323,"2,412","5,081","8,105","-19,577","-17,000","-16,129","-8,184","-14,445","-4,535","-13,116",7,"-11,665","-16,682","-34,915","-20,346","-46,902","-63,867","-69,589","-70,092","-76,946","-74,944","-72,820","-48,831"
Net Cash / Debt Growth,13.68%,10.09%,-18.55%,-1.13%,0.09%,18.16%,63.45%,26.55%,38.31%,44.81%,63.98%,57.91%,81.15%,65.32%,-,-65.86%,-97.67%,-82.48%,-,29.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,0.59,0.53,0.41,0.98,0.59,0.60,0.65,1.21,0.79,0.86,1.05,1.88,1.41,1.40,-0.04,0.63,0.03,0.24,0.51,0.81,-1.95,-1.69,-1.60,-0.81,-1.43,-0.45,-1.28,0.00,-1.14,-1.62,-3.39,-1.97,-4.61,-6.28,-6.74,-6.86,-7.44,-7.17,-6.90,-4.60
Working Capital,970,4,"-2,270","3,238","2,745","2,479","2,192","1,818","2,326","2,633","2,111","1,965","2,061",487,"1,506","2,314","2,784","3,680","4,561","6,710","5,736","7,112","6,918","8,522","6,274","17,012","11,057","6,348","6,004","23,056","14,537","19,314","-5,632","-6,624","-8,900","-8,602","-11,349","-7,756","-2,219","7,434"
Book Value Per Share,1.12,1.15,1.12,1.16,1.17,1.26,1.33,1.43,1.57,1.75,1.88,2.02,2.27,2.42,2.56,2.87,3.25,3.60,4.01,4.44,4.93,5.38,5.71,6.24,6.55,7.37,8.26,9.32,10.25,11.36,11.90,13.61,13.18,12.91,13.49,14.29,15.08,16.39,17.73,19.49
