,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"14,515","13,591","14,853","15,421","15,253","15,108","15,099","13,953","13,168","11,505","11,916","14,814","16,645","18,143","18,466","18,592","20,375","17,643","15,164","16,683","12,502","13,969","16,134","15,930","15,272","8,609","11,376","11,055","13,629","16,346","17,188","17,285","19,172","19,177","16,877","17,982","20,534","18,067","18,412","17,420","19,082"
Market Cap Growth,73.36%,36.12%,35.17%,22.35%,5.08%,11.16%,1.66%,-9.52%,-13.67%,-23.85%,-21.08%,6.17%,26.41%,57.70%,54.97%,25.50%,22.40%,-2.75%,-17.88%,-10.26%,-38.64%,-20.83%,6.39%,-4.51%,22.15%,-38.37%,-29.49%,-30.61%,-10.76%,89.88%,51.09%,56.35%,40.67%,17.32%,-1.81%,4.04%,7.10%,-5.78%,9.10%,-3.13%,-
Enterprise Value,"14,896","14,863","15,788","16,806","15,948","16,198","16,177","14,947","14,049","12,753","12,957","15,914","17,103","19,794","19,629","19,031","21,122","18,582","16,107","17,038","12,827","15,019","16,657","16,592","16,584","8,902","12,466","11,854","15,143","18,706","19,133","18,493","21,200","20,995","18,051","17,790","19,763","18,139","18,357","16,810","18,472"
PE Ratio,16.50,13.66,13.76,14.36,13.73,12.27,12.95,11.38,10.89,9.89,9.58,11.83,12.64,13.98,14.38,10.41,8.82,7.48,6.05,7.75,8.08,8.85,10.69,11.98,10.95,6.87,8.99,9.03,9.76,10.07,10.83,10.10,11.21,12.52,3.94,3.43,4.27,4.22,11.84,11.73,12.89
PS Ratio,1.56,1.42,1.49,1.51,1.46,1.42,1.34,1.16,1.10,0.93,0.98,1.27,1.34,1.46,1.47,1.29,1.45,1.27,1.08,1.22,0.88,0.93,1.02,1.00,0.94,0.51,0.70,0.74,0.93,1.22,1.24,1.24,1.34,1.36,0.98,0.97,1.17,1.05,1.30,1.24,1.35
PB Ratio,1.50,1.36,1.43,1.50,1.50,1.45,1.56,1.45,1.41,1.15,1.14,1.37,1.63,1.71,1.65,1.55,1.59,1.45,1.30,1.43,1.10,1.10,1.15,1.08,1.05,0.67,0.75,0.71,0.82,1.06,1.06,1.08,1.19,1.61,1.53,1.90,2.06,1.77,1.78,1.63,1.79
P/FCF Ratio,6.71,6.47,5.55,5.38,5.14,5.00,4.04,3.39,3.11,2.56,2.81,3.87,4.50,5.45,5.47,4.24,5.06,4.14,3.90,4.00,2.47,2.54,2.65,2.75,2.85,1.49,2.40,2.75,3.79,7.61,6.39,6.72,6.14,6.37,5.98,5.90,6.72,4.86,4.59,4.46,4.88
P/OCF Ratio,6.53,6.13,5.28,5.10,4.92,4.81,3.93,3.30,3.01,2.48,2.72,3.72,4.31,5.21,5.19,4.08,4.86,4.00,3.79,3.90,2.42,2.50,2.60,2.70,2.78,1.46,2.34,2.67,3.67,7.23,6.15,6.39,5.89,6.10,5.70,5.70,6.47,4.71,4.46,4.34,4.76
Debt / Equity Ratio,0.28,0.27,0.26,0.26,0.25,0.24,0.34,0.36,0.37,0.34,0.31,0.31,0.31,0.30,0.28,0.27,0.25,0.27,0.28,0.28,0.29,0.26,0.27,0.26,0.26,0.29,0.28,0.28,0.26,0.28,0.27,0.27,0.27,0.38,0.39,0.43,0.41,0.46,0.39,0.37,0.37
Return on Capital (ROIC),Upgrade,7.50%,8.41%,8.76%,8.78%,9.19%,9.86%,9.39%,9.70%,9.81%,8.87%,9.09%,9.05%,10.12%,9.71%,9.26%,11.92%,14.46%,15.35%,16.87%,14.45%,10.56%,9.99%,8.57%,7.26%,7.79%,7.63%,6.65%,6.24%,6.80%,8.36%,7.82%,8.51%,8.56%,9.57%,28.19%,39.17%,34.09%,28.37%,10.43%,9.81%
