,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,283.37,297.64,304.11,477.07,379.39,384.18,422.39,447.15,399.32,493.09,405.44,475.02,546.56,564.58,834.76,941.12,979.57,919.66,924.44,"1,035","1,057","1,170","1,059","1,271","1,071",765.79,788.85,934.9,958.32,"1,301","1,271","1,520","1,298","1,423","1,318","1,435","1,272","1,254","1,094","1,390"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,7.48,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,283.37,297.64,304.11,477.07,379.39,384.18,422.39,447.15,399.32,493.09,405.44,475.02,546.56,564.58,834.76,941.12,979.57,919.66,924.44,"1,035","1,057","1,170","1,059","1,271","1,071",765.79,788.85,934.9,958.32,"1,301","1,271","1,520","1,298","1,423","1,318","1,435","1,272","1,254","1,094","1,390"
Cash Growth,26.16%,1.62%,-12.03%,41.10%,33.88%,29.07%,38.89%,-6.27%,5.25%,28.35%,-4.01%,6.23%,36.87%,14.50%,105.89%,98.12%,79.23%,62.89%,10.74%,9.92%,7.95%,27.26%,14.53%,22.91%,1.25%,-34.57%,-25.49%,-26.47%,-10.49%,69.92%,61.12%,62.59%,35.47%,9.36%,3.66%,-5.58%,-1.99%,-11.86%,-16.95%,-3.17%
Receivables,682.75,688.53,715.66,664.08,773.47,811.48,731.96,637.54,880.81,901.29,"1,354","1,202","1,361","1,430","1,607","1,444","1,692","1,717","1,811","1,422","1,655","1,727","1,704","1,528","1,338","1,279","1,553","1,367","1,591","1,787","2,072","1,732","2,305","2,449","2,185","2,065","2,369","2,461","2,655","2,124"
Inventory,0,0,0,0,0,0,0,-10.6,0,0,0,-11.35,0,0,-150.67,-48.06,0,0,0,-20.37,0,0,0,0,0,0,7.48,7.48,0,0,0,-61.7,0,0,0,"2,141","2,281","2,705","2,617",0
Other Current Assets,505.28,536.89,484.9,986.48,956.4,"1,005",879.2,859.07,774.46,949.48,945.04,850.67,974.7,"1,051","1,230","1,216","1,236","1,413","1,397","1,419","1,459","1,489","1,677","1,778","1,720","1,419","1,615","1,640","1,736","2,166","2,182","2,260","2,573","2,952","3,084",469.15,436.34,503.68,493.47,"3,212"
Total Current Assets,"1,471","1,523","1,505","2,128","2,109","2,201","2,034","1,933","2,055","2,344","2,705","2,516","2,882","3,045","3,522","3,553","3,907","4,049","4,133","3,856","4,172","4,386","4,440","4,578","4,129","3,464","3,971","3,956","4,285","5,254","5,524","5,450","6,176","6,823","6,586","6,110","6,359","6,924","6,860","6,726"
"Property, Plant & Equipment",54.89,56.5,56.18,73.56,72.07,73.16,75.86,80.76,85.61,90.42,144.49,142.5,149.04,154.28,168.07,180.06,184.03,179.1,184.98,186.2,186.25,190.22,185.52,199.83,183.23,185.6,189.95,202.51,200.16,216.68,220.64,236.29,254.43,260.59,272.59,294.69,310.39,329.15,329.99,343.15
Long-Term Investments,-4.26,162.38,147.51,141.93,124.09,121.81,125.18,76.57,82.63,90.8,79.72,36.2,40.76,40.85,33.53,32.86,32.86,39.86,33.03,42.67,26.51,26.64,26.25,30.44,28.07,61.77,7.48,7.48,11.86,11.86,11.86,52.02,71.06,67.07,74.35,74.28,67.59,69.72,67.96,69.52
