,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"40,129","40,056","42,741","43,827","45,670","44,823","47,070","43,320","45,052","39,622","41,845","42,579","50,097","48,999","53,055","54,778","55,154","52,032","54,506","50,987","46,542","48,138","42,274","42,618","46,414","29,982","34,222","30,420","37,608","41,555","44,851","44,747","47,964","39,927","33,693","31,128","36,793","36,543","35,132","33,215","42,414"
Market Cap Growth,33.62%,23.16%,31.28%,26.18%,13.81%,11.90%,10.13%,-1.16%,-1.35%,-11.60%,-11.10%,-1.71%,11.20%,23.67%,26.79%,28.65%,10.09%,6.19%,2.74%,-6.92%,-15.61%,-7.48%,-22.44%,-16.41%,-0.27%,-37.72%,-19.05%,-28.62%,-18.97%,38.60%,31.06%,47.09%,27.54%,-3.92%,-24.88%,-30.44%,-23.29%,-8.48%,4.27%,6.70%,-
Enterprise Value,"-75,719","-59,550","-78,435","-53,119","-44,958","-41,796","-52,498","-36,440","-52,762","-38,077","-33,065","-23,734","7,354","5,053","1,446","2,733","-4,472","-4,196","4,916","-1,364","7,114","14,118","2,302","-9,302","-24,809","-101,029","-56,956","-55,777","-90,080","-72,875","-69,423","-71,238","-38,948","-81,436","-73,939","-55,380","-33,871","-41,610","-46,693","-47,403","-38,204"
PE Ratio,19.67,13.50,15.89,15.66,18.31,17.25,16.37,16.50,14.76,12.82,13.56,13.14,14.63,14.00,14.73,15.17,14.09,12.48,12.68,11.61,11.36,12.43,11.17,11.48,10.87,6.96,8.07,7.40,10.99,12.45,13.09,13.04,13.50,11.77,10.41,11.64,15.58,14.23,12.71,9.77,13.79
PS Ratio,2.69,2.68,2.92,2.83,2.91,2.84,2.95,2.86,2.97,2.62,2.79,2.81,3.29,3.19,3.42,3.51,3.55,3.28,3.39,3.16,2.84,2.99,2.66,2.72,2.82,1.80,2.04,1.82,2.38,2.66,2.88,2.84,3.01,2.51,2.08,1.89,2.25,2.17,2.07,1.94,2.48
PB Ratio,1.07,1.05,1.12,1.14,1.22,1.20,1.23,1.14,1.18,1.03,1.09,1.07,1.29,1.25,1.33,1.35,1.34,1.25,1.31,1.23,1.15,1.17,1.02,1.04,1.12,0.73,0.78,0.68,0.82,0.92,0.99,1.03,1.12,0.96,0.82,0.78,0.90,0.90,0.86,0.81,1.04
P/FCF Ratio,-32.08,110.35,21.69,17.79,10.68,8.46,10.21,9.49,12.78,7.33,18.16,39.46,9.10,20.84,28.90,8.03,15.89,13.16,7.69,16.76,9.48,10.19,68.52,9.80,-41.66,-16.21,5.17,12.79,9.86,17.53,-30.53,-20.07,28.95,4.84,3.36,2.23,2.67,3.02,4.13,3.46,4.42
P/OCF Ratio,-62.51,38.26,15.82,16.17,10.19,8.20,9.95,8.38,10.92,6.61,14.16,25.06,7.99,15.08,17.87,6.77,11.82,10.33,6.75,12.43,7.76,8.16,22.09,7.41,483.48,-46.85,4.42,8.86,7.46,11.71,-103.82,-38.71,16.90,4.23,2.90,2.04,2.44,2.72,3.66,3.05,3.89
Debt / Equity Ratio,0.81,0.84,0.84,0.84,0.87,0.78,0.81,0.81,0.97,0.97,0.84,0.84,0.91,1.05,1.02,1.10,1.19,1.32,1.13,1.01,1.20,1.12,1.22,1.07,1.05,1.05,1.02,0.96,0.82,0.91,0.85,0.87,0.89,0.93,0.97,0.99,1.06,1.47,1.35,1.09,1.09
Return on Capital (ROIC),Upgrade,3.04%,4.24%,3.82%,3.99%,3.84%,4.19%,4.44%,4.11%,4.35%,4.38%,4.72%,4.77%,4.78%,4.55%,4.65%,4.46%,5.26%,5.26%,6.00%,6.58%,5.19%,5.03%,4.68%,4.98%,5.65%,5.85%,5.69%,5.61%,5.12%,4.72%,4.70%,4.80%,4.91%,4.83%,4.76%,4.13%,3.53%,3.18%,3.49%,4.72%
