,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31,Current
Market Capitalization,"6,152","5,797","5,844","6,386","6,582","7,205","7,885","7,794","6,497","7,201","8,223","8,976","9,440","11,092","11,509","12,999","13,772","12,717","13,326","13,303","13,957","18,123","19,901","20,401","22,205","23,604","30,040","32,456","39,092","37,645","43,940","50,811","47,643","43,907","56,217","44,734","53,918","56,553","68,746","71,394","84,330"
Market Cap Growth,21.68%,5.96%,2.61%,13.55%,6.99%,24.29%,34.91%,22.06%,-1.29%,-0.06%,4.29%,15.16%,45.29%,54.04%,39.97%,44.83%,45.90%,14.66%,15.79%,2.34%,1.34%,42.50%,49.34%,53.36%,59.10%,30.24%,50.95%,59.09%,76.05%,59.49%,46.27%,56.55%,21.87%,16.63%,27.94%,-11.96%,13.17%,28.80%,22.29%,59.60%,-
Enterprise Value,"5,357","5,265","5,024","5,475","5,967","6,419","6,974","7,034","6,019","6,491","7,411","8,064","8,793","10,378","10,643","12,095","13,739","12,671","13,206","13,049","13,907","17,783","19,356","19,811","22,364","23,518","29,664","31,884","38,725","36,880","43,084","49,897","46,951","42,867","55,354","43,825","53,306","55,547","67,600","70,491","83,428"
PE Ratio,25.05,24.13,23.05,24.64,25.65,28.95,33.04,34.50,29.43,30.70,33.72,33.64,32.18,40.00,34.95,95.19,297.56,133.24,229.33,30.76,23.67,29.93,31.79,38.32,45.98,49.73,47.87,48.85,54.10,46.60,58.31,67.08,52.42,43.53,54.45,45.43,57.21,61.43,66.47,58.05,69.81
PS Ratio,3.13,2.92,2.89,3.10,3.10,3.34,3.59,3.48,2.86,3.11,3.46,3.71,3.77,4.30,4.32,4.77,4.85,4.33,4.41,4.26,4.40,5.61,6.02,6.07,6.58,6.94,8.56,8.81,10.23,9.45,10.78,12.09,10.58,9.23,11.36,8.80,10.42,10.69,12.44,12.22,14.43
PB Ratio,2.18,1.99,1.95,2.09,2.24,2.35,2.51,2.49,2.17,2.29,2.64,2.81,2.84,3.28,3.36,3.97,4.39,3.91,4.22,3.82,3.69,4.64,5.06,5.00,5.35,5.52,6.54,6.61,8.01,7.40,8.53,9.60,8.84,7.89,10.03,8.11,9.57,9.70,11.54,11.61,13.72
P/FCF Ratio,13.80,13.71,11.93,14.38,15.44,15.67,19.75,19.27,14.10,13.36,15.81,17.41,15.87,22.37,21.96,23.26,31.08,33.65,34.66,41.04,58.51,35.75,35.74,34.11,30.58,30.79,37.12,38.98,38.19,31.89,36.01,36.37,34.90,27.80,35.50,27.96,34.63,38.02,43.02,47.24,55.79
P/OCF Ratio,11.96,11.77,10.26,11.59,12.25,12.41,15.29,15.74,11.87,11.71,13.90,15.30,14.12,19.49,19.27,20.55,26.16,27.24,27.98,31.35,41.12,28.82,28.02,25.49,23.27,24.05,29.73,32.74,33.83,28.92,33.18,34.04,32.31,25.86,32.76,25.73,31.76,34.26,38.82,41.92,49.51
Debt / Equity Ratio,0.03,0.10,0.03,0.02,0.10,0.07,0.07,0.07,0.08,0.08,0.09,0.06,0.10,0.12,0.13,0.04,0.18,0.16,0.20,0.13,0.14,0.07,0.04,0.03,0.21,0.18,0.15,0.14,0.13,0.14,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11
Quick Ratio,1.10,0.88,0.93,0.95,0.89,1.01,0.98,0.86,0.74,0.85,0.85,0.91,0.89,0.94,0.97,0.93,0.57,0.61,0.60,0.61,0.67,0.67,0.70,0.73,0.73,0.73,0.82,0.94,0.83,0.92,0.90,0.89,0.93,0.99,0.87,0.85,0.86,0.90,0.92,0.85,0.85
