,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"59,323","62,537","60,420","61,449","56,487","62,475","52,661","53,592","48,845","43,760","48,823","59,232","57,429","59,112","55,216","53,204","47,572","44,321","46,479","40,520","40,751","47,205","44,163","46,874","27,997","33,145","33,738","42,253","53,763","52,394","52,896","52,564","57,986","51,061","48,479","56,782","44,867","43,292","47,310","48,949","50,257"
Market Cap Growth,42.68%,24.81%,17.30%,1.66%,-4.78%,-0.10%,-12.84%,-12.79%,-13.53%,-29.96%,-7.29%,10.53%,17.57%,35.08%,13.09%,-10.18%,-17.16%,-25.02%,-15.82%,-23.84%,-14.34%,6.51%,-4.98%,15.68%,-31.30%,-29.78%,-23.61%,-9.86%,92.03%,58.07%,56.79%,24.40%,7.86%,-2.54%,-8.35%,8.02%,-22.63%,-15.22%,-2.41%,-13.80%,-
Enterprise Value,"75,032","79,416","75,515","74,416","73,563","78,628","66,646","66,296","60,865","50,663","56,946","67,707","64,017","65,940","63,459","60,931","54,131","47,255","51,906","42,003","43,580","46,449","42,458","48,120","22,843","27,791","28,299","41,452","52,925","46,240","52,257","50,713","52,579","48,284","44,869","55,283","45,064","46,449","51,845","47,775","54,792"
PE Ratio,16.53,14.05,10.84,9.93,8.05,9.29,8.99,10.28,9.25,10.17,13.27,79.29,-98.84,268.69,-123.25,13.62,11.10,10.39,8.86,8.13,8.02,7.97,6.14,8.19,3.20,4.65,6.02,8.14,48.22,11.87,9.98,7.90,7.31,9.37,9.64,11.14,12.67,14.28,20.09,35.47,25.57
PS Ratio,0.88,0.89,0.83,0.84,0.75,0.86,0.73,0.87,0.80,0.73,0.84,0.97,0.98,1.00,0.93,0.85,0.77,0.65,0.68,0.60,0.59,0.72,0.65,0.67,0.39,0.49,0.52,0.62,0.83,0.75,0.75,0.77,0.85,0.78,0.68,0.83,0.65,0.62,0.75,0.73,0.78
PB Ratio,0.90,0.90,0.85,0.85,0.77,0.90,0.75,0.79,0.65,0.55,0.62,0.88,0.85,0.85,0.97,0.91,0.85,0.83,0.90,0.77,0.70,0.74,0.65,0.71,0.40,0.44,0.46,0.57,0.82,0.76,0.77,0.78,1.08,1.38,1.93,1.90,1.39,1.43,1.84,1.63,1.96
P/FCF Ratio,3.74,3.97,3.53,3.75,3.41,3.82,3.52,3.81,3.68,3.27,3.58,4.01,3.84,4.20,3.48,4.33,4.14,3.24,3.72,3.45,3.26,5.08,4.46,3.40,2.06,2.76,2.89,3.63,4.76,4.13,4.26,4.26,4.50,3.40,3.06,4.35,3.44,3.71,4.36,3.57,4.54
P/OCF Ratio,3.74,3.97,3.53,3.75,3.41,3.82,3.52,3.81,3.68,3.27,3.58,4.01,3.84,4.20,3.48,4.33,4.14,3.24,3.72,3.45,3.26,5.08,4.46,3.40,2.06,2.76,2.89,3.63,4.76,4.13,4.26,4.26,4.50,3.40,3.06,4.35,3.44,3.71,4.36,3.57,4.54
Debt / Equity Ratio,0.37,0.35,0.34,0.33,0.34,0.35,0.34,0.37,0.33,0.30,0.31,0.31,0.35,0.35,0.37,0.35,0.36,0.36,0.35,0.33,0.30,0.28,0.26,0.27,0.27,0.25,0.26,0.25,0.29,0.27,0.27,0.27,0.34,0.48,0.74,0.63,0.58,0.61,0.76,0.65,0.65
Return on Capital (ROIC),Upgrade,4.14%,4.90%,6.04%,6.61%,7.23%,7.37%,6.34%,3.76%,3.51%,2.26%,2.02%,2.03%,0.59%,1.61%,1.35%,5.82%,6.40%,6.79%,7.73%,7.32%,6.93%,7.49%,8.57%,6.29%,9.31%,7.08%,5.66%,5.79%,1.63%,5.27%,6.32%,8.02%,11.31%,10.30%,11.98%,10.91%,7.36%,6.63%,5.68%,3.22%
Dividend Yield,2.10%,2.10%,2.30%,2.40%,2.80%,2.50%,3.10%,3.10%,3.40%,3.80%,3.50%,2.90%,3.00%,2.90%,3.10%,3.20%,3.50%,3.70%,3.50%,4.00%,3.90%,3.40%,3.60%,3.40%,5.80%,4.90%,4.80%,3.90%,3.00%,3.10%,3.00%,3.00%,2.70%,3.10%,3.20%,2.70%,3.50%,3.60%,3.20%,3.10%,3.02%
Payout Ratio,23.90%,29.70%,19.10%,26.70%,18.50%,40.30%,35.00%,48.70%,18.80%,666.70%,76.90%,-21.20%,50.00%,49.40%,-444.40%,18.80%,33.30%,50.60%,47.20%,20.80%,29.80%,24.70%,19.00%,72.10%,9.20%,657.10%,65.70%,306.70%,139.40%,12.50%,27.00%,27.10%,25.10%,45.90%,36.20%,25.40%,2500.00%,108.30%,92.90%,67.50%,77.32%
Buyback Yield / Dilution,-2.74%,-2.79%,-2.51%,-1.34%,0.54%,0.87%,0.70%,2.15%,0.52%,1.54%,1.61%,1.12%,2.19%,2.07%,3.28%,4.26%,4.66%,5.52%,6.40%,6.22%,7.66%,6.51%,5.87%,6.81%,4.33%,4.50%,3.07%,2.14%,3.43%,3.54%,5.59%,6.53%,6.71%,7.11%,6.92%,6.72%,6.15%,5.83%,5.72%,5.66%,5.72%
Total Shareholder Return,-0.64%,-0.69%,-0.21%,1.06%,3.34%,3.37%,3.80%,5.25%,3.92%,5.34%,5.11%,4.02%,5.19%,4.97%,6.38%,7.46%,8.16%,9.22%,9.90%,10.22%,11.56%,9.91%,9.47%,10.21%,10.13%,9.40%,7.87%,6.04%,6.43%,6.64%,8.59%,9.53%,9.41%,10.21%,10.12%,9.42%,9.65%,9.43%,8.92%,8.76%,8.74%
