,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"5,224","6,429","6,326","13,120","8,810","14,072","15,179","20,579","14,741","22,255","23,495"
Market Cap Growth,11.95%,23.05%,-1.59%,107.40%,-32.85%,59.73%,7.87%,35.58%,-28.37%,50.97%,-
Enterprise Value,"5,278","6,575","6,508","13,029","8,675","13,595","13,959","19,533","13,175","20,053","21,294"
PE Ratio,18.55,16.79,14.88,24.41,11.05,16.02,16.84,16.64,8.54,13.98,15.95
PS Ratio,1.19,1.27,1.11,2.13,1.26,1.95,2.07,2.37,1.43,2.39,2.52
PB Ratio,4.65,5.19,4.85,8.17,4.87,6.01,4.89,6.85,4.20,5.10,5.38
P/FCF Ratio,33.95,30.74,17.02,23.81,12.50,16.64,16.68,16.79,7.96,15.08,15.92
P/OCF Ratio,28.31,28.36,16.10,23.00,12.18,16.24,16.40,16.56,7.88,14.86,15.68
EV/Sales Ratio,1.21,1.30,1.14,2.11,1.24,1.88,1.90,2.24,1.28,2.15,2.29
EV/EBITDA Ratio,10.68,10.14,9.22,14.58,8.63,12.68,12.24,11.75,5.70,10.16,10.79
EV/EBIT Ratio,11.07,10.49,9.52,14.96,8.81,12.93,12.48,11.88,5.75,10.25,10.89
EV/FCF Ratio,34.30,31.44,17.51,23.65,12.31,16.08,15.34,15.94,7.11,13.59,14.43
Debt / Equity Ratio,0.53,0.48,0.46,0.37,0.33,0.29,0.51,0.53,0.29,0.23,0.23
Debt / EBITDA Ratio,1.21,0.92,0.85,0.67,0.59,0.64,1.39,0.96,0.44,0.51,0.51
Debt / FCF Ratio,3.89,2.85,1.61,1.08,0.85,0.81,1.75,1.30,0.54,0.69,0.69
Asset Turnover,1.81,2.02,2.17,2.11,2.31,1.98,1.47,1.49,1.87,1.47,1.47
Interest Coverage,20.60,26.60,31.48,36.02,39.27,41.42,27.38,30.94,58.01,70.52,70.52
Return on Equity (ROE),24.00%,31.10%,32.60%,34.70%,48.60%,40.20%,32.60%,40.90%,56.10%,38.50%,38.50%
Return on Assets (ROA),11.60%,15.20%,16.10%,18.40%,26.30%,24.00%,18.10%,21.20%,31.30%,25.10%,25.10%
Return on Capital (ROIC),17.00%,21.46%,22.85%,24.88%,33.60%,29.42%,19.77%,27.68%,38.69%,29.76%,29.76%
Earnings Yield,5.39%,5.96%,6.72%,4.10%,9.05%,6.24%,5.94%,6.01%,11.71%,7.15%,6.77%
FCF Yield,2.95%,3.25%,5.87%,4.20%,8.00%,6.01%,6.00%,5.96%,12.57%,6.63%,6.28%
Buyback Yield / Dilution,8.78%,4.06%,3.55%,-3.31%,3.49%,2.91%,1.41%,1.48%,9.07%,2.11%,2.11%
Total Shareholder Return,8.78%,4.06%,3.55%,-3.31%,3.49%,2.91%,1.41%,1.48%,9.07%,2.11%,2.11%
