,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Long-Term Liabilities,"3,698","3,024","2,915","3,026","2,889","2,794","2,741","3,652","3,692","3,704","3,644","3,725","3,761","3,698","3,634","2,837","2,841","2,842","2,835","2,891","2,823","2,789","2,765","2,782","2,789","2,801","4,128","4,128","4,694","4,694","4,694","4,694","4,034","4,034","4,034","4,034","3,977","3,844","4,880","4,714"
Total Long-Term Liabilities,"7,282","5,272","5,162","5,261","5,136","5,041","4,988","8,369","8,410","8,423","8,364","7,596","7,633","7,572","8,499","7,104","7,110","7,113","9,323","9,381","9,621","9,581","9,548","8,313","8,313","10,778","18,574","18,574","17,343","17,343","17,343","17,343","22,406","22,406","22,406","22,406","22,333","22,190","26,228","25,672"
Total Liabilities,"52,685","54,942","54,499","55,697","53,934","50,621","53,446","63,112","64,046","59,861","60,718","66,213","63,639","64,391","63,099","61,279","65,056","66,007","70,388","75,489","76,656","73,712","78,082","77,129","121,839","106,971","106,573","106,573","170,754","170,754","170,754","170,754","171,577","171,577","171,577","171,577","128,339","112,394","111,510","110,298"
Total Debt,"4,881","3,931","4,136","4,277","4,193","3,263","3,500","7,308","6,766","6,530","6,305","6,364","6,248","5,897","6,062","6,100","6,892","6,916","7,686","7,441","7,803","8,095","8,112","8,100","8,595","8,682","16,857","16,857","14,170","14,170","14,170","14,170","18,376","18,376","18,376","18,376","18,356","18,346","23,605","22,912"
Debt Growth,436.08%,389.66%,423.15%,-15.44%,-14.10%,-16.99%,-15.38%,70.87%,61.36%,100.12%,80.14%,-12.92%,-7.66%,-9.69%,-3.85%,-4.15%,10.31%,17.28%,26.79%,21.98%,13.22%,17.05%,5.54%,8.86%,10.15%,7.25%,107.80%,108.11%,64.86%,63.21%,-15.94%,-15.94%,29.68%,29.68%,29.68%,29.68%,-0.11%,-0.16%,28.46%,24.68%
Common Stock,"9,747","9,783","9,370","9,196","9,009","8,837","8,668","10,848","10,841","10,881","10,917","11,272","11,011","10,797","10,596","10,322","9,986","9,572","9,288","9,199","8,752","8,463","8,174","7,869","7,169","6,812","8,651","8,651","8,555","8,555","8,555","8,555","8,094","8,094","8,094","8,094","8,120","8,179","9,565","9,655"
Retained Earnings,"2,704","2,878","3,000","3,210","3,441","3,641","3,863","4,148","4,415","4,669","4,911","4,789","5,171","5,468","5,718","6,858","7,182","7,498","7,818","8,317","8,644","8,961","9,335","9,629","10,103","10,462","11,039","11,039","14,350","14,350","14,350","14,350","14,943","14,943","14,943","14,943","15,362","15,925","16,225","16,356"
Comprehensive Income,464,582,244,-46,-153,-68,-191,-188,-208,-258,-316,-344,-427,-367,-322,-223,-190,-265,-274,-315,-290,-309,-348,-243,-333,-321,-192,-192,-196,-196,-196,-196,-331,-331,-331,-331,-315,-284,-331,-294
Shareholders' Equity,"12,915","13,243","12,614","12,360","12,297","12,410","12,340","14,808","15,048","15,292","15,512","15,717","15,755","15,898","15,992","16,957","16,978","16,805","16,832","17,201","17,106","17,115","17,161","17,255","16,939","16,953","19,498","19,498","22,709","22,709","22,709","22,709","22,706","22,706","22,706","22,706","23,167","23,820","25,459","25,717"
Net Cash / Debt,"-3,571","-1,530","-1,943","-2,096","-2,070","-2,202","-2,434","-5,995","-5,616","-5,394","-5,194","-4,991","-5,124","-4,713","-4,865","-4,532","-5,234","-5,236","-6,024","-5,569","-5,912","-6,024","-6,123","-5,912","-6,609","-6,401","-14,866","-14,866","-12,130","-12,130","-12,130","-12,130","-10,023","-10,023","-10,023","-10,023","-9,737","-9,116","-21,377","-20,462"
Net Cash Per Share,-6.16,-2.64,-3.41,-3.70,-3.70,-3.93,-4.39,-10.78,-9.39,-9.01,-8.66,-8.33,-8.55,-7.92,-8.22,-7.67,-8.93,-9.01,-10.46,-9.72,-10.37,-10.64,-10.88,-10.52,-11.91,-11.66,-26.98,-26.36,-21.47,-21.47,-21.43,-21.47,-17.77,-17.90,-17.90,-17.87,-17.36,-16.25,-37.84,-35.65
Working Capital,-149,521,41,-204,-312,-447,-406,"-1,430","-1,082",-808,-510,"-1,484",-933,-371,639,-613,"-1,312","-1,334",230,584,450,241,337,-837,"-1,273","1,242",-780,-780,889,889,889,889,"7,776","7,776","7,776","7,776","8,330","9,018",115,347
Book Value Per Share,22.46,23.03,22.13,22.27,21.96,22.36,22.44,26.49,25.29,25.70,26.03,26.41,26.52,26.90,27.20,29.09,29.17,29.07,29.43,30.23,30.12,30.40,30.70,31.09,30.69,31.05,35.58,34.76,40.41,40.34,40.34,40.62,40.47,40.69,40.69,40.62,41.44,42.54,45.22,44.88
