,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"44,170","45,895","38,403","42,076","48,271","35,804","47,927","45,214","61,754","35,483","52,264"
Market Cap Growth,31.08%,3.91%,-16.32%,9.56%,14.72%,-25.83%,33.86%,-5.66%,36.58%,-42.54%,-
Enterprise Value,"78,533","87,110","89,495","92,560","94,512","81,523","90,217","45,244","83,094","53,342","56,642"
PE Ratio,10.90,10.57,9.92,11.98,28.33,6.27,9.23,19.04,5.16,5.04,10.28
PS Ratio,2.33,2.45,2.03,2.21,2.45,1.61,2.14,2.48,1.91,1.25,1.98
PB Ratio,1.06,1.02,0.81,0.89,0.99,0.69,0.83,0.75,1.01,0.68,0.97
P/FCF Ratio,4.82,5.21,4.00,3.80,3.67,2.96,3.04,2.83,5.32,2.76,2.53
P/OCF Ratio,4.42,4.93,3.79,3.55,3.40,2.76,2.88,2.71,5.02,2.57,2.42
EV/Sales Ratio,4.15,4.65,4.74,4.86,4.80,3.67,4.04,2.48,2.57,1.88,2.15
EV/EBITDA Ratio,9.34,10.16,11.16,11.73,12.12,8.40,8.82,6.75,4.31,4.28,5.71
EV/EBIT Ratio,12.38,13.25,15.12,16.94,17.64,11.16,13.10,14.14,5.26,5.77,8.51
EV/FCF Ratio,8.57,9.90,9.33,8.36,7.18,6.74,5.73,2.83,7.16,4.14,2.74
Debt / Equity Ratio,0.98,1.08,1.25,1.27,1.24,1.14,0.96,0.67,0.71,0.93,0.92
Debt / EBITDA Ratio,4.83,5.65,7.37,7.66,7.73,6.07,5.45,6.05,2.23,3.91,4.96
Debt / FCF Ratio,4.44,5.51,6.16,5.46,4.58,4.87,3.54,2.54,3.71,3.78,2.39
Asset Turnover,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.08,0.06,0.06
Return on Equity (ROE),9.80%,9.90%,8.30%,7.30%,3.50%,11.30%,9.20%,4.10%,19.10%,13.20%,9.50%
Return on Assets (ROA),1.40%,1.50%,1.20%,1.00%,0.50%,1.60%,1.40%,0.60%,2.80%,1.60%,1.10%
Return on Capital (ROIC),5.19%,4.73%,3.78%,3.49%,1.86%,5.45%,4.87%,2.70%,11.90%,7.27%,5.26%
Earnings Yield,9.17%,9.46%,10.08%,8.35%,3.53%,15.95%,10.83%,5.25%,19.38%,19.85%,9.77%
FCF Yield,20.75%,19.18%,24.99%,26.33%,27.27%,33.81%,32.87%,35.36%,18.80%,36.29%,39.50%
Dividend Yield,1.20%,1.50%,2.10%,1.80%,1.60%,2.10%,1.60%,1.00%,1.40%,2.60%,1.75%
Payout Ratio,13.60%,15.60%,21.00%,23.00%,45.50%,13.40%,14.40%,19.30%,7.40%,13.30%,17.98%
Buyback Yield / Dilution,0.88%,3.57%,4.30%,9.35%,-0.51%,2.29%,1.68%,1.79%,6.95%,10.32%,0.62%
Total Shareholder Return,2.08%,5.07%,6.40%,11.15%,1.09%,4.39%,3.28%,2.79%,8.35%,12.92%,2.37%
