,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Long-Term Debt,"3,358","3,129","3,009","2,994","3,152","2,982","2,879","5,054","5,408","8,234","7,724","7,310","7,476","7,226","7,104","6,518","7,131","7,171","6,523","6,510","6,719","6,916","6,623","6,337","7,476","7,158","7,679","7,783","6,941","6,970","7,755","7,722","8,625","9,210","8,724","7,540","7,322","7,507","7,483","7,504"
Other Long-Term Liabilities,"1,283","1,262","1,169","1,331","1,316","1,336","1,325","1,320","1,341","2,656","2,573","2,353","2,427","2,435","2,483","2,498","2,557","2,415","2,389","2,387","2,520","2,495","2,376","2,427","2,366","2,496","2,576","2,688","2,500","2,558","2,481","2,354","1,858","1,700","1,591","1,834","1,859","1,833","1,726",0
Total Long-Term Liabilities,"4,641","4,391","4,178","4,325","4,468","4,318","4,204","6,374","6,749","10,890","10,297","9,663","9,903","9,661","9,587","9,016","9,688","9,586","8,912","8,897","9,239","9,411","8,999","8,764","9,842","9,654","10,255","10,471","9,441","9,528","10,236","10,076","10,483","10,910","10,315","9,374","9,181","9,340","9,209","7,504"
Total Liabilities,"6,462","6,365","6,200","6,331","6,507","6,510","6,484","8,516","8,981","21,113","13,240","12,876","12,921","13,011","13,355","13,111","13,593","13,540","12,725","12,992","13,274","13,545","12,772","14,341","13,845","13,780","14,019","14,915","14,425","15,445","16,367","16,029","16,969","17,393","16,504","16,382","16,401","16,266","15,924","13,689"
Total Debt,"3,771","3,537","3,316","3,169","3,497","3,260","3,162","5,132","5,799","11,359","8,097","7,532","7,973","7,548","7,556","6,971","7,468","7,347","6,673","6,729","7,118","7,308","6,984","7,817","7,998","7,681","7,710","7,800","7,707","7,741","8,517","7,737","9,004","9,551","9,283","8,948","9,678","9,752","9,591","8,569"
Debt Growth,-1.57%,-7.67%,-5.86%,-12.10%,-7.26%,-7.83%,-4.62%,61.93%,65.84%,248.40%,156.05%,46.78%,37.49%,-33.55%,-6.68%,-7.45%,-6.33%,-2.66%,-11.69%,-3.47%,-4.69%,-0.53%,4.66%,16.17%,12.36%,5.10%,10.40%,-0.22%,-3.64%,0.78%,10.47%,-0.81%,16.83%,23.38%,8.99%,15.65%,7.49%,2.10%,3.32%,-4.24%
Common Stock,"1,093","1,106","1,119","1,131","1,150","1,160","1,171",961.7,978,995,"1,019","1,038","1,040","1,060","1,072","1,084","1,100","1,120","1,142","1,157","1,154","1,172","1,177","1,178","1,151","1,153","1,164","1,167","1,171","1,195","1,209","1,220","1,226","1,232","1,247","1,260","1,268","1,291","1,304",0
Retained Earnings,"3,989","4,158","4,288","4,347","4,350","4,493","4,520","4,558","4,412","4,733","4,708","4,739","4,784","4,849","4,863","4,987","5,114","5,199","5,224","5,341","5,504","5,651","5,694","5,803","5,777","5,822","6,014","6,192","6,342","6,496","6,611","6,843","7,224","6,987","7,316","7,309","7,422","7,533","7,673",0
Comprehensive Income,-256.5,-253.1,-325.5,-522.1,-642.1,-603.7,-620.1,-639.9,-609,-593,-616,-941,-813,-919,-925,-656,-673,-767,-800,-835,-789,-797,-716,-910,"-1,139","-1,068","-1,155",-954,-897,-797,-653,-582,-611,-346,-648,-679,-637,-582,-642,0
Shareholders' Equity,"1,282","1,411","1,415","1,240","1,153","1,343","1,243","1,261","1,078","3,865","3,820","3,502","3,723","3,788","3,638","4,071","4,138","3,995","3,745","3,562","3,649","3,564","3,465","3,019","2,700","2,830","2,953","3,337","3,554","3,701","3,765","3,685","3,898","3,465","3,479","3,527","3,708","3,905","4,008","5,614"
Total Liabilities and Equity,"7,745","7,776","7,615","7,571","7,661","7,853","7,727","9,777","10,059","24,978","17,060","16,378","16,644","16,799","16,993","17,182","17,731","17,535","16,470","16,554","16,923","17,109","16,237","17,360","16,545","16,610","16,972","18,252","17,979","19,146","20,132","19,714","20,926","20,926","20,053","19,909","20,109","20,171","19,932","19,303"
Net Cash / Debt,"-3,595.2","-3,381.9","-3,126","-2,977.5","-3,268","-3,033","-2,917.9","-4,907.5","-5,594","-4,960","-7,452","-6,935","-7,515","-7,115","-7,000","-6,523","-6,991","-6,798","-6,075","-6,008","-6,515","-6,544","-6,501","-6,019","-7,197","-7,038","-6,939","-6,434","-7,246","-7,170","-7,071","-7,174","-8,567","-9,071","-8,810","-8,400","-9,106","-8,797","-8,256","-7,874"
Net Cash Per Share,-12.48,-11.84,-11.00,-10.58,-11.58,-10.71,-10.36,-17.46,-19.73,-17.08,-20.97,-19.51,-21.00,-19.82,-19.52,-18.30,-19.55,-19.15,-17.37,-17.35,-19.01,-19.15,-19.09,-17.97,-21.66,-21.22,-20.86,-19.27,-21.72,-21.51,-21.32,-21.86,-26.29,-28.61,-27.79,-26.57,-28.76,-27.76,-26.02,-24.82
Working Capital,583,446.2,356.9,306.7,428.6,312.8,103,42.4,91,-334,"1,161",670,889,415,152,-348,255,921,47,-155,364,399,56,-693,238,-116,261,231,-747,-888,-214,-730,-180,10,-377,"-1,519","-1,713","-1,491","-1,307","-1,302"
Book Value Per Share,4.57,5.08,5.13,4.54,4.21,4.87,4.53,4.60,3.80,13.61,10.94,10.02,10.64,10.79,10.38,11.64,11.82,11.47,10.92,10.54,10.92,10.71,10.46,9.25,8.30,8.68,9.04,10.20,10.84,11.30,11.55,11.42,12.15,10.93,11.08,11.24,11.80,12.41,12.72,17.80
