,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"398,852","421,432","439,684","512,308","529,204","422,902","397,454","360,505","378,408","365,305","417,590","389,635","460,395","449,161","457,804","430,121","414,812","405,180","419,097","278,793","302,604","268,038","256,597","263,631","367,534","493,729","487,522","527,609","711,072","705,421","759,869","740,834","754,532","669,260","644,187","567,234","546,000","495,123","511,369","305,218"
Short-Term Investments,"315,932","330,165","338,204","320,013","317,407","310,419","293,040","284,162","295,944","302,347","309,258","308,052","346,450","350,558","362,158","325,321","355,368","360,289","200,030","359,501","483,069","470,495","440,298","361,337","399,944","485,883","389,583","388,178","379,942","232,161","251,590","308,525","312,875","222,069","188,140","205,857","197,248","203,262","197,119",0
Cash & Cash Equivalents,"714,784","751,597","777,888","811,060","811,076","689,103","653,945","602,259","615,799","590,104","637,980","628,526","693,332","664,858","674,013","632,346","623,958","607,189","619,127","509,187","539,120","544,395","610,018","614,330","750,514","951,137","842,820","883,560","1,026,474","925,383","997,838","1,031,091","1,047,288","876,167",3,"773,091","743,248","698,385","708,488","305,218"
Cash Growth,7.72%,12.47%,8.24%,18.26%,13.47%,-8.31%,-15.93%,-25.74%,-24.08%,-14.37%,-2.44%,4.36%,12.59%,12.67%,5.65%,0.61%,-10.01%,-8.67%,-8.14%,-19.48%,-13.60%,-10.34%,-1.47%,20.65%,39.21%,74.71%,38.16%,43.82%,36.77%,-2.71%,18.39%,16.70%,2.03%,-5.32%,-100.00%,-25.02%,-29.03%,-20.29%,23616166.67%,-60.52%
Receivables,"132,394","139,474","147,957","149,054","151,580","137,093","126,594","106,282","127,858","143,357","129,912","116,408","116,101","120,544","120,017","124,252","129,573","134,179","138,854","127,413","122,573","141,277","144,565","122,627","203,712","147,106","153,571","170,133","187,873","195,964","184,303","159,651","225,843","226,759","236,439","196,069","174,590","175,778","194,822",0
Other Current Assets,"-747,735","-786,452","-824,969","-21,261","-905,364","-776,677","-737,904","-683,854","-726,349","-726,388","-771,037","-737,892","-842,424","-834,444","-856,228","-786,138","-564,072","-567,284","-424,566","-408,355","-546,695","-460,983","-337,006","-254,791","-425,181","-548,031","-543,332","-582,365","-758,794","-749,540","-801,920","-75,349","-93,755","-96,479","-747,832",0,0,0,0,0
Total Current Assets,"99,443","104,619","100,876","960,114","92,827","93,737","79,184","67,095","75,861","84,621","85,723","76,203","80,522","85,819","83,751","93,556","335,681","332,364","333,415","357,352","361,551","418,827","504,454","492,804","546,009","578,687","487,344","503,555","520,093","384,006","393,842","1,133,661","1,199,495","1,021,609","320,934","969,160","917,838","874,163","903,310","305,218"
"Property, Plant & Equipment","14,919","15,216","15,177","15,133","14,963","15,073","14,709","14,362","14,195","14,262","14,208","14,131","14,227","14,206","14,218","14,159","14,382","14,132","14,180","14,934","24,160","24,665","25,117","25,813","25,882","26,301","26,672","27,109","26,926","26,631","26,996","27,070","26,916","26,770","27,199","27,734","28,266","29,493","29,677","30,157"
Long-Term Investments,"667,782","692,083","704,562","668,017","648,543","628,214","599,700","574,989","581,267","580,957","581,659","597,111","628,300","614,016","625,446","575,279","593,556","593,304","591,163","621,329","750,434","777,759","834,549","759,576","938,076","1,009,987","960,332","1,013,495","1,068,327","1,023,514","1,043,125","1,048,726","1,117,352","1,047,978","1,032,199","1,014,081","1,129,693","1,184,982","1,120,303",0
Goodwill,"48,065","48,110","47,970","47,647","47,453","47,476","47,405","47,325","47,310","47,303","47,302","47,288","47,292","47,300","47,309","47,507","47,499","47,488","47,483","47,471","47,474","47,477","47,818","47,823","47,800","47,811","47,819","49,248","49,243","49,256","50,313","50,315","50,298","50,697","51,461","51,662","52,144","52,380","52,492",0
