,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Total Long-Term Liabilities,"7,830","7,856","7,527","8,128","8,094","8,697","9,036","8,445","8,058","7,810","7,740","8,801","8,644","8,712","8,654","9,025","9,063","8,897","8,892","8,623","9,228","9,379","10,621","10,438","10,286","9,829","9,912","10,415","10,599","10,934","10,572","10,018","10,429","10,758","10,743","10,921","11,307","11,280","11,035","10,695"
Total Liabilities,"12,532","11,917","11,939","12,074","12,417","12,903","12,973","11,979","12,521","12,481","12,395","12,106","12,453","12,492","12,508","12,433","13,043","12,839","12,639","11,964","13,093","13,161","14,852","14,476","14,729","14,409","14,393","14,819","15,138","15,137","14,853","14,069","14,995","15,153","15,235","14,925","15,748","15,912","15,637","15,436"
Total Debt,"6,659","6,061","6,055","6,148","6,128","6,683","6,790","6,548","6,580","6,572","6,523","6,533","6,473","6,519","6,527","6,577","6,709","6,865","6,604","6,366","6,661","6,645","8,151","7,847","7,846","7,392","7,236","7,601","7,833","7,966","7,696","7,245","7,607","7,986","8,248","8,766","8,907","8,989","8,724","8,549"
Debt Growth,24.30%,7.69%,14.59%,8.68%,-7.97%,10.26%,12.14%,6.51%,7.38%,-1.66%,-3.93%,-0.23%,-1.63%,-0.81%,0.06%,0.67%,3.65%,5.31%,1.18%,-3.21%,-0.72%,-3.20%,23.43%,23.26%,17.79%,11.24%,-11.23%,-3.13%,-0.17%,7.77%,6.36%,-4.68%,-2.89%,0.25%,7.17%,20.99%,17.09%,12.56%,5.77%,-2.48%
Common Stock,"-13,531","-13,708","-13,903","-14,180","-14,397","-14,706","-14,983","-15,210","-15,250","-15,393","-15,614","-15,985","-16,043","-16,247","-16,481","-16,736","-16,930","-17,210","-17,266","-17,529","-17,828","-17,881","-17,969","-18,111","-18,016","-17,944","-17,978","-18,611","-18,907","-19,114","-19,176","-19,355","-19,580","-19,868","-19,765","-20,117","-20,176","-20,387","-20,606","-20,743"
Retained Earnings,"17,698","17,991","18,210","18,832","18,704","18,936","19,323","18,861","18,705","18,955","19,310","19,922","19,782","19,952","20,207","20,531","20,581","20,851","21,008","21,615","21,436","21,653","21,860","22,501","22,481","22,731","23,052","23,699","23,624","23,946","24,201","24,350","24,149","24,342","24,566","24,573","24,153","24,258","24,571","25,289"
Comprehensive Income,"-2,537","-2,504","-2,887","-3,507","-3,847","-3,776","-4,085","-3,950","-3,825","-3,843","-3,829","-4,180","-4,052","-3,947","-3,834","-3,855","-3,900","-4,164","-4,172","-4,188","-4,160","-4,119","-4,215","-4,273","-4,578","-4,519","-4,421","-4,345","-4,455","-4,368","-4,434","-4,386","-4,248","-4,306","-4,179","-4,055","-3,983","-3,935","-3,974","-3,937"
Shareholders' Equity,"1,630","1,779","1,420","1,145",460,454,255,-299,-370,-281,-133,-243,-313,-242,-108,-60,-249,-523,-430,-102,-552,-347,-324,117,-113,268,653,743,262,464,591,609,321,168,622,401,-6,-64,-9,609
Net Cash / Debt,"-4,864","-4,900","-4,700","-5,059","-5,269","-5,624","-5,345","-5,578","-5,566","-5,487","-5,225","-5,218","-5,126","-5,278","-5,147","-5,042","-5,858","-6,032","-5,763","-5,640","-5,818","-5,782","-7,203","-6,964","-6,992","-6,395","-6,247","-6,713","-6,838","-7,029","-6,738","-6,413","-6,730","-7,128","-7,310","-7,991","-8,040","-8,170","-7,773","-7,583"
Working Capital,975,"1,113",769,917,377,782,"1,152",850,27,-57,109,"1,033",787,775,882,"1,231",312,230,394,452,268,473,118,141,-195,-368,-114,-66,24,449,389,346,423,765,786,"1,109","1,025",805,755,538
Book Value Per Share,1.77,1.94,1.55,1.26,0.51,0.50,0.28,-0.33,-0.41,-0.32,-0.15,-0.27,-0.35,-0.27,-0.12,-0.07,-0.28,-0.60,-0.50,-0.12,-0.64,-0.40,-0.38,0.14,-0.13,0.31,0.76,0.87,0.31,0.55,0.70,0.72,0.38,0.20,0.75,0.48,-0.01,-0.08,-0.01,0.74
