fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-10-31,-0.17,-0.34,0.17,50
2023-06-30,2023-08-01,0.67,0.57,0.1,17.5439
2023-03-31,2023-05-02,1.23,0.98,0.25,25.5102
2022-12-31,2023-01-31,1.14,1.05,0.09,8.5714
2022-09-30,2022-11-01,1.78,1.39,0.39,28.0576
2022-06-30,2022-07-28,2.04,1.78,0.26,14.6067
2022-03-31,2022-05-03,1.67,1.47,0.2,13.6054
2021-12-31,2022-02-08,1.08,0.87,0.21,24.1379
2021-09-30,2021-11-02,1.34,1.09,0.25,22.9358
2021-06-30,2021-07-28,1.07,0.97,0.1,10.3093
2021-03-31,2021-05-04,0.93,0.77,0.16,20.7792
2020-12-31,2021-02-02,0.42,0.48,-0.06,-12.5
2020-09-30,2020-10-27,0.72,0.71,0.01,1.4085
2020-06-30,2020-07-28,0.78,0.66,0.12,18.1818
2020-03-31,2020-04-28,0.8,0.73,0.07,9.589
2019-12-31,2020-01-28,0.55,0.58,-0.03,-5.1724
2019-09-30,2019-10-29,0.75,0.62,0.13,20.9677
2019-06-30,2019-07-29,0.8,0.75,0.05,6.6667
2019-03-31,2019-04-30,0.85,0.75,0.1,13.3333
2018-12-31,2019-01-29,0.64,0.63,0.01,1.5873
2018-09-30,2018-10-30,0.78,0.75,0.03,4
2018-06-30,2018-07-31,0.81,0.74,0.07,9.4595
2018-03-31,2018-05-01,0.77,0.74,0.03,4.0541
2017-12-31,2018-01-30,0.62,0.56,0.06,10.7143
2017-09-30,2017-10-31,0.67,0.64,0.03,4.6875
2017-06-30,2017-08-01,0.67,0.66,0.01,1.5152
2017-03-31,2017-05-02,0.69,0.67,0.02,2.9851
2016-12-31,2017-01-31,0.47,0.5,-0.03,-6
2016-09-30,2016-11-01,0.61,0.62,-0.01,-1.6129
2016-06-30,2016-08-02,0.64,0.62,0.02,3.2258
2016-03-31,2016-05-03,0.67,0.55,0.12,21.8182
2015-12-31,2016-02-02,0.53,0.52,0.01,1.9231
2015-09-30,2015-10-27,0.6,0.51,0.09,17.6471
2015-06-30,2015-07-28,0.56,0.52,0.04,7.6923
2015-03-31,2015-04-28,0.51,0.49,0.02,4.0816
2014-12-31,2015-01-27,0.54,0.53,0.01,1.8868
2014-09-30,2014-10-28,0.57,0.55,0.02,3.6364
2014-06-30,2014-07-29,0.58,0.57,0.01,1.7544
2014-03-31,2014-05-05,0.57,0.55,0.02,3.6364
2013-12-31,2014-01-28,0.56,0.52,0.04,7.6923
2013-09-30,2013-10-29,0.58,0.56,0.02,3.5714
2013-06-30,2013-07-30,0.56,0.55,0.01,1.8182
2013-03-31,2013-04-30,0.54,0.55,-0.01,-1.8182
2012-12-31,2013-01-29,0.47,0.44,0.03,6.8182
2012-09-30,2012-11-01,0.53,0.53,0,0
2012-06-30,2012-07-31,0.62,0.54,0.08,14.8148
2012-03-31,2012-05-01,0.58,0.56,0.02,3.5714
2011-12-31,2012-01-31,0.5,0.47,0.03,6.383
2011-09-30,2011-11-01,0.62,0.56,0.06,10.7143
2011-06-30,2011-08-02,0.6,0.59,0.01,1.6949
2011-03-31,2011-05-03,0.6,0.59,0.01,1.6949
2010-12-31,2011-02-01,0.47,0.46,0.01,2.1739
2010-09-30,2010-11-02,0.54,0.51,0.03,5.8824
2010-06-30,2010-08-03,0.62,0.52,0.1,19.2308
2010-03-31,2010-05-04,0.6,0.53,0.07,13.2075
2009-12-31,2010-02-03,0.49,0.5,-0.01,-2
2009-09-30,2009-10-20,0.51,0.48,0.03,6.25
2009-06-30,2009-07-22,0.48,0.47,0.01,2.1277
2009-03-31,2009-04-28,0.54,0.49,0.05,10.2041
2008-12-31,2009-01-26,0.65,0.59,0.06,10.1695
2008-09-30,2008-10-21,0.62,0.6,0.02,3.3333
2008-06-30,2008-07-23,0.55,0.54,0.01,1.8519
2008-03-31,2008-04-17,0.61,0.66,-0.05,-7.5758
2007-12-31,2008-01-23,0.52,0.47,0.05,10.6383
2007-09-30,2007-10-18,0.58,0.53,0.05,9.434
2007-06-30,2007-07-18,0.42,0.5,-0.08,-16
2007-03-31,2007-04-20,0.68,0.57,0.11,19.2982
2006-12-31,2007-01-22,0.43,0.42,0.01,2.381
2006-09-30,2006-10-19,0.54,0.45,0.09,20
2006-06-30,2006-07-20,0.5,0.48,0.02,4.1667
2006-03-31,2006-04-19,0.61,0.53,0.08,15.0943
2005-12-31,2006-01-19,0.51,0.42,0.09,21.4286
2005-09-30,2005-10-20,0.51,0.48,0.03,6.25
2005-06-30,2005-07-20,0.46,0.44,0.02,4.5455
2005-03-31,2005-04-19,0.54,0.53,0.01,1.8868
2004-12-31,2005-01-19,0.58,0.59,-0.01,-1.6949
2004-09-30,2004-10-20,0.55,0.54,0.01,1.8519
2004-06-30,2004-07-21,0.47,0.47,0,0
2004-03-31,2004-04-20,0.52,0.51,0.01,1.9608
2003-12-31,2004-01-22,0.53,0.51,0.02,3.9216
2003-09-30,2003-10-22,0.47,0.44,0.03,6.8182
2003-06-30,2003-07-25,0.3,0.29,0.01,3.4483
2003-03-31,2003-04-22,0.45,0.44,0.01,2.2727
2002-12-31,2003-01-22,0.48,0.47,0.01,2.1277
2002-09-30,2002-10-16,0.39,0.39,0,0
2002-06-30,2002-07-15,0.33,0.32,0.01,3.125
2002-03-31,2002-04-17,0.39,0.39,0,0
2001-12-31,2002-01-23,0.34,0.34,0,0
2001-09-30,2001-10-17,0.34,0.33,0.01,3.0303
2001-06-30,2001-07-17,0.3,0.29,0.01,3.4483
2001-03-31,2001-04-18,0.33,0.31,0.02,6.4516
2000-12-31,2001-01-24,0.27,0.27,0,0
2000-09-30,2000-10-24,0.27,0.26,0.01,3.8462
2000-06-30,2000-07-24,0.23,0.22,0.01,4.5455
2000-03-31,2000-04-18,0.28,0.25,0.03,12
1999-12-31,2000-01-18,0.25,0.23,0.02,8.6957
1999-09-30,1999-10-19,0.23,0.21,0.02,9.5238
1999-06-30,1999-07-19,0.19,0.17,0.02,11.7647
1999-03-31,1999-04-15,0.21,0.21,0,0
1998-12-31,1999-01-19,0.18,0.17,0.01,5.8824
1998-09-30,1998-10-13,0.17,0.19,-0.02,-10.5263
1998-06-30,1998-07-09,0.17,0.15,0.02,13.3333
1998-03-31,1998-04-14,0.18,0.18,0,0
1997-12-31,1998-01-20,0.14,0.14,0,0
1997-09-30,1997-10-14,0.15,0.15,0,0
1997-06-30,1997-07-15,0.12,0.12,0,0
1997-03-31,1997-04-15,0.16,0.16,0,0
1996-12-31,1997-01-16,0.13,0.13,0,0
1996-09-30,1996-10-14,0.13,0.13,0,0
1996-06-30,1996-07-17,0.1,0.1,0,0
1996-03-31,1996-04-16,0.14,0.13,0.01,7.6923
