,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"2,292","2,166","2,125","1,854","1,494","2,078","1,881","2,044","1,127",308,"1,754",709,887,"2,167","1,450","2,088","3,011","4,653","4,999","4,992","1,687",877,"1,247","1,525","1,393","1,690","1,091",618,415,624,"11,839","5,874","5,291","7,148","9,078","7,376","8,625","7,960","7,345","8,452"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,418","7,352","5,548","3,449","4,241","3,759","3,145","3,492","4,109","4,604"
Cash & Cash Equivalents,"2,292","2,166","2,125","1,854","1,494","2,078","1,881","2,044","1,127",308,"1,754",709,887,"2,167","1,450","2,088","3,011","4,653","4,999","4,992","1,687",877,"1,247","1,525","1,393","1,690","1,091",618,415,624,"17,257","13,226","10,839","10,597","13,319","11,135","11,770","11,452","11,454","13,056"
Cash Growth,-52.84%,-54.27%,-30.76%,-8.13%,-34.82%,-4.06%,-11.48%,10.25%,-24.56%,-85.18%,-6.75%,-65.31%,-21.30%,603.57%,-17.33%,194.50%,239.46%,114.72%,244.76%,139.08%,-43.97%,-81.15%,-75.06%,-69.45%,-17.43%,92.70%,-12.51%,-59.48%,-70.21%,-63.08%,1481.76%,2040.13%,2511.81%,1598.24%,-22.82%,-15.81%,8.59%,8.07%,-14.00%,17.25%
Receivables,"5,559","5,420","5,725","5,271","4,058","3,364","3,876","3,124","2,927","2,602","3,199","3,136","3,617","3,284","3,259","3,900","4,695","4,613","4,919","5,408","5,853","6,893","7,603","7,461","7,233","5,583","4,361","4,911","5,760","7,468","9,771","9,511","11,034","15,661","17,305","13,458","13,477","10,143","10,274","12,469"
Inventory,"4,689","5,689","5,621","5,608","5,642","5,437","5,540","5,556","5,225","4,983","5,209","5,524","5,656","5,392","5,548","5,493","5,550","5,111","5,485","5,339","9,837","9,833","9,088","9,696","9,804","7,445","8,086","7,403","7,999","8,407","8,879","9,211","8,055","9,482","11,048","9,834","8,827","10,268","9,536","10,143"
Other Current Assets,197,173,125,154,145,174,134,137,192,204,142,176,241,199,186,150,145,148,145,134,646,548,458,457,"12,028",975,"1,105","13,268","14,113","13,862","2,685","2,195",568,648,741,858,"1,168",623,949,607
Total Current Assets,"12,737","13,448","13,596","12,887","11,339","11,053","11,431","10,861","9,471","8,097","10,304","9,545","10,401","11,042","10,443","11,631","13,401","14,525","15,548","15,873","18,023","18,151","18,396","19,139","30,458","15,693","14,643","26,200","28,287","30,361","38,592","34,143","30,496","36,388","42,413","35,285","35,242","32,486","32,213","36,275"
"Property, Plant & Equipment","13,921","13,854","13,850","15,999","16,261","16,241","16,283","16,294","25,164","25,319","25,512","25,697","25,765","25,669","25,786","26,036","26,443","26,618","26,931","27,717","45,058","47,771","47,923","47,556","42,676","47,895","47,479","41,397","40,556","40,005","39,496","39,054","38,812","38,476","38,338","36,584","36,871","36,660","36,347","36,000"
Long-Term Investments,463,602,690,862,865,902,994,"1,073","3,622","3,807","3,793","3,554","3,827","4,704","4,823","4,769","4,787","4,817","4,838","4,910","5,898","6,558","6,729","6,725","6,568","5,656","5,740","5,462","5,422","5,435","5,424","5,384","5,409","5,514","5,508","6,493","6,466","6,626","6,665","6,521"
Goodwill and Intangibles,938,938,937,"1,537","1,566","1,566","1,566","1,565","4,019","3,649","3,648","3,648","3,587","3,586","3,586","3,586","3,586","3,586","3,586","3,713","20,184","20,229","20,277","21,277","15,650","12,710","12,710","8,256","8,256","8,256","8,256","8,256","8,256","8,256","8,244","8,244","8,244","8,244","8,244","8,244"
Other Long-Term Assets,326,317,303,420,394,420,379,368,839,886,876,849,833,820,809,784,830,818,833,818,"3,777","3,727","3,571","3,442","3,204","4,363","4,021","2,705","2,637","2,594","2,532","2,463","2,400","2,318","2,234","3,088","3,081","3,021","2,973","2,929"
Total Long-Term Assets,"15,648","15,711","15,780","18,818","19,086","19,129","19,222","19,300","33,644","33,661","33,829","33,748","34,012","34,779","35,004","35,175","35,646","35,839","36,188","37,158","74,917","78,285","78,500","79,000","68,098","70,624","69,950","57,820","56,871","56,290","55,708","55,157","54,877","54,564","54,324","54,409","54,662","54,551","54,229","53,694"
Total Assets,"28,385","29,159","29,376","31,705","30,425","30,182","30,653","30,161","43,115","41,758","44,133","43,293","44,413","45,821","45,447","46,806","49,047","50,364","51,736","53,031","92,940","96,436","96,896","98,139","98,556","86,317","84,593","84,020","85,158","86,651","94,300","89,300","85,373","90,952","96,737","89,694","89,904","87,037","86,442","89,969"
Accounts Payable,"8,640","9,572","9,220","9,071","7,088","5,861","6,594","5,410","5,246","4,385","5,580","5,494","6,123","5,871","5,702","6,618","8,888","7,403","8,545","8,509","10,518","11,526","11,683","12,319","12,209","9,213","6,925","7,579","8,535","10,454","12,821","13,004","14,611","20,767","23,121","17,455","16,279","13,667","13,764","16,818"
Current Debt,23,24,26,26,27,776,780,780,29,215,27,28,28,28,29,29,624,26,26,26,544,"1,163","1,169","1,143","1,218","2,340","2,340","3,031","3,351","2,261",543,517,"1,009","1,495","1,478","1,419","1,434",479,495,"1,272"
Other Current Liabilities,"1,161","1,250","1,809","1,275","1,464","1,709","1,351","1,496","1,070",995,"1,175",818,995,967,"1,027","1,000",966,943,"1,144","1,099","2,154","2,458","2,038","1,877","3,521","2,016","2,239","3,636","3,777","3,370","6,148","3,377","2,278","2,858","3,838","2,440","2,307","2,911","3,207","3,645"
