,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,"2,384","4,137",18,"5,484","2,327","3,449","2,950","4,463","2,013","2,505","2,853","4,501","1,750","2,331","2,726","-1,054","1,679","2,404","2,694","1,952","1,591","2,498","1,672","3,669","1,175","1,361","1,697","1,356",955,"1,325","1,130","2,333",733,"1,392","-3,214","2,711",927,"1,583","1,704","3,288"
Depreciation & Amortization,"1,100","1,200","1,139","1,000","1,000","1,000",900,"1,000","1,000","1,103","1,126","1,127","1,098","1,118","1,175","1,150","1,114","1,116","1,138","1,111","1,446","1,294","1,669","1,650","1,635","1,678","1,683","1,699","1,672","1,680","1,684","1,380","1,257","1,245","1,163","1,137","1,074","1,076","1,093",0
Share-Based Compensation,100,100,150,100,100,100,100,100,100,128,142,141,129,136,123,146,116,125,129,139,113,135,220,210,189,247,222,279,213,243,262,264,234,254,251,248,268,288,286,0
Other Operating Activities,-284,"-1,837","2,597",-484,173,-649,250,-263,"2,487",-293,92,"-2,552",978,-118,-454,"5,491","1,693","-1,350",271,917,"1,609",-986,58,"-2,078","1,477",290,684,"2,525","2,074",-623,-363,"-1,434","1,024","-1,570","3,701",-131,"1,505",-309,-28,"1,175"
Operating Cash Flow,"3,300","3,600","3,904","6,100","3,600","3,900","4,200","5,300","5,600","3,443","4,213","3,217","3,955","3,467","3,570","5,733","4,602","2,295","4,232","4,119","4,759","2,941","3,619","3,451","4,476","3,576","4,286","5,859","4,914","2,625","2,713","2,543","3,248","1,321","1,901","3,965","3,774","2,638","3,055","4,463"
Operating Cash Flow Growth,-17.50%,12.50%,2.74%,-6.15%,9.09%,8.33%,7.58%,-13.11%,55.56%,-11.72%,0.31%,-39.30%,-29.37%,0.70%,-15.26%,78.21%,16.36%,-33.80%,18.54%,-28.15%,3.41%,28.15%,-14.48%,-16.22%,-5.95%,21.59%,18.43%,69.78%,9.79%,-26.59%,-36.70%,-56.60%,-33.90%,-49.68%,-29.93%,55.92%,16.19%,99.70%,60.70%,12.56%
Capital Expenditures,-900,-900,"-1,150","-1,000",-900,-900,-900,"-1,000","-1,000",-979,-851,-925,-819,-749,-780,-965,-893,"-1,004",-942,-877,-614,-431,-681,-645,-737,-697,-829,-780,-529,-688,-638,-526,-378,-494,-445,-544,-457,-487,-282,0
Acquisitions,100,-300,34,"1,900",-100,-500,-700,"-2,400","-2,100","-2,827",-40,-725,-110,-30,-268,-293,-71,-51,-1,-16,32,813,"-32,548",149,13,725,-265,-306,"-1,135","-1,757",-101,-187,-637,947,-59,"-1,328",-22,-328,"-4,599",0
Change in Investments,"-1,277",-559,"-1,200","-2,828","-2,419","-1,148",-685,"-2,717","-2,541","-1,576","-1,632","-3,477","-2,551","-1,828","-1,770","-3,691","-1,610","-1,710","-3,258","-2,365",-945,"-1,474","-2,608","-1,760","-2,034","-3,386","-3,894","-2,550","-1,424",-990,"-1,654","-1,852","-1,707","-2,340","-3,082","-3,466","-9,581","-2,279","-5,156",-
Other Investing Activities,"2,112",759,"1,516",728,"4,019",648,985,717,"3,641",860,"1,473","2,191","3,830",902,895,"1,131",810,"2,131","1,232","3,713",674,"5,254","5,464","2,383","1,856","2,122","4,656","3,078","1,088",764,"1,764","1,890","1,364","2,059","1,889","4,020","2,100","3,101","8,084",-
