,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,217,191,357,246,587,242,903,350,319,338,438,237,196,156,195,210,188,287,208,168,146,139,123,277,217,370,"1,724","2,022","1,734","2,016","2,675","1,947","1,925",325,276,338,928,570,426,952
Cash & Cash Equivalents,217,191,357,246,587,242,903,350,319,338,438,237,196,156,195,210,188,287,208,168,146,139,123,277,217,370,"1,724","2,022","1,734","2,016","2,675","1,947","1,925",325,276,338,928,570,426,952
Cash Growth,4.83%,-28.73%,-32.64%,-56.92%,170.51%,26.70%,152.94%,42.28%,-45.66%,39.67%,-51.50%,-32.29%,-38.56%,-53.85%,-55.48%,-11.39%,-4.08%,83.97%,6.67%,-20.00%,-22.34%,-51.57%,-40.87%,64.88%,48.63%,166.19%,1301.63%,629.96%,699.08%,444.86%,55.16%,-3.71%,11.01%,-83.88%,-89.68%,-82.64%,-51.79%,75.38%,54.35%,181.66%
Receivables,"1,307","1,217","1,287","1,233","1,183","1,161","1,195","1,274","1,275","1,291","1,387","1,385","1,472","1,429","1,444","1,470","1,548","1,580","1,587","1,580","1,608","1,621","1,712","1,796","1,828","1,577","1,457","1,598","1,531","1,631","1,675","1,669","1,778","1,866","1,917","1,871","1,970","2,076","2,134","2,101"
Inventory,897,926,949,989,946,958,968,"1,086","1,016","1,022",981,998,955,971,"1,023","1,077","1,078","1,113","1,087","1,134","1,166","1,228","1,300","1,566","1,579","1,628","1,516","1,472","1,351","1,407","1,430","1,603","1,610","1,736","1,752","1,788","1,867","2,050","2,250","2,404"
Other Current Assets,590,602,621,707,890,828,707,752,861,513,524,561,616,470,560,721,"1,008","1,100","1,047","1,089","1,083","3,246","3,199","1,208","1,075","1,248","1,106","1,068","2,078","1,047",978,"1,010","1,004","1,138","1,138","1,147",995,"1,008","1,076","1,047"
Total Current Assets,"3,011","2,936","3,214","3,175","3,606","3,189","3,773","3,462","3,471","3,164","3,330","3,181","3,239","3,026","3,222","3,478","3,822","4,080","3,929","3,971","4,003","6,234","6,334","4,847","4,699","4,823","5,803","6,160","6,694","6,101","6,758","6,229","6,317","5,065","5,083","5,144","5,760","5,704","5,886","6,504"
"Property, Plant & Equipment","1,546","1,539","1,534","1,522","1,507","1,458","1,451","1,479","1,490","1,464","1,487","1,500","1,630","1,652","1,651","1,678","1,697","1,700","1,715","1,730","1,782","1,782","1,820","1,942","2,079","2,098","2,079","2,064","2,084","2,053","2,082","2,109","2,252","2,265","2,246","2,273","2,446","2,478","2,534","2,635"
Goodwill and Intangibles,"11,643","11,499","11,394","11,633","11,504","11,395","11,372","12,696","12,667","12,539","12,405","12,336","12,561","12,423","12,792","12,665","12,835","12,697","13,176","13,885","14,283","14,627","14,937","18,089","18,062","17,491","17,261","16,934","15,868","16,859","16,662","18,047","18,109","19,530","19,232","18,910","18,822","19,329","19,722","19,457"
Other Long-Term Assets,371,361,335,388,407,430,527,578,505,551,616,680,666,842,717,815,688,725,795,793,931,"1,159","1,218","1,878","5,725","5,701","5,680","5,687","6,131","5,887","5,666","5,492","5,551","5,477","5,628","5,620","5,441","5,381","5,459","5,447"
Total Long-Term Assets,"13,560","13,399","13,263","13,543","13,418","13,283","13,350","14,753","14,662","14,554","14,508","14,516","14,857","14,917","15,160","15,158","15,220","15,122","15,686","16,408","16,996","17,568","17,975","21,909","25,866","25,290","25,020","24,685","24,083","24,799","24,410","25,648","25,912","27,272","27,106","26,803","26,709","27,188","27,715","27,539"
Total Assets,"16,571","16,335","16,477","16,718","17,024","16,472","17,123","18,215","18,133","17,718","17,838","17,697","18,096","17,943","18,382","18,636","19,042","19,202","19,615","20,379","20,999","23,802","24,309","26,756","30,565","30,113","30,823","30,845","30,777","30,900","31,168","31,877","32,229","32,337","32,189","31,947","32,469","32,892","33,601","34,043"
