,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,-,"13,115","13,566","13,173","14,666","12,587","13,819","11,058","10,569","12,836","18,238","17,590","18,074","18,960","20,654","20,458","18,856","18,357","13,911","14,963","16,207","15,813","17,654","8,040","10,768","10,790","15,272","18,768","19,537","20,017","20,138","19,136","17,682","17,030","19,389","14,702","12,622","12,657","14,714"
Market Cap Growth,-,-,-,-,-,-,-,-4.03%,1.86%,-16.06%,-27.94%,1.98%,31.98%,59.07%,71.01%,47.71%,13.24%,16.31%,4.33%,-3.18%,-32.65%,-26.86%,-14.05%,-13.86%,26.91%,-46.27%,-33.56%,-31.77%,-13.49%,133.44%,81.44%,85.51%,31.86%,1.96%,-9.49%,-14.92%,-3.72%,-23.17%,-28.62%,-25.68%,-
Enterprise Value,"5,457",-,"10,576","23,895","25,091","22,883","26,047","21,775","23,696","22,718","21,484","24,515","31,244","28,881","29,061","31,911","31,866","31,752","30,343","32,243","26,931","24,764","25,965","25,696","28,292","21,198","12,304","10,607","10,822","12,186","13,514","12,967","17,670","14,434","28,902","25,158","24,429","26,281","15,970","14,519","16,576"
PE Ratio,-,-,-,15.99,15.68,14.51,18.68,15.56,16.59,13.16,11.84,13.23,17.69,15.59,15.02,15.12,12.61,11.99,10.40,9.62,8.22,8.62,9.29,9.08,10.28,6.16,9.82,11.32,16.08,12.30,10.19,9.39,9.13,9.50,10.22,9.27,9.89,7.17,5.83,6.48,7.83
PS Ratio,-,-,-,2.86,2.91,2.78,3.30,2.81,3.06,2.44,2.30,2.69,3.73,3.50,3.50,3.61,3.84,3.73,3.38,3.22,2.40,2.53,2.69,2.60,2.90,1.42,1.99,2.06,2.89,3.11,2.98,2.90,2.85,2.77,2.58,2.36,2.57,1.87,1.58,1.63,1.89
PB Ratio,-,-,-,0.68,0.70,0.67,0.75,0.64,0.70,0.55,0.52,0.64,0.92,0.89,0.90,0.94,1.02,1.02,0.92,0.91,0.67,0.70,0.74,0.72,0.80,0.37,0.48,0.48,0.67,0.83,0.84,0.86,0.86,0.87,0.73,0.74,0.82,0.61,0.54,0.55,0.64
P/FCF Ratio,-,-,-,6.59,12.54,27.85,26.96,19.16,14.62,9.03,9.19,9.66,15.33,10.56,18.44,13.98,14.04,15.91,8.25,15.98,9.06,10.63,18.07,9.99,11.02,-35.26,-24.98,-143.87,-2181.73,29.51,14.83,10.77,9.36,4.39,9.23,4.76,4.86,4.09,2.27,3.49,4.06
P/OCF Ratio,-,-,-,5.91,9.76,16.72,16.59,12.41,11.24,7.35,7.45,8.04,12.24,8.93,13.66,10.88,10.97,11.80,6.83,11.19,7.87,9.75,17.45,10.34,10.40,-78.82,-36.75,-385.37,137.59,25.09,13.82,9.83,8.85,4.23,8.57,4.50,4.71,3.95,2.21,3.39,3.94
Debt / Equity Ratio,0.44,-,0.83,0.72,0.79,0.78,0.74,0.58,0.68,0.70,0.76,0.76,0.87,0.79,0.78,0.76,0.71,0.76,0.76,0.89,0.83,0.58,0.59,0.64,0.65,0.80,0.42,0.42,0.38,0.37,0.30,0.30,0.30,0.27,0.75,0.71,0.67,0.82,0.64,0.77,0.77
Return on Capital (ROIC),,0.55%,-,2.16%,2.46%,2.51%,2.60%,2.31%,2.63%,2.54%,2.50%,2.54%,2.76%,2.82%,3.21%,3.40%,3.56%,4.75%,4.85%,5.07%,5.01%,4.51%,5.20%,5.11%,5.02%,4.86%,3.46%,3.65%,3.23%,3.29%,5.19%,6.64%,7.31%,7.54%,7.51%,4.27%,4.84%,5.17%,4.85%,5.81%,5.05%
Dividend Yield,-,-,-,0.00%,0.40%,0.80%,1.10%,1.70%,1.50%,1.90%,2.10%,1.80%,1.30%,1.40%,1.50%,1.50%,1.50%,1.70%,2.10%,2.30%,3.30%,3.30%,3.30%,3.60%,3.30%,7.60%,5.90%,6.10%,4.40%,3.50%,3.40%,3.30%,3.30%,3.40%,4.40%,4.60%,4.10%,5.40%,6.40%,6.30%,5.32%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,27.80%,26.30%,28.60%,25.00%,24.40%,24.40%,26.10%,21.40%,22.20%,23.00%,22.20%,26.50%,13.40%,28.20%,25.00%,29.30%,27.80%,34.80%,33.70%,37.10%,36.70%,1300.00%,73.60%,57.40%,39.40%,28.30%,26.90%,33.10%,33.30%,41.50%,57.40%,34.10%,33.10%,42.00%,45.20%,49.40%,41.69%
Buyback Yield / Dilution,-,-,-,-0.04%,1.67%,1.82%,3.59%,4.79%,3.73%,3.52%,1.77%,2.30%,3.05%,3.60%,4.33%,3.64%,3.97%,4.32%,4.19%,4.89%,4.98%,5.47%,5.52%,6.38%,6.99%,7.16%,6.91%,4.28%,1.83%,0.35%,0.00%,0.04%,0.35%,0.75%,-15.37%,-16.28%,-16.08%,-14.84%,2.50%,5.29%,5.29%
Total Shareholder Return,-,-,-,-0.04%,2.07%,2.62%,4.69%,6.49%,5.23%,5.42%,3.87%,4.10%,4.35%,5.00%,5.83%,5.14%,5.47%,6.02%,6.29%,7.19%,8.28%,8.77%,8.82%,9.98%,10.29%,14.76%,12.81%,10.38%,6.23%,3.85%,3.40%,3.34%,3.65%,4.15%,-10.97%,-11.68%,-11.98%,-9.44%,8.90%,11.59%,10.61%
