,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Total Long-Term Liabilities,"11,412","11,201","11,460","11,595","11,236","10,967","10,962","11,469","11,128","10,981","10,921","10,927","10,779","10,741","10,602","9,958","8,323","8,231","8,183","8,463","8,342","8,892","8,832","9,110","9,566","10,592","10,616","10,661","10,863","10,618","10,107","10,485","10,425","10,447","11,067","11,137","10,803","10,909","10,925","10,906"
Total Liabilities,"17,970","17,182","16,717","16,610","16,087","14,434","14,455","14,093","13,756","13,174","13,060","13,544","13,030","12,867","12,720","12,172","10,758","10,135","10,128","10,421","10,545","11,163","11,164","11,454","12,076","12,539","12,180","12,087","12,486","12,308","12,634","13,234","13,489","12,750","13,422","13,449","13,199","13,217","13,328","13,902"
Total Debt,"5,798","5,576","6,077","5,996","5,987","5,980","5,957","6,552","6,592","6,592","6,552","7,337","6,806","6,785","6,733","6,714","6,977","6,568","6,439","6,694","6,672","7,650","7,495","7,414","7,932","8,930","8,896","8,945","9,075","9,021","8,944","9,210","9,141","8,623","9,093","9,070","9,150","9,220","9,264","9,303"
Debt Growth,-28.52%,-24.40%,4.78%,-3.43%,3.26%,7.25%,-1.97%,9.27%,10.11%,10.23%,9.99%,11.98%,3.25%,2.93%,2.76%,-8.49%,2.51%,-3.20%,-4.37%,-0.30%,-4.37%,16.47%,16.40%,10.76%,18.88%,16.73%,18.69%,20.65%,14.41%,1.02%,0.54%,2.96%,0.73%,-4.41%,1.67%,-1.52%,0.10%,6.92%,1.88%,2.57%
Common Stock,"3,823","3,727","3,762","3,716","3,563","3,593","3,616","4,383","4,413","6,040","6,059","6,081","6,091","6,123","6,145","6,166","6,140","6,010","5,802","5,742","5,678","5,785","5,817","5,848","5,896","5,940","5,957","5,975","5,991","6,087","6,169","6,213","6,327","6,394","6,546","6,535","6,512","6,561","6,749","6,784"
Retained Earnings,"21,235","20,693","20,879","21,020","20,052","19,578","18,923","18,530","16,637","16,042","15,559","15,129","10,147","9,692","9,153","8,438","5,597","5,166","4,692","4,410","4,257","4,207","4,125","3,836","3,535","1,021",625,304,130,305,155,192,379,680,"1,075","1,354","1,474","1,686","1,670","2,039"
Comprehensive Income,-338,-276,-384,-487,"-1,410","-1,504","-1,436","-1,582","-1,664","-1,484","-1,499","-1,372","-1,704","-1,667","-1,518","-1,472",-686,-571,-522,-502,-306,-650,-648,-776,-699,239,-187,-363,-755,-776,-836,-796,-406,-766,-485,-330,-131,-114,-147,-192
Shareholders' Equity,"24,720","24,144","24,257","24,249","22,205","21,667","21,103","21,331","19,386","20,598","20,119","19,838","14,534","14,148","13,780","13,132","11,051","10,605","9,972","9,650","9,629","9,342","9,294","8,908","8,732","7,200","6,395","5,916","5,366","5,616","5,488","5,609","6,300","6,308","7,136","7,559","7,855","8,133","8,272","8,631"
Net Cash / Debt,"-3,984","-4,288","-3,872","-1,876","-3,543","-4,474","-5,026","-3,539","-3,876","-3,035","-3,457","-3,808","-4,074","-4,099","-4,241","-4,188","-2,130","-2,842","-3,531","-3,690","-3,978","-5,350","-5,287","-5,551","-6,387","-6,850","-7,250","-7,660","-7,336","-7,155","-6,514","-6,791","-6,428","-7,253","-6,934","-6,686","-6,664","-7,120","-7,038","-7,285"
Net Cash Per Share,-11.94,-13.29,-12.33,-6.15,-12.10,-15.78,-17.68,-12.48,-13.70,-10.12,-11.04,-12.16,-13.00,-13.06,-13.49,-13.32,-6.79,-9.18,-11.87,-12.54,-13.64,-17.85,-17.50,-18.35,-21.10,-22.53,-23.77,-25.11,-24.04,-23.25,-21.18,-21.91,-20.74,-23.37,-22.30,-21.64,-21.63,-23.17,-22.89,-23.68
Working Capital,"2,041","1,067","3,510","3,850","1,462",856,433,"2,973","1,776","2,752","2,492","2,276","2,025","2,045","2,152","1,869","3,722","3,110","2,749","2,543","2,256","1,563","1,352","1,054",646,"2,323","1,551","1,710","1,458","1,832","1,442","1,143","1,282",963,"1,614","1,811","1,535","1,491","1,301",920
Book Value Per Share,74.08,74.84,77.23,79.50,75.86,76.43,74.23,75.24,68.50,68.71,64.24,63.34,46.36,45.07,43.83,41.76,35.25,34.27,33.52,32.79,33.02,31.41,30.75,29.45,28.85,23.68,20.97,19.40,17.59,18.36,17.85,18.20,20.43,20.42,23.04,24.57,25.64,26.63,27.03,28.20
