,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"61,449","53,592","59,232","53,204","40,520","46,874","42,253","52,564","56,782","48,949","50,257"
Market Cap Growth,1.66%,-12.79%,10.53%,-10.18%,-23.84%,15.68%,-9.86%,24.40%,8.02%,-13.80%,-
Enterprise Value,"74,416","66,296","67,707","60,931","42,003","48,120","41,452","50,713","55,283","47,775","49,083"
PE Ratio,9.93,10.28,79.29,13.62,8.13,8.19,8.14,7.90,11.14,35.47,37.99
PS Ratio,0.84,0.87,0.97,0.85,0.60,0.67,0.62,0.77,0.83,0.73,0.75
PB Ratio,0.85,0.79,0.88,0.91,0.77,0.71,0.57,0.78,1.90,1.63,1.67
P/FCF Ratio,3.75,3.81,4.01,4.33,3.45,3.40,3.63,4.26,4.35,3.57,3.66
P/OCF Ratio,3.75,3.81,4.01,4.33,3.45,3.40,3.63,4.26,4.35,3.57,3.66
EV/Sales Ratio,1.01,1.08,1.11,0.98,0.62,0.69,0.61,0.74,0.80,0.71,0.73
EV/EBITDA Ratio,7.84,8.66,30.85,18.27,6.06,6.49,5.50,5.52,7.88,16.73,17.19
EV/EBIT Ratio,8.48,9.52,43.88,23.99,6.66,7.09,5.99,5.97,8.71,22.35,22.96
EV/FCF Ratio,4.54,4.72,4.58,4.96,3.58,3.49,3.56,4.11,4.24,3.48,3.58
Debt / Equity Ratio,0.33,0.37,0.31,0.35,0.33,0.27,0.25,0.27,0.63,0.65,0.65
Debt / EBITDA Ratio,2.51,3.32,9.62,6.13,2.50,2.41,2.52,1.98,2.66,6.82,6.82
Debt / FCF Ratio,1.45,1.81,1.43,1.66,1.47,1.29,1.63,1.47,1.43,1.42,1.42
Asset Turnover,0.08,0.07,0.07,0.08,0.10,0.10,0.09,0.09,0.10,0.10,0.10
Return on Equity (ROE),8.90%,7.40%,1.00%,6.20%,9.30%,8.90%,7.10%,9.80%,14.00%,4.70%,4.70%
Return on Assets (ROA),0.70%,0.60%,0.10%,0.50%,0.70%,0.80%,0.70%,0.90%,0.80%,0.20%,0.20%
Return on Capital (ROIC),6.61%,4.67%,2.66%,7.06%,7.32%,7.03%,5.79%,8.02%,10.91%,3.22%,3.22%
Earnings Yield,10.07%,9.73%,1.26%,7.34%,12.30%,12.21%,12.29%,12.66%,8.98%,2.82%,2.75%
FCF Yield,26.65%,26.22%,24.94%,23.09%,28.97%,29.41%,27.55%,23.49%,22.97%,28.03%,27.30%
Dividend Yield,2.40%,3.10%,2.90%,3.20%,4.00%,3.40%,3.90%,3.00%,2.70%,3.10%,3.02%
Payout Ratio,24.20%,31.60%,231.60%,43.80%,33.50%,28.50%,31.80%,24.60%,31.20%,113.20%,114.92%
Buyback Yield / Dilution,-1.34%,2.15%,1.12%,4.26%,6.22%,6.81%,2.14%,6.53%,6.72%,5.66%,5.66%
Total Shareholder Return,1.06%,5.25%,4.02%,7.46%,10.22%,10.21%,6.04%,9.53%,9.42%,8.76%,8.69%
