,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"9,595","8,140","9,086","10,314","8,348","7,906","7,400","9,223","8,399","7,556","6,327","6,218","5,100","4,740","6,088","8,446","9,303","9,007","3,547","8,015","7,289","4,897","5,172","10,648","39,924","41,142","6,017","7,890","8,449","9,755","8,546","12,182","9,746","6,098","8,521","11,832","9,201","6,711","8,759","13,287"
Short-Term Investments,300,960,"1,160",9,26,18,879,26,8,"1,044","1,675","1,732","1,323","1,508","1,117","1,108",486,467,196,770,772,331,244,0,0,0,23,60,30,22,54,67,84,"1,474","1,440",47,28,11,7,3
Cash & Cash Equivalents,"9,895","9,100","10,246","10,323","8,374","7,924","8,279","9,249","8,407","8,600","8,002","7,950","6,423","6,248","7,205","9,554","9,789","9,474","3,743","8,785","8,061","5,228","5,416","10,648","39,924","41,142","6,040","7,950","8,479","9,777","8,600","12,249","9,830","7,572","9,961","11,879","9,229","6,722","8,766","13,290"
Cash Growth,24.06%,21.67%,17.04%,7.58%,-15.37%,-12.92%,-19.20%,-10.40%,0.39%,8.53%,-3.35%,-14.04%,-23.60%,-27.35%,-9.96%,20.18%,52.41%,51.63%,-48.05%,-8.05%,-17.65%,-44.82%,44.70%,21.21%,395.27%,686.95%,11.52%,-25.34%,-78.76%,-76.24%,42.38%,54.08%,15.93%,-22.55%,15.83%,-3.02%,-6.11%,-11.23%,-12.00%,11.88%
Receivables,"3,854","3,650","3,684","3,592","3,735","4,214","4,367","4,574","4,730","4,753","5,048","4,999","4,758","4,677","4,859","4,891","5,088","5,841","5,793","5,780","5,384","5,680","5,482","5,529","5,428","6,362","8,354","8,416","8,822","9,588","9,914","9,281","9,977","10,733","11,237","10,743","11,254","11,473","11,491","11,412"
Inventory,"1,150","1,104","1,048","1,008","1,124","1,022","1,623","1,841","1,719","1,789","1,756","1,630","1,444","1,427","1,582","1,785","1,605","1,738","1,580","1,786","1,605","1,702","1,895","1,929","1,813","1,844","4,059","3,474","3,310","3,272","3,386","3,094","3,128","3,483","3,396","3,172","3,579","3,833","4,055","3,981"
Other Current Assets,"2,949","3,475","2,816","2,632","2,848","2,248","2,608","2,248","1,458","1,480","1,985","1,711","3,562","3,195","3,316","2,700","4,741","3,391","2,729","2,114","1,895","1,803","2,307","2,060","2,354","2,410","2,803","3,169","3,562","3,932","4,099","4,333","4,993","4,721","4,506","4,570","4,401","4,460","4,540","4,541"
Total Current Assets,"17,848","17,329","17,794","17,555","16,081","15,408","16,877","17,912","16,314","16,622","16,791","16,290","16,187","15,547","16,962","18,930","21,223","20,444","13,845","18,465","16,945","14,413","15,100","20,166","49,519","51,758","21,256","23,009","24,173","26,569","25,999","28,957","27,928","26,509","29,100","30,364","28,463","26,488","28,852","33,224"
"Property, Plant & Equipment","2,298","2,333","2,387","2,432","2,485","2,431","2,517","2,546","2,565","2,597","2,618","2,638","2,604","2,612","2,657","2,697","2,803","2,828","2,787","2,950","2,883","2,860","2,879","2,894","2,962","2,961","4,908","4,986","5,248","5,193","5,161","5,130","5,110","5,075","4,958","4,893","4,935","4,931","4,943","4,934"
Long-Term Investments,118,119,130,124,92,93,134,74,145,387,"1,400","1,378","1,783","2,123","2,052","1,971","2,090","2,057","1,505","1,463","1,420","1,477","1,473",131,93,78,225,246,293,305,266,272,277,260,244,235,241,257,288,275
Goodwill and Intangibles,"8,167","8,073","7,939","7,542","7,375","7,012","33,146","33,065","32,877","32,786","44,957","44,770","44,313","44,119","44,018","43,915","43,344","43,110","42,595","42,343","36,896","36,452","36,101","34,573","34,253","33,764","119,132","117,444","116,000","113,642","111,738","109,752","108,330","106,284","103,851","100,451","99,595","97,068","95,086","90,694"
Other Long-Term Assets,767,803,795,801,"1,480","1,755","1,181","1,235","1,149","1,328","1,445","1,550","1,212","1,263","1,305","1,327","1,326",903,909,943,"1,208","1,567","1,589","1,677","2,288","2,638","4,009","3,936","4,851","4,792","4,808","4,747","4,884","5,083","5,033","5,382","5,571","5,800","6,198","7,094"
Total Long-Term Assets,"11,350","11,328","11,251","10,899","11,432","11,291","36,978","36,920","36,736","37,098","50,420","50,336","49,912","50,117","50,032","49,910","49,563","48,898","47,796","47,699","42,407","42,356","42,042","39,275","39,596","39,441","128,274","126,612","126,392","123,932","121,973","119,901","118,601","116,702","114,086","110,961","110,342","108,056","106,515","102,997"
Total Assets,"29,198","28,657","29,045","28,454","27,513","26,699","53,855","54,832","53,050","53,720","67,211","66,626","66,099","65,664","66,994","68,840","70,786","69,342","61,641","66,164","59,352","56,769","57,142","59,441","89,115","91,199","149,530","149,621","150,565","150,501","147,972","148,858","146,529","143,211","143,186","141,325","138,805","134,544","135,367","136,221"
Accounts Payable,"6,448","6,196","6,046","6,312","6,954","6,460","7,251","8,045","8,463","8,239","8,755","9,077","9,379","8,419","8,839","9,212","10,226","10,677","10,694","11,366","11,931","11,826","11,300","12,217","11,832","12,709","19,275","19,404","20,159","20,604","20,783","21,861","22,699","22,569","22,543","23,505","25,402","24,789","27,036","29,658"
Current Debt,431,20,271,323,"4,439","4,590","4,007",768,"2,431","2,423",517,26,402,425,"3,420","3,821","6,415","6,381","6,530","4,021","5,308","2,078","5,641","5,276","3,753","3,762","5,371","4,777","8,502","11,347","7,901","6,672","12,495","9,952","11,930","9,207","4,136","2,801","5,203","5,115"
Total Current Liabilities,"6,879","6,216","6,317","6,635","11,393","11,050","11,258","8,813","10,894","10,662","9,272","9,103","9,781","8,844","12,259","13,033","16,641","17,058","17,224","15,387","17,239","13,904","16,941","17,493","15,585","16,471","24,646","24,181","28,661","31,951","28,684","28,533","35,194","32,521","34,473","32,712","29,538","27,590","32,239","34,773"
Long-Term Debt,"14,292","14,386","14,470","14,469","10,538","10,683","27,116","31,359","29,240","29,490","37,328","37,284","36,440","36,526","33,817","33,974","30,953","30,906","30,579","36,487","35,002","35,066","31,619","33,126","62,975","63,284","82,061","82,282","77,554","74,183","74,237","74,049","64,189","63,522","61,002","60,399","59,135","59,292","55,812","55,631"
Other Long-Term Liabilities,"3,535","3,358","3,040","2,705","3,840","3,589","9,977","9,797","8,971","8,925","14,971","13,770","15,242","15,296","14,909","15,146","18,095","17,825","17,213","17,211","15,557","15,625","17,148","17,048","18,727","18,859","28,091","27,869","31,253","30,634","32,457","32,699","31,710","30,854","33,023","32,187","32,845","34,359","34,418","33,688"
Total Long-Term Liabilities,"17,827","17,744","17,510","17,174","14,378","14,272","37,093","41,156","38,211","38,415","52,299","51,054","51,682","51,822","48,726","49,120","49,048","48,731","47,792","53,698","50,559","50,691","48,767","50,174","81,702","82,143","110,152","110,151","108,807","104,817","106,694","106,748","95,899","94,376","94,025","92,586","91,980","93,651","90,230","89,319"
Total Liabilities,"24,706","23,960","23,827","23,809","25,771","25,322","48,351","49,969","49,105","49,077","61,571","60,157","61,463","60,666","60,985","62,153","65,689","65,789","65,016","69,085","67,798","64,595","65,708","67,667","97,287","98,614","134,798","134,332","137,468","136,768","135,378","135,281","131,093","126,897","128,498","125,298","121,518","121,241","122,469","124,092"
Total Debt,"14,723","14,406","14,741","14,792","14,977","15,273","31,123","32,127","31,671","31,913","37,845","37,310","36,842","36,951","37,237","37,795","37,368","37,287","37,109","40,508","40,310","37,144","37,260","38,402","66,728","67,046","87,432","87,059","86,056","85,530","82,138","80,721","76,684","73,474","72,932","69,606","63,271","62,093","61,015","60,746"
Debt Growth,-6.06%,-4.20%,-0.12%,-0.11%,1.73%,6.02%,111.13%,117.19%,111.46%,108.95%,21.60%,16.13%,16.33%,15.79%,-1.61%,1.30%,1.43%,0.91%,-0.34%,7.18%,7.87%,-0.38%,0.41%,-5.20%,65.54%,80.50%,134.65%,126.70%,28.97%,27.57%,-6.05%,-7.28%,-10.89%,-14.10%,-11.21%,-13.77%,-17.49%,-15.49%,-16.34%,-12.73%
Common Stock,"3,367","3,249","3,339","3,427","3,238","3,105","6,622","5,708","4,258","4,393","4,681","4,798","2,844","2,477","2,606","2,753","2,365","1,206","-6,231","-7,151","-9,334","-9,544","-9,459","-9,371","-9,293","-9,691","15,013","15,194","15,138","14,713","14,932","15,106","15,180","14,164","14,333","14,484","14,669","13,113","13,329","13,514"
Retained Earnings,"1,567","1,874","2,299","2,131",535,739,"1,256","1,654","2,248","2,673","3,349","4,011","4,378","5,063","5,951","6,547","5,459","4,977","5,495","6,789","3,368","4,234","3,384","3,673","4,717","5,973","3,130","3,335","1,055","2,292",740,"1,600","3,127","5,103","3,516","4,953","4,784","2,393","1,789",933
Comprehensive Income,-442,-426,-420,-913,"-2,031","-2,467","-2,374","-2,499","-2,561","-2,423","-2,390","-2,340","-2,586","-2,542","-2,548","-2,613","-2,727","-2,630","-2,639","-2,559","-2,480","-2,516","-2,491","-2,528","-3,596","-3,697","-3,435","-3,259","-3,117","-3,295","-3,103","-3,156","-2,899","-2,984","-3,196","-3,443","-2,199","-2,232","-2,252","-2,353"
Shareholders' Equity,"4,492","4,697","5,218","4,645","1,742","1,377","5,504","4,863","3,945","4,643","5,640","6,469","4,636","4,998","6,009","6,687","5,097","3,553","-3,375","-2,921","-8,446","-7,826","-8,566","-8,226","-8,172","-7,415","14,708","15,270","13,076","13,710","12,569","13,550","15,408","16,283","14,653","15,994","17,254","13,274","12,866","12,094"
Net Cash / Debt,"-4,828","-5,306","-4,495","-4,469","-6,603","-7,349","-22,844","-22,878","-23,264","-23,313","-29,843","-29,360","-30,419","-30,703","-30,032","-28,241","-27,579","-27,813","-33,366","-31,723","-32,249","-31,916","-31,844","-27,754","-26,804","-25,904","-81,392","-79,109","-77,577","-75,753","-73,538","-68,472","-66,854","-65,902","-62,971","-57,727","-54,042","-55,371","-52,249","-47,456"
Net Cash Per Share,-3.00,-3.30,-2.80,-2.78,-4.09,-4.57,-13.99,-13.75,-14.16,-14.35,-18.29,-17.90,-18.72,-19.15,-18.77,-17.62,-17.17,-17.43,-21.23,-20.94,-21.49,-21.52,-21.46,-18.71,-18.03,-17.46,-49.42,-44.59,-43.56,-42.68,-41.41,-38.53,-37.56,-37.07,-35.46,-32.50,-30.34,-31.18,-29.50,-26.80
Working Capital,"10,969","11,113","11,477","10,920","4,688","4,358","5,619","9,099","5,420","5,960","7,519","7,187","6,406","6,703","4,703","5,897","4,582","3,386","-3,379","3,078",-294,509,"-1,841","2,673","33,934","35,287","-3,390","-1,172","-4,488","-5,382","-2,685",424,"-7,266","-6,012","-5,373","-2,348","-1,075","-1,102","-3,387","-1,549"
Book Value Per Share,2.82,2.94,3.27,2.91,1.09,0.86,3.40,2.94,2.42,2.87,3.47,3.96,2.87,3.13,3.77,4.19,3.19,2.23,-2.15,-1.93,-5.65,-5.29,-5.79,-5.55,-5.51,-5.01,8.93,8.63,7.39,7.75,7.11,7.66,8.69,9.19,8.28,9.03,9.74,7.50,7.28,6.84
