,2014-02-27,2014-05-29,2014-08-28,2014-12-04,2015-03-05,2015-06-04,2015-09-03,2015-12-03,2016-03-03,2016-06-02,2016-09-01,2016-12-01,2017-03-02,2017-06-01,2017-08-31,2017-11-30,2018-03-01,2018-05-31,2018-08-30,2018-11-29,2019-02-28,2019-05-30,2019-08-29,2019-11-28,2020-02-27,2020-05-28,2020-09-03,2020-12-03,2021-03-04,2021-06-03,2021-09-02,2021-12-02,2022-03-03,2022-06-02,2022-09-01,2022-12-01,2023-03-02,2023-06-01,2023-08-31,2023-11-30
Cash & Equivalents,"4,305","4,062","4,150","3,764","3,547","3,694","2,287","2,605","3,078","4,627","4,140","4,139","3,633","4,048","5,109","6,008","7,828","6,808","6,506","4,447","6,353","5,157","7,152","6,969","7,118","8,267","7,624","5,985","6,507","7,759","7,763","8,680","9,116","9,157","8,262","9,574","9,798","9,298","8,577","8,075"
Short-Term Investments,199,202,384,466,932,"1,166","1,234","1,036",957,354,258,30,265,282,319,166,214,263,296,"1,116","1,180","1,532",803,619,363,391,518,"1,047",677,590,870,900,"1,006","1,070","1,069","1,007","1,020","1,054","1,017",973
Cash & Cash Equivalents,"4,504","4,264","4,534","4,230","4,479","4,860","3,521","3,641","4,035","4,981","4,398","4,169","3,898","4,330","5,428","6,174","8,042","7,071","6,802","5,563","7,533","6,689","7,955","7,588","7,481","8,658","8,142","7,032","7,184","8,349","8,633","9,580","10,122","10,227","9,331","10,581","10,818","10,352","9,594","9,048"
Cash Growth,102.15%,67.08%,23.98%,9.30%,-0.56%,13.98%,-22.34%,-13.92%,-9.91%,2.49%,24.91%,14.50%,-3.40%,-13.07%,23.42%,48.09%,106.31%,63.30%,25.31%,-9.90%,-6.33%,-5.40%,16.95%,36.40%,-0.69%,29.44%,2.35%,-7.33%,-3.97%,-3.57%,6.03%,36.23%,40.90%,22.49%,8.09%,10.45%,6.88%,1.22%,2.82%,-14.49%
Receivables,"2,826","2,715","2,906","2,663","2,761","2,530","2,507","2,223","1,984","2,073","2,068","2,453","2,891","3,497","3,759","3,876","4,437","4,912","5,478","5,418","4,416","3,257","3,195","3,419","3,049","3,603","3,912","3,691","3,353","4,231","5,311","5,250","5,384","6,229","5,130","3,318","2,278","2,429","2,443","2,943"
Inventory,"2,462","2,532","2,455","2,448","2,377","2,381","2,340","2,435","2,608","2,920","2,889","2,750","3,000","3,064","3,123","3,160","3,184","3,369","3,595","3,876","4,390","4,905","5,118","4,943","5,208","5,405","5,373","5,521","4,743","4,537","4,487","4,827","5,383","5,629","6,663","8,359","8,129","8,238","8,387","8,276"
Other Current Assets,199,194,350,331,301,237,228,211,178,136,140,132,156,132,147,148,173,147,164,182,211,215,235,217,238,233,538,285,"1,999","1,444","1,476",534,613,623,657,663,673,715,820,791
Total Current Assets,"9,991","9,705","10,245","9,672","9,918","10,008","8,596","8,510","8,805","10,110","9,495","9,504","9,945","11,023","12,457","13,358","15,836","15,499","16,039","15,039","16,550","15,066","16,503","16,167","15,976","17,899","17,965","16,529","17,279","18,561","19,907","20,191","21,502","22,708","21,781","22,921","21,898","21,734","21,244","21,058"
"Property, Plant & Equipment","7,859","8,021","8,682","9,132","9,233","9,857","10,554","11,060","11,819","13,209","14,686","15,321","19,098","19,014","19,431","20,723","21,864","22,705","23,672","24,807","26,204","27,138","28,240","29,960","30,252","30,680","31,615","32,806","32,423","32,767","33,764","35,729","36,758","37,355","39,227","40,028","39,758","39,382","38,594","38,325"
Long-Term Investments,"1,170","1,289","1,790","2,157","3,108","3,794","3,492","3,122","2,468","2,032","1,778","1,556",627,486,617,314,520,487,473,"1,565","1,614","1,167","1,164",599,586,577,"1,048","1,264","1,316","1,399","1,765","1,817","1,717","1,646","1,647","1,426","1,212",973,844,720
Goodwill and Intangibles,367,343,468,450,440,431,449,536,512,491,568,445,"1,615","1,633","1,615","1,596","1,576","1,562","1,559","1,584","1,578","1,567","1,568","1,561","1,560","1,560","1,562","1,564","1,570","1,578","1,577","1,575","1,642","1,643","1,649","1,656","1,638","1,662","1,554","1,566"
Other Long-Term Assets,"1,228","1,137","1,231","1,131","1,119","1,046","1,052","1,160","1,215","1,159","1,013","1,010","1,070","1,111","1,216","1,200","1,467","1,592","1,633","1,600","1,541","1,350","1,412","1,362","1,274","1,289","1,488","1,528","1,547","1,638","1,836","1,934","2,077","1,944","1,979","1,843","2,014","1,929","2,018","2,107"
Total Long-Term Assets,"10,624","10,790","12,171","12,870","13,900","15,128","15,547","15,878","16,014","16,891","18,045","18,332","22,410","22,244","22,879","23,833","25,427","26,346","27,337","29,556","30,937","31,222","32,384","33,482","33,672","34,106","35,713","37,162","36,856","37,382","38,942","41,055","42,194","42,588","44,502","44,953","44,622","43,946","43,010","42,718"
Total Assets,"20,615","20,495","22,416","22,542","23,818","25,136","24,143","24,388","24,819","27,001","27,540","27,836","32,355","33,267","35,336","37,191","41,263","41,845","43,376","44,595","47,487","46,288","48,887","49,649","49,648","52,005","53,678","53,691","54,135","55,943","58,849","61,246","63,696","65,296","66,283","67,874","66,520","65,680","64,254","63,776"
Accounts Payable,"2,679","2,828","2,864","2,965","2,662","3,204","2,611","2,784","3,087","3,599","3,879","4,155","3,801","3,656","3,664","3,766","4,194","3,998","4,374","4,200","4,062","3,494","4,626","5,408","5,077","5,364","5,817","4,856","4,550","4,427","5,325","5,470","5,650","5,788","6,090","5,438","4,310","4,177","3,958","3,946"
Deferred Revenue,251,282,309,286,259,214,205,190,199,189,200,236,289,326,408,416,427,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Debt,"2,230","1,508","1,618","1,168","1,199","1,148","1,089","1,051","1,125",712,756,"1,155","1,117","1,161","1,262","1,401","1,514","1,454",859,398,"2,634","1,346","1,310",462,237,330,270,273,323,297,155,118,123,107,103,171,237,259,278,908
Other Current Liabilities,145,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,591,665,557,454,447,508,491,548,559,560,738,944,924,"1,145","1,114","1,346",916,708,668,529,"1,108"
