,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Long-Term Debt,0,0,0,0,0,0,0,"15,877","15,876","15,879","15,882","14,138","14,140","14,142","16,618","16,621","16,624","16,627","16,630","16,633","16,630","16,694","16,729","13,688","13,893","17,880","21,071","21,055","20,974","20,996","19,978","17,673","17,479","20,546","20,200","20,487","20,606","20,560","20,463","20,703"
Other Long-Term Liabilities,"5,007","5,075","5,150","5,144","5,155","5,013","4,170","4,267","4,194","7,378","7,195","7,165","8,098","8,403","8,605","8,769","8,764","7,296","7,284","7,538","7,580","7,731","7,746","8,244","8,400","8,380","9,128","9,302","8,814","9,862","9,590","9,494","9,638","9,072","8,867","8,623","8,487","8,463","8,205","8,339"
Total Long-Term Liabilities,"5,007","5,075","5,150","5,144","5,155","5,013","4,170","20,144","20,070","23,257","23,077","21,303","22,238","22,545","25,223","25,390","25,388","23,923","23,914","24,171","24,210","24,425","24,475","21,932","22,293","26,260","30,199","30,357","29,788","30,858","29,568","27,167","27,117","29,618","29,067","29,110","29,093","29,023","28,668","29,042"
Total Liabilities,"9,968","10,389","11,156","10,942","10,598","10,802","9,525","25,501","25,195","31,040","31,123","31,644","32,444","32,056","35,217","33,753","34,939","34,857","35,219","37,560","35,590","35,254","37,890","39,511","38,235","42,360","44,709","42,747","42,499","44,881","45,307","45,735","45,819","49,927","49,920","48,463","48,190","50,253","51,766","51,676"
Total Debt,0,0,0,0,0,0,0,"15,877","15,876","15,879","15,882","16,451","15,888","15,891","18,367","16,621","16,624","16,627","16,630","16,633","16,630","16,694","16,729","16,688","17,892","20,879","24,070","21,055","20,974","20,996","20,977","20,920","21,027","23,795","22,450","20,487","20,606","20,560","20,463","20,703"
Debt Growth,-,-,-,-,-,-,-,-,-,-,-,3.62%,0.08%,0.08%,15.65%,1.03%,4.63%,4.63%,-9.46%,0.07%,0.04%,0.40%,0.60%,0.33%,7.59%,25.07%,43.88%,26.17%,17.23%,0.56%,-12.85%,-0.64%,0.25%,13.33%,7.02%,-2.07%,-2.00%,-13.60%,-8.85%,1.05%
Common Stock,"18,555","18,393","18,299","18,200","18,098","18,008","18,073","17,824","17,645","23,036","22,908","22,603","22,623","22,527","22,374","22,232","22,183","22,151","22,141","21,912","21,848","21,845","21,832","21,711","21,663","21,731","21,768","21,712","21,811","21,895","21,802","21,660","21,743","21,790","21,834","21,780","21,945","22,051","22,010","21,966"
Retained Earnings,"8,714","8,909","9,131","9,732","10,108","10,623","11,843","11,701","11,582","10,334","10,462","10,492","9,140","9,299","9,508","9,966","10,192","10,426","11,318","11,908","12,513","13,040","13,502","13,899","13,366","14,072","14,088","14,813","15,513","15,294","15,351","14,606","14,651","14,960","16,116","16,403","17,610","17,908","18,040","18,422"
Comprehensive Income,26,-16,-17,10,31,-4,-74,-49,-96,-543,-458,"-1,369",-980,118,878,"1,203","1,728",741,547,275,-86,110,-650,-340,-444,-279,354,"1,154",372,601,436,-72,-405,"-1,267","-2,369","-1,259",-990,-978,"-1,317",-655
Shareholders' Equity,"27,295","27,286","27,413","27,942","28,237","28,627","29,842","29,476","29,131","32,827","32,912","31,726","30,783","31,944","32,760","33,401","34,103","33,318","34,006","34,095","34,275","34,995","34,684","35,270","34,585","35,524","36,210","37,679","37,696","37,790","37,589","36,194","35,989","35,483","35,581","36,924","38,565","38,981","38,733","39,733"
Net Cash / Debt,"4,599","5,169","5,448","5,978","5,784","5,865","7,087","6,529","5,082","-6,100","-5,917","-5,902","-6,937","-4,670","-3,898","-4,187","-4,021","-3,239","-3,430","-3,387","-4,207","-4,615","-3,450","-2,384","-4,477","-3,094","-3,128","-2,120","-1,528",-862,"-1,571","-3,855","-6,616","-4,956","-2,479","-2,663","-2,396",-177,"1,429",-491
Net Cash / Debt Growth,66.15%,52.16%,26.58%,44.43%,25.77%,13.46%,30.08%,9.22%,-12.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,1.64,1.86,1.97,2.18,2.12,2.16,2.61,2.42,1.91,-2.30,-2.19,-2.20,-2.60,-1.77,-1.49,-1.60,-1.55,-1.26,-1.34,-1.33,-1.66,-1.83,-1.37,-0.96,-1.80,-1.25,-1.27,-0.86,-0.62,-0.35,-0.65,-1.60,-2.76,-2.08,-1.05,-1.13,-1.02,-0.08,0.62,-0.21
Working Capital,"3,546","3,711","3,556","4,066","4,662","4,279","4,666","20,116","19,178","6,591","6,267","4,348","5,299","6,207","9,029","8,924","8,985","7,557","6,911","6,718","7,110","7,476","7,555","4,740","3,965","8,911","13,135","13,890","14,190","14,019","11,868","7,338","5,389","8,662","9,352","8,506","9,560","10,440","10,434","10,098"
Book Value Per Share,14.75,14.90,15.08,15.38,15.65,11.75,12.42,12.22,12.22,13.85,14.02,13.65,13.33,13.94,14.42,14.78,15.19,14.94,15.32,15.46,15.63,16.06,16.00,16.36,16.13,16.66,17.06,17.65,17.65,17.74,17.73,17.18,17.20,17.06,17.13,17.87,18.71,19.01,19.00,19.68
