,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Total Long-Term Liabilities,"25,438","26,345","27,182","27,419","28,698","29,774","29,656","30,692","32,010","32,173","32,764","32,146","32,329","33,457","34,415","29,011","28,654","34,408","34,138","34,098","38,315","37,872","39,375","39,194","41,584","41,824","41,674","41,267","40,668","43,413","43,332","43,620","46,692","45,728","47,888","47,766","47,305","47,590","47,232","47,238"
Total Liabilities,"29,626","30,122","31,015","31,183","32,088","33,187","33,164","33,898","35,297","35,268","36,021","35,786","36,177","36,863","38,246","32,950","33,400","38,780","38,667","38,724","43,577","43,537","43,962","43,545","46,225","47,103","46,515","45,440","45,539","47,770","48,443","49,364","52,154","51,730","53,600","53,286","53,514","52,839","52,536","52,344"
Total Debt,"10,176","10,843","11,505","11,413","12,300","13,339","13,319","14,201","15,193","15,186","15,612","15,007","15,033","15,760","16,833","16,944","17,588","22,813","22,411","22,391","26,775","26,864","27,277","26,671","29,215","29,749","29,353","28,012","27,853","30,068","30,657","31,158","33,530","33,302","34,725","34,626","35,017","34,519","34,121","33,824"
Debt Growth,3.19%,10.54%,21.68%,19.17%,20.87%,23.02%,15.77%,24.43%,23.52%,13.85%,17.22%,5.68%,-1.05%,3.78%,7.82%,12.91%,17.00%,44.75%,33.14%,32.15%,52.23%,17.76%,21.71%,19.11%,9.11%,10.74%,7.61%,5.03%,-4.66%,1.07%,4.44%,11.23%,20.38%,10.76%,13.27%,11.13%,4.43%,3.65%,-1.74%,-2.32%
Common Stock,"-3,956","-3,302","-4,119","-4,968","-5,759","-6,561","-7,772","-8,336","-9,064","-9,646","-10,471","-11,383","-12,192","-13,011","-14,238","-15,320","-16,548","-21,974","-22,276","-23,446","-26,929","-27,528","-28,554","-29,121","-32,099","-32,068","-32,050","-32,775","-34,171","-37,262","-38,644","-39,974","-43,162","-43,407","-45,472","-46,142","-46,710","-46,789","-46,734","-46,691"
Retained Earnings,"25,962","25,456","26,380","27,367","28,034","28,759","29,583","30,233","30,747","31,266","31,940","32,587","33,167","33,847","34,561","41,317","42,359","43,311","44,313","45,284","46,049","46,997","47,875","48,605","49,419","49,892","50,600","51,326","52,019","53,116","54,094","55,049","55,937","56,958","58,047","58,887","59,724","60,500","61,235","62,093"
Comprehensive Income,-734,-714,-708,"-1,210","-1,218","-1,208","-1,212","-1,195","-1,208","-1,198","-1,185","-1,272","-1,252","-1,221","-1,172","-1,141","-1,422","-1,428","-1,392","-1,415","-1,378","-1,298","-1,305","-1,356","-1,329","-1,372","-1,351","-1,593","-1,594","-1,551","-1,533",-914,-878,-841,-832,-582,-560,-517,-497,-614
Shareholders' Equity,"21,272","21,440","21,553","21,189","21,057","20,990","20,599","20,702","20,475","20,422","20,284","19,932","19,723","19,615","19,151","24,856","24,389","19,909","20,645","20,423","17,742","18,171","18,016","18,128","15,991","16,452","17,199","16,958","16,254","14,303","13,917","14,161","11,897","12,710","11,743","12,163","12,454","13,194","14,004","14,788"
Net Cash / Debt,"-8,319","-9,306","-9,618","-9,827","-10,713","-11,298","-12,241","-12,810","-12,520","-13,026","-13,373","-13,670","-13,894","-14,384","-14,896","-15,579","-16,450","-21,119","-20,511","-21,058","-25,656","-25,755","-25,967","-25,780","-28,025","-26,983","-26,692","-26,153","-26,610","-28,907","-29,417","-30,152","-32,575","-32,468","-33,412","-33,607","-33,938","-33,689","-33,355","-32,753"
Net Cash Per Share,-9.12,-10.28,-10.72,-10.91,-12.14,-12.91,-14.14,-14.73,-14.79,-15.51,-16.07,-16.36,-17.05,-17.82,-18.68,-19.43,-21.10,-27.65,-27.68,-27.92,-35.66,-36.38,-37.00,-36.51,-40.84,-39.73,-39.44,-38.51,-39.76,-43.79,-45.24,-46.01,-51.41,-51.80,-53.76,-53.86,-55.50,-55.27,-54.70,-53.68
Working Capital,491,726,947,637,"1,089","1,570",434,924,"1,796","1,471","1,345",-44,-260,463,618,67,-849,122,287,-463,"-1,309","-1,579",-514,-892,-837,-196,289,41,"-1,152",-593,"-1,301","-2,193","-1,586","-2,026","-1,307","-1,568","-2,151","-1,497","-1,491",-958
Book Value Per Share,23.43,23.78,24.13,23.62,23.95,24.07,23.87,23.90,24.26,24.39,24.47,23.95,24.30,24.39,24.10,31.13,31.41,26.18,28.00,27.20,24.75,25.76,25.76,25.77,23.37,24.28,25.48,25.04,24.35,21.72,21.45,21.66,18.82,20.32,18.93,19.53,20.40,21.68,23.01,24.27
