,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"3,121","1,083","1,630","4,539","1,099",890,867,720,910,706,334,701,619,476,433,518,804,797,851,915,"1,997",926,849,932,852,"4,734","1,203",948,666,694,869,"1,083",943,"1,079",906,"1,099","1,037",899,"1,426","1,498"
Short-Term Investments,"4,394","4,663","4,729","5,099","5,392","5,131","5,041","5,583","5,652","5,796","5,936","5,653","5,307","5,648","5,307","5,301","4,826","4,408","4,301","4,426","4,506","4,250","4,385","4,415","4,458","5,098","5,045","5,484","5,890","6,403","7,114","7,891","8,016","10,132","9,974","9,345","9,010","8,736","8,167","7,739"
Cash & Cash Equivalents,"7,515","5,746","6,359","9,638","6,491","6,021","5,908","6,303","6,562","6,502","6,270","6,354","5,926","6,124","5,740","5,819","5,630","5,205","5,152","5,341","6,503","5,176","5,234","5,347","5,310","9,832","6,248","6,432","6,556","7,097","7,983","8,974","8,959","11,211","10,880","10,444","10,047","9,635","9,593","9,237"
Cash Growth,26.77%,4.68%,9.96%,28.75%,-13.63%,4.79%,-7.09%,-34.60%,1.09%,7.99%,6.13%,0.81%,-9.69%,-5.81%,-8.45%,-8.42%,-4.99%,-15.01%,-10.24%,-8.21%,15.51%,-0.56%,1.59%,0.11%,-18.35%,89.95%,19.37%,20.29%,23.47%,-27.82%,27.77%,39.52%,36.65%,57.97%,36.29%,16.38%,12.14%,-14.06%,-11.83%,-11.56%
Receivables,"3,224","2,779","4,089","2,121","2,704","2,036","2,224","2,132","1,738","1,965","2,257","2,253","1,905","1,757","1,717","1,911","1,947","2,147","1,900","1,934","2,233","2,515","2,433","2,241","2,267","2,437","2,583","2,616","2,793","3,269","3,478","3,797","3,311","4,235","5,336","4,679","4,926","4,471","4,110","4,443"
Inventory,"11,441","11,394","9,024","8,034","9,374","8,372","7,845","7,428","8,243","7,914","8,000","7,228","8,831","8,664","7,846","8,326","9,173","9,820","7,953","8,483","8,813","8,946","8,294","8,075","9,170","8,830","7,626","8,762","11,713","12,764","11,446","11,169","14,481","17,290","14,485","13,282","14,771","14,771","11,902","11,224"
Other Current Assets,"6,350","6,307","5,186","6,846","7,459","7,467","6,611","7,182","5,286","4,589","4,340","4,708","4,383","3,941","2,898","3,084","3,175","3,734","3,642","3,707","3,039","3,625","3,587","3,515","4,600","5,047","5,554","4,956","6,224","6,154","5,597","5,350","5,158","7,717","6,946","6,164","5,666","5,448","5,081","5,618"
Total Current Assets,"28,530","26,226","24,658","26,639","26,028","23,896","22,588","23,045","21,829","20,970","20,867","20,543","21,045","20,486","18,201","19,140","19,925","20,906","18,647","19,465","20,588","20,262","19,548","19,178","21,347","26,146","22,011","22,766","27,286","29,284","28,504","29,290","31,909","40,453","37,647","34,569","35,410","34,325","30,686","30,522"
"Property, Plant & Equipment","10,137","10,102","10,110","9,995","9,851","9,833","9,897","9,900","9,853","9,891","9,802","9,853","9,758","9,771","9,945","9,956","10,138","10,123","9,948","9,885","9,953","10,299","10,245","10,101","11,077","9,883","9,833","9,816","10,881","10,870","10,916","10,853","10,826","10,793","10,682","10,588","11,021","11,096","11,265","11,359"
Long-Term Investments,"4,046","3,919","3,958","4,031","4,377","4,466","4,422","4,345","4,340","4,530","4,916","4,959","4,684","4,896","5,055","5,179","5,180","5,242","5,388","5,319","5,317","5,354","5,457","5,409","5,132","5,143","5,239","4,771","4,913","4,998","5,113","5,148","5,285","5,404","5,464","5,429","5,467","5,525","5,665","5,469"
Goodwill and Intangibles,561,758,753,732,"3,392","3,124","3,256","3,213","3,688","3,889","3,865","3,852","3,703","3,780","3,866","3,939","3,918","3,970","3,834","4,065","4,041","5,459","5,545","5,401","5,476","5,194","5,212","5,275","5,585","5,249","5,266","5,705","6,747","6,750","6,547","6,364","6,544","6,583","6,542","6,392"
Other Long-Term Assets,478,439,451,424,349,396,405,374,447,401,648,646,579,697,750,755,802,859,938,930,934,"1,777","1,821","1,715",965,"2,029","2,046","2,167","1,054","1,077","1,159","1,302","1,369","1,466","1,488","1,354","1,332","1,273","1,341","1,351"
Total Long-Term Assets,"15,222","15,218","15,272","15,182","17,969","17,819","17,980","17,832","18,328","18,711","19,231","19,310","18,724","19,144","19,616","19,829","20,038","20,194","20,108","20,199","20,245","22,889","23,068","22,626","22,650","22,249","22,330","22,029","22,433","22,194","22,454","23,008","24,227","24,413","24,181","23,735","24,364","24,477","24,813","24,571"
Total Assets,"43,752","41,444","39,930","41,821","43,997","41,715","40,568","40,877","40,157","39,681","40,098","39,853","39,769","39,630","37,817","38,969","39,963","41,100","38,755","39,664","40,833","43,151","42,616","41,804","43,997","48,395","44,341","44,795","49,719","51,478","50,958","52,298","56,136","64,866","61,828","58,304","59,774","58,802","55,499","55,093"
Accounts Payable,"9,345","8,737","8,280","8,879","10,200","8,990","8,380","8,872","9,294","8,394","8,410","8,407","8,764","8,889","8,032","8,584","8,867","7,907","6,903","7,601","8,173","8,154","7,763","7,836","8,768","9,218","8,737","9,416","10,934","11,039","11,260","13,292","15,353","17,560","16,908","16,902","17,659","15,701","13,791","13,552"
Current Debt,"1,523",320,253,195,132,866,958,953,98,795,"1,825",479,427,"1,251",924,741,870,"2,343","1,642","1,122",690,"2,209","1,711","1,257","1,424","3,890",541,211,"2,305","3,025","1,557","1,163","1,805","4,600","3,738","1,348","1,737","3,048",728,412
Other Current Liabilities,"4,790","4,399","3,358","4,677","5,270","4,379","3,521","4,305","4,113","3,678","3,543","3,851","3,982","3,462","2,465","2,548","2,833","3,035","3,173","2,925","2,913","2,998","3,128","2,927","3,542","4,209","3,531","4,280","4,943","4,448","4,479","4,121","4,790","6,363","5,014","4,686","4,795","3,981","4,269","4,141"
Total Current Liabilities,"15,658","13,456","11,891","13,751","15,602","14,235","12,859","14,130","13,505","12,867","13,778","12,737","13,173","13,602","11,421","11,873","12,570","13,285","11,718","11,648","11,776","13,361","12,602","12,020","13,734","17,317","12,809","13,907","18,182","18,512","17,296","18,576","21,948","28,523","25,660","22,936","24,191","22,730","18,788","18,105"
Long-Term Debt,"5,347","5,353","5,369","5,346","5,528","5,575","5,965","5,829","5,779","5,851","5,561","6,594","6,504","5,956","6,056","6,595","6,623","6,657","5,981","6,730","7,698","7,675","7,701","7,631","8,453","8,613","8,632","7,922","8,748","9,267","9,232","8,798","8,776","9,491","8,800","8,394","8,551","8,502","9,097","9,088"
Other Long-Term Liabilities,"2,553","2,573","2,451","2,463","3,237","3,148","3,186","3,040","2,958","3,050","3,090","2,966","2,911","2,943","2,922","2,924","2,448","2,421","2,344","2,286","2,363","3,205","3,334","3,258","2,585","3,489","3,589","3,625","2,767","2,838","2,827","2,934","2,904","3,097","2,942","2,945","2,715","2,674","2,639","2,635"
Total Long-Term Liabilities,"7,900","7,926","7,820","7,809","8,765","8,723","9,151","8,869","8,737","8,901","8,651","9,560","9,415","8,899","8,978","9,519","9,071","9,078","8,325","9,016","10,061","10,880","11,035","10,889","11,038","12,102","12,221","11,547","11,515","12,105","12,059","11,732","11,680","12,588","11,742","11,339","11,266","11,176","11,736","11,723"
Total Liabilities,"23,558","21,382","19,711","21,560","24,367","22,958","22,010","22,999","22,242","21,768","22,429","22,297","22,588","22,501","20,399","21,392","21,641","22,363","20,043","20,664","21,837","24,241","23,637","22,909","24,772","29,419","25,030","25,454","29,697","30,617","29,355","30,308","33,628","41,111","37,402","34,275","35,457","33,906","30,524","29,828"
Total Debt,"6,870","5,673","5,622","5,541","5,660","6,441","6,923","6,782","5,877","6,646","7,386","7,073","6,931","7,207","6,980","7,336","7,493","9,000","7,623","7,852","8,388","9,884","9,412","8,888","9,877","12,503","9,173","8,133","11,053","12,292","10,789","9,961","10,581","14,091","12,538","9,742","10,288","11,550","9,825","9,500"
