,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"24,804","25,357","29,940","30,216","16,861","23,269","20,263","25,387","14,805","15,803","16,095"
Market Cap Growth,-,2.23%,18.07%,0.92%,-44.20%,38.00%,-12.92%,25.29%,-41.68%,6.74%,-
Enterprise Value,"40,436","37,311","40,766","39,413","31,461","30,988","24,514","31,557","18,702","17,526","17,818"
PE Ratio,11.76,11.45,13.30,15.62,6.04,6.21,15.09,6.08,4.98,7.20,7.62
PS Ratio,3.93,3.73,4.29,4.27,2.18,2.55,3.46,2.68,1.78,2.06,2.10
PB Ratio,2.37,2.01,2.11,2.12,1.15,1.54,1.60,1.86,1.15,1.14,1.16
P/FCF Ratio,4.65,4.10,4.60,3.52,1.80,2.59,2.71,3.58,2.21,1.84,1.87
P/OCF Ratio,4.65,4.10,4.60,3.52,1.80,2.59,2.71,3.58,2.21,1.84,1.87
EV/Sales Ratio,6.41,5.49,5.84,5.57,4.07,3.39,4.19,3.33,2.25,2.29,2.33
EV/EBITDA Ratio,11.50,10.07,10.76,11.02,7.97,5.90,11.47,5.39,4.31,5.28,5.37
EV/EBIT Ratio,11.94,10.57,11.42,11.86,8.63,6.34,13.97,5.78,4.77,6.12,6.23
EV/FCF Ratio,7.57,6.03,6.26,4.60,3.37,3.45,3.27,4.45,2.79,2.04,2.07
Debt / Equity Ratio,2.62,1.93,1.42,1.46,1.63,1.32,1.24,1.06,1.10,1.15,1.15
Debt / EBITDA Ratio,7.81,6.55,5.32,5.81,6.08,3.78,7.38,2.48,3.27,4.81,4.81
Debt / FCF Ratio,5.14,3.93,3.09,2.43,2.57,2.21,2.11,2.04,2.12,1.86,1.86
Asset Turnover,0.09,0.09,0.08,0.08,0.08,0.09,0.06,0.10,0.08,0.07,0.07
Return on Equity (ROE),25.70%,18.70%,16.30%,13.50%,19.40%,25.10%,11.00%,30.30%,22.60%,16.20%,16.20%
Return on Assets (ROA),3.10%,2.80%,2.60%,2.10%,2.70%,3.50%,1.40%,4.50%,3.00%,2.00%,2.00%
Return on Capital (ROIC),5.56%,6.00%,6.55%,5.52%,7.21%,10.72%,4.83%,14.95%,11.11%,7.46%,7.46%
Earnings Yield,8.50%,8.73%,7.52%,6.40%,16.55%,16.10%,6.63%,16.46%,20.09%,13.90%,13.64%
FCF Yield,21.53%,24.39%,21.75%,28.38%,55.40%,38.63%,36.95%,27.96%,45.22%,54.38%,53.39%
Dividend Yield,0.00%,0.00%,0.70%,1.50%,3.10%,2.40%,2.50%,1.90%,2.70%,2.50%,2.53%
Payout Ratio,0.00%,0.00%,9.60%,23.00%,19.10%,15.40%,38.60%,11.90%,14.50%,18.40%,19.27%
Buyback Yield / Dilution,-0.42%,-0.01%,1.00%,5.19%,8.16%,10.09%,9.66%,6.26%,17.67%,8.15%,8.15%
Total Shareholder Return,-0.42%,-0.01%,1.70%,6.69%,11.26%,12.49%,12.16%,8.16%,20.37%,10.65%,10.68%
