,2014-03-28,2014-06-27,2014-09-26,2014-12-31,2015-04-03,2015-07-03,2015-10-02,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-04-03,2020-07-03,2020-10-02,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31
Cash & Equivalents,"3,347","3,321","4,025","3,006","2,511","3,342","1,834",790.8,664.3,"4,098",971.4,963.7,803.9,726.4,648.6,630.3,"1,046",904,776.2,787.8,"3,910","5,434","14,252","19,912","4,368","5,539","5,688","6,035","6,330","7,322","2,552","2,586","3,717","3,984","5,150","5,995","7,379","8,575","12,277","5,864"
Cash & Cash Equivalents,"3,347","3,321","4,025","3,006","2,511","3,342","1,834",790.8,664.3,"4,098",971.4,963.7,803.9,726.4,648.6,630.3,"1,046",904,776.2,787.8,"3,910","5,434","14,252","19,912","4,368","5,539","5,688","6,035","6,330","7,322","2,552","2,586","3,717","3,984","5,150","5,995","7,379","8,575","12,277","5,864"
Cash Growth,55.60%,42.85%,101.71%,-3.52%,-24.97%,0.63%,-54.45%,-73.69%,-73.54%,22.61%,-47.02%,21.86%,21.01%,-82.27%,-33.23%,-34.60%,30.08%,24.45%,19.67%,24.99%,273.91%,501.06%,1736.14%,2427.58%,11.71%,1.95%,-60.09%,-69.69%,44.93%,32.18%,-55.13%,-57.15%,-41.28%,-45.59%,101.80%,131.83%,98.52%,115.24%,138.39%,-2.19%
Receivables,"3,468","3,632","3,498","3,634","3,447","3,565","3,906","3,964","3,871","3,995","3,082","3,186","3,035","3,215","3,255","3,522","3,271","3,297","3,323","3,490","3,409","3,482","3,467","3,191","3,433","3,378","3,496","4,045","3,949","4,103","4,194","4,631","4,407","4,527","4,409","4,918","4,313","4,199","4,201","3,922"
Inventory,"1,871","1,894","1,874","1,832","1,897","1,912","2,341","2,095","2,238","2,240","1,712","1,709","1,765","1,792","1,892","1,841","1,949","1,981","2,029","1,910","2,028","2,056","2,024","1,628","2,575","2,593","2,422","2,292","2,424","2,547","2,737","2,767","3,072","3,257","3,236","3,110","3,383","3,183","3,024","2,594"
Other Current Assets,718.9,660.2,592.1,960.4,919.3,835.1,851.6,986.4,974,898.4,727.8,805.9,715.2,523.7,464.7,857.1,809.6,732,701.8,906.3,733.3,632.6,610.8,864.6,766.6,833.2,936.1,"1,430","1,309","1,420","1,293","1,664","1,474","1,461","1,455","1,860","1,457","1,504","1,703","1,557"
Total Current Assets,"9,404","9,507","9,990","9,431","8,774","9,655","8,932","7,837","7,747","11,231","6,493","6,665","6,319","6,257","6,260","6,850","7,075","6,913","6,831","7,094","10,080","11,604","20,354","25,597","11,143","12,344","12,541","13,802","14,012","15,392","10,776","11,648","12,670","13,229","14,250","15,883","16,532","17,461","21,205","13,937"
"Property, Plant & Equipment","2,183","2,232","2,162","2,203","2,136","2,161","2,792","2,826","2,873","2,785","2,255","2,354","2,409","2,423","2,425","2,455","2,476","2,493","2,462","2,511","2,504","2,542","2,520","2,302","2,989","2,973","3,052","3,262","3,266","3,410","3,640","3,790","3,815","3,794","3,719","3,956","4,065","4,176","4,302","4,553"
Goodwill,"16,148","16,398","15,979","16,964","16,712","16,935","25,129","25,070","25,485","25,378","21,581","23,827","24,015","24,524","24,784","25,139","25,438","25,917","26,035","25,906","26,001","26,075","25,725","22,713","33,726","33,227","34,270","35,420","34,880","35,590","41,237","41,184","40,663","39,276","38,251","39,752","39,856","39,576","39,155","41,608"
Intangible Assets,"6,213","6,369","6,214","7,369","7,358","7,097","11,691","11,270","11,264","11,084","10,308","11,818","11,817","11,750","11,693","11,667","11,581","12,186","11,814","11,673","11,542","11,424","11,146","9,750","18,513","20,445","20,854","21,282","20,393","20,517","23,375","22,843","22,146","20,907","19,964","20,300","19,976","19,317","18,786","20,746"
Other Long-Term Assets,"1,095","1,145","1,192","1,024","1,092","1,139","1,165","1,219","1,017","1,026",660.4,631.3,685.7,693.9,689.1,538.3,575.3,547.4,577.3,648.4,"1,646","1,678","1,787","1,721","2,561","2,280","2,173","2,395","2,875","3,118","3,470","3,719","4,098","4,600","4,846","4,459","4,611","4,372","4,286","3,644"
Total Long-Term Assets,"25,638","26,145","25,546","27,560","27,298","27,332","40,776","40,386","40,638","40,273","34,804","38,630","38,926","39,390","39,591","39,799","40,070","41,143","40,889","40,739","41,694","41,718","41,177","36,485","57,788","58,925","60,350","62,359","61,414","62,635","71,722","71,536","70,722","68,577","66,780","68,467","68,508","67,441","66,529","70,551"
Total Assets,"35,043","35,652","35,536","36,992","36,072","36,987","49,708","48,222","48,386","51,504","41,298","45,295","45,245","45,647","45,851","46,649","47,145","48,056","47,720","47,833","51,774","53,322","61,531","62,082","68,930","71,268","72,891","76,161","75,426","78,027","82,498","83,184","83,392","81,806","81,030","84,350","85,040","84,902","87,734","84,488"
