,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"4,292","3,647","3,480","4,191","3,689","4,870","5,764","5,301","4,114","3,778","4,925","5,949","4,816","4,463","5,207","5,176","5,850","4,658","4,451","3,551","2,982","2,777","2,033","2,137","2,583","1,515","2,319","4,047","3,313","2,254","3,572","3,498","4,122","2,638","5,392","3,969","4,862","5,521","5,075","5,831"
Cash & Cash Equivalents,"4,292","3,647","3,480","4,191","3,689","4,870","5,764","5,301","4,114","3,778","4,925","5,949","4,816","4,463","5,207","5,176","5,850","4,658","4,451","3,551","2,982","2,777","2,033","2,137","2,583","1,515","2,319","4,047","3,313","2,254","3,572","3,498","4,122","2,638","5,392","3,969","4,862","5,521","5,075","5,831"
Cash Growth,149.10%,96.39%,45.12%,119.65%,-14.05%,33.53%,65.63%,26.49%,11.52%,-22.42%,-14.56%,12.22%,17.06%,18.13%,5.73%,-12.99%,21.47%,4.37%,-14.52%,-31.39%,-49.03%,-40.38%,-54.32%,-39.82%,-13.38%,-45.44%,14.07%,89.38%,28.26%,48.78%,54.03%,-13.57%,24.42%,17.04%,50.95%,13.46%,17.95%,109.29%,-5.88%,46.91%
Receivables,"8,751","7,783","7,952","8,175","5,879","4,924","5,799","4,691","4,464","4,518","4,880","4,672","5,901","5,104","4,573","5,959","6,922","6,814","7,535","8,249","7,345","8,289","9,050","7,994","8,988","5,392","4,152","5,601","6,109","9,014","9,132","8,627","10,378","13,080","14,439","11,581","11,919","9,688","10,888","12,566"
Inventory,"5,758","7,106","6,526","6,860","6,623","6,666","6,618","6,557","5,898","6,056","6,137","5,979","5,709","6,025","5,674","6,137","6,384","6,555","6,420","7,501","6,532","6,554","6,281","6,376","7,013","3,675","5,420","5,357","6,038","5,881","6,103","6,227","6,265","7,174","7,147","6,628","6,752","7,455","6,961","7,513"
Other Current Assets,476,494,492,440,423,328,311,278,422,509,238,278,374,316,277,170,156,233,542,590,816,860,447,526,385,883,871,417,384,442,565,438,400,421,431,518,600,671,771,667
Total Current Assets,"19,277","19,030","18,450","19,666","16,614","16,788","18,492","16,827","14,898","14,861","16,180","16,878","16,800","15,908","15,731","17,442","19,312","18,260","18,948","19,891","17,675","18,480","17,811","17,033","18,969","11,465","12,762","15,422","15,844","17,591","19,372","18,790","21,165","23,313","27,409","22,696","24,133","23,335","23,695","26,577"
"Property, Plant & Equipment","25,707","25,766","26,122","26,449","26,735","26,596","26,734","26,688","26,703","26,745","26,589","26,518","26,472","26,991","27,054","27,274","27,480","27,731","28,180","28,428","28,848","28,408","28,784","28,890","29,264","30,526","30,653","30,729","30,389","30,379","30,461","30,440","30,847","30,876","30,754","30,508","30,978","30,780","30,570","30,253"
Other Long-Term Assets,"2,276","2,303","2,441","2,340","2,201","2,357","2,373","2,310","2,626","2,653","2,683","2,869","2,901","3,148","3,189","3,272","3,366","3,385","3,550","3,575","3,632","5,207","5,427","5,306","5,631","5,756","5,684","5,581","5,541","5,644","5,623","5,461","5,876","6,213","6,182","6,125","5,871","6,062","6,402","6,345"
Total Long-Term Assets,"27,983","28,069","28,563","28,789","28,936","28,953","29,107","28,998","29,329","29,398","29,272","29,387","29,373","30,139","30,243","30,546","30,846","31,116","31,730","32,003","32,480","33,615","34,211","34,196","34,895","36,282","36,337","36,310","35,930","36,023","36,084","35,901","36,723","37,089","36,936","36,633","36,849","36,842","36,972","36,598"
Total Assets,"47,260","47,099","47,013","48,455","45,550","45,741","47,599","45,825","44,227","44,259","45,452","46,265","46,173","46,047","45,974","47,988","50,158","49,376","50,678","51,894","50,155","52,095","52,022","51,229","53,864","47,747","49,099","51,732","51,774","53,614","55,456","54,691","57,888","60,402","64,345","59,329","60,982","60,177","60,667","63,175"
Accounts Payable,"9,931","9,617","9,355","9,939","6,760","6,010","7,315","5,679","4,907","4,980","5,943","5,368","6,357","6,037","5,456","6,677","8,348","7,966","8,963","10,224","8,594","10,005","10,135","9,504","10,205","5,906","4,652","5,237","6,082","9,113","10,168","9,820","12,495","15,236","16,643","13,003","12,728","10,498","10,825","13,342"
Current Debt,303,704,601,600,606,200,150,129,127,128,864,"1,064",115,120,121,121,122,871,183,199,238,"1,110",323,402,494,886,587,636,723,734,"1,044","1,162","1,264","1,295","1,022","1,006","1,109","1,258","1,193","1,334"
Other Current Liabilities,"2,889","2,605","2,567","2,921","2,614","2,424","2,400","2,481","1,960","1,667","1,845","1,792","1,856","1,742","2,106","2,332","2,601","1,915","2,195","2,059","1,892","1,798","2,090","2,224","2,461","1,940","2,061","2,249","2,478","2,460","3,002","3,331","3,092","3,254","4,304","3,228","3,624","3,609","2,930","2,916"
Total Current Liabilities,"13,123","12,926","12,523","13,460","9,980","8,634","9,865","8,289","6,994","6,775","8,652","8,224","8,328","7,899","7,683","9,130","11,071","10,752","11,341","12,482","10,724","12,913","12,548","12,130","13,160","8,732","7,300","8,122","9,283","12,307","14,214","14,313","16,851","19,785","21,969","17,237","17,461","15,365","14,948","17,592"
