,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Long-Term Debt,438.07,432.49,385.19,404.54,371.07,"1,349","1,577","1,339","1,387","1,766","1,874","1,841","1,848","2,268","2,270","2,248","2,244","2,210","2,148","2,090","2,077","2,080","1,918","1,914","3,303","3,301","2,388","2,389","2,373","2,375","2,372","2,696","2,641","2,591","2,599","2,602","2,618","2,650","2,621","2,647"
Other Long-Term Liabilities,301.43,304.35,290.06,333.9,332.09,331.73,362.44,328.09,333.08,315.08,314.03,318.66,329.88,335.24,261.45,221.82,228.17,219.45,216.4,189,323,346,360,353,344,353,379,372,349,357,351,208,240,243,255,241,238,234,239,0
Total Long-Term Liabilities,739.5,736.84,675.25,738.44,703.16,"1,680","1,940","1,667","1,720","2,081","2,188","2,160","2,178","2,603","2,531","2,470","2,473","2,430","2,365","2,279","2,400","2,426","2,278","2,267","3,647","3,654","2,767","2,761","2,722","2,732","2,723","2,904","2,881","2,834","2,854","2,843","2,856","2,884","2,860","2,647"
Total Liabilities,"1,906","1,863","1,825","2,017","2,001","2,727","3,361","3,455","3,601","3,722","3,724","3,789","3,866","4,014","3,924","3,977","3,977","3,854","3,832","3,780","3,862","3,878","3,850","3,945","5,147","5,042","4,208","4,202","4,253","4,321","4,273","4,432","4,623","4,584","4,639","4,853","4,780","4,804","4,758","4,478"
Total Debt,574.7,567.45,457.19,484.84,628.02,"1,405","1,812","1,939","2,092","2,271","2,278","2,247","2,289","2,426","2,323","2,342","2,412","2,295","2,235","2,220","2,211","2,212","2,188","2,215","3,341","3,337","2,400","2,397","2,380","2,375","2,372","2,762","2,708","2,676","2,682","2,705","2,720","2,757","2,728","2,718"
Debt Growth,4.51%,3.56%,-16.67%,-10.68%,9.28%,147.67%,296.38%,299.92%,233.16%,61.61%,25.72%,15.89%,9.42%,6.82%,1.97%,4.24%,5.37%,-5.42%,-3.80%,-5.22%,-8.35%,-3.61%,-2.09%,-0.23%,51.11%,50.86%,9.69%,8.22%,-28.76%,-28.83%,-1.17%,15.23%,13.78%,12.67%,13.07%,-2.06%,0.44%,3.03%,1.72%,0.48%
Common Stock,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,54.83,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,0
Retained Earnings,"5,975","6,106","6,262","6,336","6,473","6,615","6,730","6,802","6,916","7,014","7,126","7,114","7,216","7,239","7,327","7,405","7,564","7,725","7,752","7,869","8,045","8,226","8,380","8,405","8,500","8,536","8,694","8,779","8,948","9,089","9,301","9,500","9,782","10,066","10,402","10,700","11,101","11,477","11,859",0
Comprehensive Income,7.72,38.69,-24.82,-96.67,-172.73,-162.72,-217.86,-221.09,-176.01,-192.31,-208.13,-272.29,-249.93,-203.6,-134.03,-134.67,-122.35,-167.11,-164.86,-171,-168,-156,-174,-154,-217,-151,-134,-61,-81,-74,-94,-96,-109,-165,-225,-180,-176,-184,-219,0
Shareholders' Equity,"3,329","3,448","3,476","3,284","3,210","3,099","2,446","2,353","2,364","2,243","2,161","1,906","1,917","1,848","1,901","1,828","1,926","2,050","2,100","2,093","2,152","2,114","1,871","2,060","1,810","2,152","2,375","2,093","1,816","1,868","1,827","2,160","2,081","2,201","2,308","2,735","3,045","3,227","3,382","8,147"
Total Liabilities and Equity,"5,234","5,311","5,301","5,301","5,211","5,827","5,807","5,808","5,965","5,965","5,886","5,694","5,783","5,862","5,825","5,804","5,903","5,905","5,932","5,873","6,014","5,992","5,922","6,005","7,177","7,194","6,583","6,295","6,333","6,462","6,390","6,592","6,993","7,049","7,201","7,588","7,825","8,031","8,140","8,147"
Net Cash / Debt,-199.14,-235.75,-142.45,-258.19,-384.59,-585.63,"-1,554.06","-1,698.7","-1,812.42","-1,955.29","-1,992.32","-1,972.91","-2,050.54","-2,151.11","-2,038.61","-2,015.47","-2,110.31","-1,982.29","-1,717.95","-1,682","-1,819","-1,897","-1,902","-1,855","-1,849","-1,734","-1,541","-1,812","-1,818","-1,828","-2,044","-2,521","-2,344","-2,414","-2,367","-2,380","-2,259","-2,242","-2,127","-2,058"
Net Cash Per Share,-2.86,-3.40,-2.06,-3.76,-5.66,-8.70,-23.80,-27.16,-29.19,-31.90,-32.98,-33.12,-34.64,-36.91,-35.44,-35.39,-37.41,-35.05,-30.24,-29.83,-32.54,-34.24,-34.96,-34.29,-34.37,-32.29,-28.59,-33.81,-34.56,-34.82,-39.23,-48.76,-45.60,-47.06,-46.32,-46.94,-44.73,-44.57,-42.46,-41.41
Working Capital,"1,830","1,914","1,870","1,707","1,649","2,477","1,683","1,210","1,259","1,583","1,593","1,391","1,408","1,776","1,783","1,699","1,803","1,949","2,116","2,056","2,046","2,004","1,824","1,877","3,414","3,530","2,832","2,478","2,403","2,468","2,455","2,483","2,697","2,763","2,901","2,967","3,266","3,423","3,514","3,443"
Book Value Per Share,48.45,50.37,50.90,48.37,47.75,46.50,37.79,37.89,38.34,36.83,36.01,32.21,32.64,31.86,33.17,32.25,34.35,36.54,37.27,37.34,38.71,38.37,34.58,38.29,33.77,40.22,44.31,39.27,34.72,35.79,35.27,42.02,40.72,43.16,45.43,54.27,60.66,64.41,67.78,164.59
