,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"7,276","7,514","6,412","7,233","7,495","8,650","7,887","7,983","10,923","10,596","8,217","12,796","10,430","16,142","14,582","16,269","11,981","18,243","18,368","10,263","10,866","12,407","13,745","12,363","10,985","21,569","22,327","17,550","16,921","19,955","19,832","21,085","21,375","25,482","24,612","38,845","23,365","41,913","41,813","38,915"
Short-Term Investments,"4,694","4,649","4,668","4,834","4,703","4,701","4,778","4,890","4,986","5,296","5,612","5,823","5,950","6,096","6,365","6,607","6,610","6,720","6,334","6,522","6,490","6,254","6,467","6,506","6,336","5,742","6,683","7,047","6,936","7,056","6,927","7,090","6,981","7,069","7,369","7,704","8,633","8,421","8,089","8,798"
Cash & Cash Equivalents,"11,970","12,163","11,080","12,067","12,198","13,351","12,665","12,873","15,909","15,892","13,829","18,619","16,380","22,238","20,947","22,876","18,591","24,963","24,702","16,785","17,356","18,661","20,212","18,869","17,321","27,311","29,010","24,597","23,857","27,011","26,759","28,175","28,356","32,551","31,981","46,549","31,998","50,334","49,902","47,713"
Cash Growth,-15.76%,-22.61%,-12.82%,-10.04%,1.90%,9.77%,14.31%,6.68%,30.42%,19.03%,9.19%,44.64%,2.96%,39.93%,51.47%,22.86%,13.50%,12.25%,17.93%,-26.63%,-6.64%,-25.25%,-18.18%,12.42%,-0.20%,46.35%,43.53%,30.36%,37.73%,-1.10%,-7.76%,14.55%,18.86%,20.51%,19.51%,65.21%,12.84%,54.63%,56.04%,2.50%
Receivables,"7,050","7,826","9,424","9,015","9,750","10,386","12,194","14,419","13,324","14,642","16,701","14,849","15,651","16,204","17,770","15,464","15,830","18,290","17,646","18,262","18,250","20,457","18,175","21,116","21,462","24,888","23,976","25,402","25,404","27,526","27,217","28,232","28,082","30,865","31,157","30,731","30,450","37,110","34,083","38,425"
Other Current Assets,"1,360","2,375","2,347","1,881","1,608","3,037","2,707","2,643","2,406","3,211","2,768","2,300","1,848","2,547","2,522","2,581","2,663","5,100","4,286","3,707","3,086","3,697","3,651","3,556","3,851","6,608","5,932","4,822","4,457","4,971","4,940","5,203","5,320","5,613","5,218","5,657","6,621","6,451","5,884","5,767"
Total Current Assets,"20,380","22,364","22,851","22,963","23,556","26,774","27,566","29,935","31,639","33,745","33,298","35,768","33,879","40,989","41,239","40,921","37,084","48,353","46,634","38,754","38,692","42,815","42,038","43,541","42,634","58,807","58,918","54,821","53,718","59,508","58,916","61,610","61,758","69,029","68,356","82,937","69,069","93,895","89,869","91,905"
"Property, Plant & Equipment","4,010","4,065","4,267","4,309","4,418","4,245","4,473","4,532","4,861","4,976","5,189","5,524","5,901","6,329","6,324","6,562","7,013","8,144","7,906","8,042","8,458","8,230","8,681","8,501","8,704","8,173","8,126","8,151","8,626","8,496","8,735","8,730","8,969","9,183","9,421","9,469","10,128","10,637","10,926","11,070"
Long-Term Investments,"19,605","19,377","19,274","19,346","18,827","19,416","18,996","18,535","18,792","20,895","22,211","23,324","23,868","25,760","26,397","27,703","28,341","29,441","31,237","31,929","32,510","33,553","35,696","36,840","37,209","36,578","36,778","39,184","41,242","42,406","44,061","44,777","43,114","42,353","42,427","41,557","43,728","46,884","45,988","45,474"
Goodwill and Intangibles,"35,448","36,017","36,253","35,936","36,609","36,223","37,470","52,085","52,844","55,155","55,759","55,902","56,125","60,994","60,836","61,859","63,045","65,883","64,951","68,201","68,235","68,624","71,999","75,726","76,008","75,501","78,424","78,461","82,193","83,004","86,633","85,871","85,839","87,466","95,444","94,689","107,753","116,571","117,312","116,903"
