,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,332","2,391","2,897","7,808","5,418","5,138","4,312","4,394","3,176","3,751","3,180","2,233","1,494","2,218","1,806","1,672","1,606","1,362","2,954","3,033","1,752","1,751","5,294","3,517","2,263","1,135","1,947","2,178","2,453","4,749","2,279","2,764","1,909","1,362","1,233",984,"1,165",486,611,"1,426"
Cash & Cash Equivalents,"2,332","2,391","2,897","7,808","5,418","5,138","4,312","4,394","3,176","3,751","3,180","2,233","1,494","2,218","1,806","1,672","1,606","1,362","2,954","3,033","1,752","1,751","5,294","3,517","2,263","1,135","1,947","2,178","2,453","4,749","2,279","2,764","1,909","1,362","1,233",984,"1,165",486,611,"1,426"
Cash Growth,8.97%,-22.09%,-23.18%,130.12%,132.33%,114.89%,48.84%,-43.72%,-41.38%,-26.99%,-26.25%,-49.18%,-52.96%,-40.87%,-43.21%,-25.12%,7.50%,-38.59%,63.57%,81.40%,9.09%,28.56%,79.21%,15.96%,29.17%,-35.18%,-63.22%,-38.07%,8.40%,318.41%,17.05%,26.91%,-22.18%,-71.32%,-45.90%,-64.40%,-38.97%,-64.32%,-50.45%,44.92%
Receivables,"6,054","6,652","5,954","5,297","4,149","5,094","4,607","3,904","3,755","4,138","4,601","4,932","5,102","4,782","4,556","5,212","6,245","6,615","7,122","5,698","6,111","6,045","7,009","6,760","3,676","3,513","3,081","3,159","4,135","4,426","4,622","5,439","6,665","7,541","5,189","4,281","4,548","3,996","4,791","3,195"
Inventory,"1,308","1,323","1,359","1,052","1,133","1,120","1,122",986,997,906,927,866,"1,005",920,"1,007","1,246","1,057","1,347","1,009","1,260","1,484","1,582","1,601","1,581","1,436","1,477","1,660","1,898","2,173","1,837","1,773","1,846","1,406","1,564","1,937","2,059","2,311","2,021","1,975","2,022"
Other Current Assets,"1,205",420,297,-284,-266,-344,499,118,309,177,3,397,637,155,-324,140,-14,"1,666",27,-59,-77,47,"7,040","2,775","6,734","2,312","4,006","1,584","1,313","1,832","1,225",162,78,-59,390,"1,562",118,951,889,"1,732"
Total Current Assets,"10,899","10,786","10,507","13,873","10,434","11,008","10,540","9,402","8,237","8,972","8,711","8,428","8,238","8,075","7,045","8,270","8,894","10,990","11,112","9,932","9,270","9,425","20,944","14,633","14,109","8,437","10,694","8,819","10,074","12,844","9,899","10,211","10,058","10,408","8,749","8,886","8,142","7,454","8,266","8,375"
"Property, Plant & Equipment","56,044","57,134","58,465","39,730","40,109","40,478","36,835","31,639","31,505","31,038","30,419","32,337","32,005","31,466","32,065","31,174","31,344","30,432","31,155","31,437","32,584","32,796","91,199","83,641","80,266","73,733","69,617","66,951","65,022","62,706","61,448","60,656","59,918","59,294","59,096","59,287","59,021","59,168","59,124","59,659"
Long-Term Investments,"1,511","1,547","1,544","1,565","1,765","1,762","1,614","1,434","1,301","1,360","1,420","1,401","1,436","1,572","1,526","1,515","1,509","1,551","1,568","1,680","1,725","1,777","3,684","6,389","6,050","6,128","3,125","3,250","3,170","3,249","3,266","2,938","3,015","3,328","3,156","3,176","3,161","3,431","3,320","3,224"
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Assets,821,826,994,"1,091","1,081","1,121","1,100",934,975,"1,025","1,080",943,786,869,807,"1,067","1,061","1,094","1,122",805,801,772,"1,155","2,527","1,218","1,154",998,"1,044","1,089","1,138","1,145","1,231","1,231","1,191","1,143","1,260","1,276","1,146","1,117","2,750"
Total Long-Term Assets,"58,376","59,507","61,003","42,386","42,955","43,361","39,549","34,007","33,781","33,423","32,919","34,681","34,227","33,907","34,398","33,756","33,914","33,077","33,845","33,922","35,110","35,345","104,499","92,557","87,534","81,015","73,740","71,245","69,281","67,093","65,859","64,825","64,164","63,813","63,395","63,723","63,458","63,745","63,561","65,633"
Total Assets,"69,275","70,293","71,510","56,259","53,389","54,369","50,089","43,409","42,018","42,395","41,630","43,109","42,465","41,982","41,443","42,026","42,808","44,067","44,957","43,854","44,380","44,770","125,443","107,190","101,643","89,452","84,434","80,064","79,355","79,937","75,758","75,036","74,222","74,221","72,144","72,609","71,600","71,199","71,827","74,008"
