,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"2,470","1,054","1,037","1,088","1,366","1,695","1,151","1,434","1,693","1,146","1,161","1,421","1,869","1,288","1,362","1,631","1,904",784.6,"1,099","1,406","1,375",997.4,937.7,"1,210","1,551",851.7,"1,405","1,332","1,633",936.4,"1,081","1,459","2,835","2,046","1,880","2,130","2,720","1,565","1,880","2,300"
Short-Term Investments,"21,424","21,731","20,163","32,458","40,642","45,253","42,244","49,394","35,626","37,577","36,218","31,690","37,627","44,508","47,489","47,030","44,275","39,179","36,966","37,927","39,528","33,703","32,571","41,241","37,160","100,449","79,530","88,176","86,883","123,519","141,411","149,302","158,065","167,846","138,526","140,066","135,345","128,196","113,348","87,296"
Cash & Cash Equivalents,"23,893","22,784","21,200","33,546","42,008","46,948","43,395","50,828","37,318","38,723","37,380","33,111","39,495","45,796","48,852","48,661","46,179","39,964","38,065","39,333","40,903","34,700","33,509","42,452","38,712","101,301","80,935","89,508","88,516","124,456","142,492","150,761","160,900","169,892","140,405","142,196","138,065","129,761","115,228","89,596"
Cash Growth,189.75%,92.83%,30.02%,83.08%,75.81%,106.05%,104.69%,51.52%,-11.16%,-17.52%,-13.86%,-34.86%,5.83%,18.27%,30.69%,46.96%,16.92%,-12.74%,-22.08%,-19.17%,-11.43%,-13.17%,-11.97%,7.93%,-5.36%,191.93%,141.53%,110.85%,128.65%,22.86%,76.06%,68.43%,81.77%,36.51%,-1.46%,-5.68%,-14.19%,-23.62%,-17.93%,-36.99%
Receivables,302.7,344.6,334.9,344.8,341.2,383.4,399.9,363.8,357.8,389.3,427,395.7,364.4,426.6,416.4,390.3,359.7,444.1,433.9,386.3,553.3,559.5,593.7,545.7,491.8,799.7,532.1,490.9,461.3,547,509.6,470.4,434.5,608.9,582.3,580.2,483.2,723.6,599.4,558.4
Other Current Assets,209.7,180.7,196.2,275.6,196.5,154.8,260,267.1,228.6,141.5,220.7,269.4,171.7,145.8,228.9,340.8,367.8,646.8,"1,802","1,796",430.5,345.7,359.7,695.1,364.4,315.9,319.2,350.1,306.7,"1,743","1,848",362.7,427.8,503.4,463.7,476.4,529.8,547.2,538.3,622
Total Current Assets,"24,406","23,310","21,731","34,166","42,545","47,486","44,055","51,459","37,905","39,253","38,027","33,776","40,032","46,369","49,497","49,393","46,907","41,055","40,301","41,515","41,887","35,605","34,462","43,692","39,568","102,417","81,786","90,349","89,284","126,746","144,849","151,594","161,762","171,004","141,451","143,253","139,078","131,032","116,366","90,777"
"Property, Plant & Equipment",513.4,508.4,503.4,498.7,508.9,503.3,499.2,496.1,491.7,449.8,437.9,426.7,425.2,411.6,399.5,388.9,399.7,387.2,380,362.7,448.7,467.7,500.4,517.3,544,538.4,538.6,547.2,579.2,528.6,527.6,521.3,505.3,493.9,481.6,465.5,455.5,440.3,430.1,417.3
Goodwill and Intangibles,"27,486","27,460","27,435","27,407","27,382","27,357","27,332","27,307","27,282","27,258","27,234","27,210","27,186","27,162","27,138","27,114","27,091","27,067","27,043","27,013","33,481","33,406","33,279","33,111","33,036","32,916","32,850","32,825","32,839","31,426","31,378","31,297","31,235","31,154","31,042","30,925","30,928","30,883","30,826","30,748"
Other Long-Term Assets,"1,873","1,889","1,942","1,899","1,806","1,782","1,777","1,688","1,681","1,807","1,926","1,838","1,727","1,534","1,509","1,427","1,394","1,410","1,476","1,474","1,660","2,135","2,107","2,097","2,068","2,062","2,041","2,037","1,957","1,952","1,945","3,362","3,278","3,265","3,697","3,788","3,714","3,684","3,674","3,656"
