,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,"13,659","7,310","17,242","14,912","-6,798","18,045","19,401","11,047","21,952","14,845"
Depreciation & Amortization,"3,303","3,589","3,506","3,720","3,659","3,754","3,905","3,937","3,964","4,262"
Other Operating Activities,"46,282","35,444","18,989","35,101","-5,635","15,153","-36,143","-38,472","21,174","5,962"
Operating Cash Flow,"63,244","46,343","39,737","53,733","-8,774","36,952","-12,837","-23,488","47,090","25,069"
Operating Cash Flow Growth,-,-26.72%,-14.25%,35.22%,-,-,-,-,-,-46.76%
Capital Expenditures,"-2,774","-2,763","-2,621","-2,089","-2,984","-3,562","-5,077","-3,396","-3,929","-5,569"
Acquisitions,0,0,0,0,0,0,0,0,0,"5,741"
Change in Investments,"-88,564","32,254","30,501","-52,453","-39,365","-70,051","-18,493","-89,842","-105,266","-78,836"
Other Investing Activities,-,-909,"-12,997",407,"3,598",495,196,793,"-1,551",-791
Investing Cash Flow,"-91,338","28,582","14,883","-54,135","-38,751","-73,118","-23,374","-92,445","-110,746","-79,455"
Dividends Paid,-314,-633,"-1,253","-2,287","-3,797","-5,020","-5,447","-5,352","-5,198","-5,003"
Share Issuance / Repurchase,-837,"-1,232","-5,452","-9,290","-14,541","-14,433","-17,571","-2,925","-7,601","-3,250"
Debt Issued / Paid,"-17,114","-23,260","-72,422","13,293","55,181","11,908","9,379","30,707","-14,073","77,945"
Other Financing Activities,"41,359","-45,145","14,354","26,576","30,011","52,073","56,572","211,165","44,144","68,071"
Financing Cash Flow,"23,094","-70,270","-64,773","28,292","66,854","44,528","42,933","233,595","17,272","137,763"
Exchange Rate Effect,"-1,558","-2,432","-1,055",-493,693,-773,-908,"-1,966","-1,198","-3,385"
Net Cash Flow,"-6,568","2,223","-11,208","27,397","20,022","7,589","5,814","115,696","-47,582","79,992"
Free Cash Flow,"60,470","43,580","37,116","51,644","-11,758","33,390","-17,914","-26,884","43,161","19,500"
Free Cash Flow Growth,-,-27.93%,-14.83%,39.14%,-,-,-,-,-,-54.82%
Free Cash Flow Margin,78.81%,56.44%,48.61%,72.95%,-16.23%,45.83%,-23.86%,-35.61%,60.04%,25.88%
Free Cash Flow Per Share,19.92,14.38,12.36,17.88,-4.36,13.39,-7.96,-12.89,21.23,10.02
