,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,907","5,776","7,218","10,598","4,386","3,008","3,875","4,470","5,846","2,857","6,441","2,880","4,307","4,583","4,487","2,079","1,923","1,750","2,538","2,745","2,322","1,949","3,020","2,594","7,047","7,882","8,983","22,171","10,205","4,657","9,936","2,921","1,661","1,857","2,082","2,605","2,234","4,803","4,210","2,065"
Short-Term Investments,637,648,635,555,547,309,306,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"3,544","6,424","7,853","11,153","4,933","3,317","4,181","4,820","5,846","2,857","6,441","2,880","4,307","4,583","4,487","2,079","1,923","1,750","2,538","2,745","2,322","1,949","3,020","2,594","7,047","7,882","8,983","22,171","10,205","4,657","9,936","2,921","1,661","1,857","2,082","2,605","2,234","4,803","4,210","2,065"
Cash Growth,-42.23%,167.00%,-86.30%,-79.40%,39.19%,-48.37%,-46.76%,-56.78%,18.51%,-13.87%,54.05%,-40.25%,-26.33%,60.41%,-30.34%,-27.81%,-55.35%,-61.82%,-43.44%,32.03%,20.75%,11.37%,18.99%,-5.50%,203.49%,304.41%,197.45%,754.70%,44.81%,-40.92%,10.61%,-86.83%,-83.72%,-60.12%,-79.05%,-10.82%,34.50%,158.64%,102.21%,-20.73%
Receivables,"12,131","12,966","13,283","13,993","12,698","13,444","13,105","13,457","12,485","13,294","14,832","17,513","16,863","19,771","21,549","23,493","22,595","23,099","24,012","25,102","24,469","24,926","24,713","25,429","23,797","22,672","22,617","23,917","22,507","21,257","22,195","23,846","23,615","23,909","23,670","24,506","22,856","23,186","23,602","25,085"
Inventory,881,"1,073","1,206","1,153","1,076","1,149","1,319","1,252","1,142",931,"1,318","1,202","1,194","1,116","1,276","1,034","1,285","1,102","1,270","1,336","1,417","1,167","1,538","1,422","1,633","1,289","1,457","1,796","1,303","1,421","2,303","3,055","3,659","3,646","3,133","2,388","2,381","1,896","2,240","2,057"
Other Current Assets,"6,716","2,424","2,431","3,200","4,129","3,592","3,163","2,826","4,142","3,762","3,030","4,800","4,794","3,353","3,555","3,307","5,222","4,925","5,334","5,453","5,189","5,266","5,624","8,028","8,228","5,490","5,515","6,710","5,632","8,291","5,843","6,906","6,645","8,087","10,861","8,358","8,251","7,503","8,067","7,607"
Total Current Assets,"23,272","22,887","24,773","29,499","22,836","21,502","21,768","22,355","23,615","20,844","25,621","26,395","27,158","28,823","30,867","29,913","31,025","30,876","33,154","34,636","33,397","33,308","34,895","37,473","40,705","37,333","38,572","54,594","39,647","35,626","40,277","36,728","35,580","37,499","39,746","37,857","35,722","37,388","38,119","36,814"
"Property, Plant & Equipment","89,056","89,712","89,932","89,947","81,642","82,532","82,562","83,541","83,011","83,172","83,414","84,751","85,213","86,521","86,622","88,568","87,922","87,781","87,464","89,286","110,954","110,285","111,067","114,609","114,649","115,185","115,862","117,364","117,191","122,382","123,725","127,579","127,337","128,408","129,592","133,564","132,934","132,615","132,576","133,036"
Long-Term Investments,889,852,818,802,762,794,779,796,821,822,"1,119","1,110","1,080","1,075","1,054","1,039",994,787,732,671,674,650,628,558,543,529,535,589,555,560,"1,100","1,061","1,074","1,113","1,083","1,071","1,052","1,015",929,953
