,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-03-29,2015-06-28,2015-09-27,2015-12-31,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04,2021-10-03,2021-12-31,2022-04-03,2022-07-03,2022-10-02,2022-12-31,2023-04-02,2023-07-02,2023-10-01
Other Current Liabilities,"14,105","12,925","13,387","11,558","13,236","10,943","12,819","14,733","15,620","14,064","15,114","17,650","15,891","13,791","14,229","15,289","15,818","14,476","16,377","17,331","18,353","15,857","17,521","16,415","17,222","13,911","15,767","16,650","17,821","16,184","23,158","29,947","31,785","30,009","31,408","27,816","29,864","24,501","23,295","21,046"
Total Current Liabilities,"23,366","24,790","21,938","19,920","21,587","20,222","24,143","27,845","29,399","28,735","32,099","34,759","31,115","24,864","27,182","28,217","30,427","27,365","32,156","29,013","31,858","29,423","32,030","36,974","37,304","33,890","32,723","34,154","25,920","26,652","35,664","41,803","42,671","39,268","47,410","44,314","42,138","36,562","34,647","31,136"
Long-Term Debt,"30,462","27,649","32,267","31,666","31,541","29,370","26,729","29,079","28,740","27,824","30,457","30,437","31,398","36,330","34,191","34,503","33,538","31,831","28,935","33,652","32,909","35,733","36,168","36,044","35,955","36,281","50,529","49,785","37,133","35,347","35,354","36,250","36,195","35,656","34,294","32,629","32,884","31,704","61,356","61,048"
Other Long-Term Liabilities,"41,653","41,301","41,451","41,471","42,816","43,461","42,826","46,819","44,245","43,023","45,036","49,633","49,263","48,844","48,490","48,321","36,176","34,875","33,765","33,509","30,897","31,107","28,076","32,033","30,889","30,827","30,118","29,548","27,703","27,954","28,587","25,168","25,147","26,231","26,117","25,516","26,266","26,115","24,872","25,633"
Total Long-Term Liabilities,"72,115","68,950","73,718","73,137","74,357","72,831","69,555","75,898","72,985","70,847","75,493","80,070","80,661","85,174","82,681","82,824","69,714","66,706","62,700","67,161","63,806","66,840","64,244","68,077","66,844","67,108","80,647","79,333","64,836","63,301","63,941","61,418","61,342","61,887","60,411","58,145","59,150","57,819","86,228","86,681"
Total Liabilities,"95,481","93,740","95,656","93,057","95,944","93,053","93,698","103,743","102,384","99,582","107,592","114,829","111,776","110,038","109,863","111,041","100,141","94,071","94,856","96,174","95,664","96,263","96,274","105,051","104,148","100,998","113,370","113,487","90,756","89,953","99,605","103,221","104,013","101,155","107,821","102,459","101,288","94,381","120,875","117,817"
Total Debt,"36,489","36,968","37,828","37,055","36,682","35,925","35,123","38,897","38,899","39,370","44,181","44,070","42,086","44,010","43,705","43,951","43,491","40,841","40,518","41,037","41,740","45,143","46,675","52,661","52,150","52,288","63,613","63,148","39,836","39,699","39,242","39,879","38,436","36,301","40,284","36,669","35,829","35,892","65,341","63,596"
Debt Growth,-2.59%,-8.44%,2.94%,1.38%,0.53%,-2.82%,-7.15%,4.97%,6.04%,9.59%,25.79%,13.30%,8.19%,11.79%,-1.08%,-0.27%,3.34%,-7.20%,-7.29%,-6.63%,-4.03%,10.53%,15.20%,28.33%,24.94%,15.83%,36.29%,19.91%,-23.61%,-24.08%,-38.31%,-36.85%,-3.51%,-8.56%,2.66%,-8.05%,-6.78%,-1.13%,62.20%,73.43%
Common Stock,"9,846","9,131","8,158","7,163","6,441","1,390","1,795","1,989","2,249","-2,383","-1,690","-1,326","-1,194","-5,818","-5,558","-5,109","-4,662","-10,375","-10,079","-10,259","-14,872","-23,659","-23,337","-23,209","-22,887","-22,843","-22,621","-22,349","-21,844","-21,874","-21,546","-20,912","-20,296","-22,612","-22,281","-22,111","-21,691","-21,843","-21,675","-21,511"
Retained Earnings,"69,732","72,028","71,627","74,292","72,176","74,471","73,620","74,019","71,993","74,971","73,350","72,846","71,774","74,847","74,107","75,043","85,291","89,961","89,860","91,995","89,554","93,388","94,440","100,113","97,670","101,000","100,203","100,284","90,392","95,158","96,346","102,252","103,394","111,193","116,608","122,967","125,656","131,102","128,796","126,411"
Comprehensive Income,"-3,271","-3,390","-3,152","-3,467","-7,316","-8,557","-8,521","-9,170","-9,522","-9,520","-8,891","-8,214","-11,036","-10,594","-10,181","-9,164","-9,321","-9,402","-10,003","-10,417","-11,275","-10,923","-11,535","-11,801","-11,640","-13,131","-13,246","-12,676","-5,310","-4,664","-4,758","-5,649","-5,897","-6,157","-7,119","-8,225","-8,304","-8,289","-8,102","-7,966"
Shareholders' Equity,"76,307","77,769","76,633","77,988","71,301","67,304","66,894","66,838","64,720","63,068","62,769","63,306","59,544","58,435","58,368","60,770","71,308","70,184","69,778","71,319","63,407","58,806","59,568","65,103","63,143","65,026","64,336","65,259","63,238","68,620","70,042","75,691","77,201","82,424","87,208","92,631","95,661","100,970","99,019","96,934"
Net Cash / Debt,"-4,081","-3,087","-3,774","-3,609",-560,"-8,217","-4,867","-18,239","-15,609","-19,927","-23,239","-29,699","-24,236","-29,450","-29,372","-27,026","-23,499","-29,420","-27,087","-23,798","-22,907","-33,524","-33,763","-43,574","-42,504","-41,938","-40,819","-41,236","-27,613","-26,032","-17,542","-10,183","-7,367","-12,404","-6,980",-546,"-13,097","-15,920","-20,556","-19,415"
Net Cash Per Share,-0.62,-0.48,-0.59,-0.56,-0.09,-1.31,-0.78,-2.92,-2.50,-3.20,-3.78,-4.83,-3.97,-4.83,-4.87,-4.47,-3.88,-4.86,-4.55,-3.98,-3.87,-5.83,-5.95,-7.71,-7.55,-7.47,-7.26,-7.32,-4.88,-4.60,-3.09,-1.78,-1.28,-2.15,-1.22,-0.10,-2.28,-2.78,-3.60,-3.44
Working Capital,"32,878","33,003","36,349","37,067","34,008","29,221","27,572","17,156","14,405","12,563","11,746","3,742","7,834","11,014","9,203","12,074","10,714","7,470","5,147","12,570","18,068","15,867","15,043","-3,515","-4,501",848,"13,701","13,585","9,147","12,881","13,150","16,097","17,022","15,152","20,056","26,089","9,121","13,516","38,700","42,876"
Book Value Per Share,11.85,12.17,12.03,12.32,11.33,10.85,10.86,10.84,10.48,10.26,10.34,10.44,9.81,9.73,9.80,10.21,11.96,11.78,11.89,12.14,10.95,10.44,10.71,11.74,11.41,11.73,11.58,11.74,11.37,12.29,12.51,13.49,13.75,14.67,15.59,16.52,17.04,17.92,17.54,17.17
