,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"5,400","5,326","4,956","3,108","5,207","5,390","5,089","4,822","3,074","1,723","2,232","2,337","2,711","1,513","2,161","1,547","3,119",842,"1,884",924,"3,019","1,253","1,819","2,268","1,614","1,221","1,890","1,462","2,514","1,351","2,207","2,897","3,147","3,335","2,809","3,744","6,133","6,965","3,029","3,539"
Cash & Cash Equivalents,"5,400","5,326","4,956","3,108","5,207","5,390","5,089","4,822","3,074","1,723","2,232","2,337","2,711","1,513","2,161","1,547","3,119",842,"1,884",924,"3,019","1,253","1,819","2,268","1,614","1,221","1,890","1,462","2,514","1,351","2,207","2,897","3,147","3,335","2,809","3,744","6,133","6,965","3,029","3,539"
Cash Growth,55.44%,12.06%,17.44%,-47.69%,-3.57%,1.20%,2.68%,55.15%,-40.96%,-68.03%,-56.14%,-51.53%,-11.81%,-12.19%,-3.18%,-33.80%,15.05%,-44.35%,-12.82%,-40.27%,-3.21%,48.81%,-3.45%,145.45%,-46.54%,-2.55%,3.90%,-35.54%,55.76%,10.65%,16.77%,98.15%,25.18%,146.85%,27.28%,29.24%,94.88%,108.85%,7.83%,-5.48%
Receivables,"9,632","9,120","10,110","8,766","7,255","5,737","6,567","5,198","5,173","4,737","5,597","5,001","6,397","5,690","5,594","6,355","7,506","6,124","7,173","7,971","6,173","7,303","6,727","7,086","8,510","4,559","4,852","5,963","6,522","8,165","8,062","8,006","7,470","10,455","13,393","13,652","10,985","9,326","9,458","11,976"
Inventory,"3,354","5,908","4,928","5,673","3,397","4,166","4,126","4,388","3,477","4,108","3,993","3,905","3,150","4,387","4,245","4,455","3,395","4,743","4,901","5,544","3,543","5,344","5,093","5,521","3,776","5,331","5,136","4,897","3,893","4,273","4,752","4,400","3,394","4,530","4,580","4,294","3,276","5,445","6,380","5,732"
Other Current Assets,851,705,611,647,833,851,752,641,532,648,821,721,422,580,456,578,370,416,621,875,474,915,656,742,495,594,621,500,347,629,759,716,686,"1,534","1,710","1,580","1,528",934,"1,031","1,249"
Total Current Assets,"19,237","21,059","20,605","18,194","16,692","16,144","16,534","15,049","12,256","11,216","12,643","11,964","12,680","12,170","12,456","12,935","14,390","12,125","14,579","15,314","13,209","14,815","14,295","15,617","14,395","11,705","12,499","12,822","13,276","14,418","15,780","16,019","14,697","19,854","22,492","23,270","21,922","22,670","19,898","22,496"
"Property, Plant & Equipment","15,398","15,751","16,092","16,951","17,346","17,918","18,765","19,257","19,721","20,075","20,247","20,447","20,855","21,240","21,293","21,303","21,460","21,500","21,465","21,625","22,018","22,263","22,503","22,954","23,786","24,051","24,282","23,489","23,716","23,677","23,688","22,377","22,435","22,333","22,229","34,962","35,163","35,111","35,232","35,533"
Long-Term Investments,"11,220","10,001","10,038","10,237","10,189","10,529","10,070","10,601","12,143","12,449","12,936","13,277","13,534","13,359","13,507","13,899","13,941","13,934","14,177","14,311","14,421","14,786","15,006","14,147","14,571","13,635","13,628","13,767","13,624","13,376","13,520","14,059","14,471","14,465","14,176","14,772","14,950","15,289","15,532","15,316"
Goodwill and Intangibles,"3,794","3,878","3,875","4,094","4,174","4,156","4,155","4,154","4,181","4,176","4,171","4,159","4,158","4,165","4,159","4,154","4,146","4,141","4,136","4,144","4,139","4,134","4,141","4,142","4,139","2,305","2,299","2,274","2,268","2,261","2,250","2,247","2,297","2,303","2,298","2,331","2,317","2,279","2,272","2,481"
