,2014-02-28,2014-05-30,2014-08-29,2014-11-28,2015-02-27,2015-05-29,2015-08-28,2015-11-27,2016-03-04,2016-06-03,2016-09-02,2016-12-02,2017-03-03,2017-06-02,2017-09-01,2017-12-01,2018-03-02,2018-06-01,2018-08-31,2018-11-30,2019-03-01,2019-05-31,2019-08-30,2019-11-29,2020-02-28,2020-05-29,2020-08-28,2020-11-27,2021-03-05,2021-06-04,2021-09-03,2021-12-03,2022-03-04,2022-06-03,2022-09-02,2022-12-02,2023-03-03,2023-06-02,2023-09-01,2023-12-01
Total Current Liabilities,"2,112","2,218","2,245","2,494","1,788","1,937","2,061","2,214","2,232","2,386","2,506","2,812","2,954","3,048","3,216","3,527","3,536","3,729","3,792","4,301","5,314","7,687","7,803","8,191","5,228","5,164","5,130","5,512","5,806","6,145","6,191","6,932","7,197","7,385","7,438","8,128","7,437","8,019","8,334","8,251"
Long-Term Debt,896.42,896.55,901.83,911.09,"1,902","1,904","1,906","1,907","1,917","1,918","1,917","1,892","1,884","1,888","1,889","1,881","1,875","1,874","1,875","4,125","3,237",987.94,988.43,989,"4,627","4,612","4,636","4,616","4,613","4,597","4,588","4,576","4,073","4,069","4,053","4,046","4,045","4,039","4,022","4,007"
Other Long-Term Liabilities,626.23,620.79,615.34,604.4,729.69,713.87,700.16,604.11,666.84,664.19,667.24,568.58,617.95,624.61,631.02,666.81,928.19,854.81,867.01,980.64,"1,083","1,059","1,021","1,052",894,946,935,892,"1,020",988,951,936,931,887,880,940,979,942,958,"1,003"
Total Long-Term Liabilities,"1,523","1,517","1,517","1,515","2,631","2,618","2,606","2,511","2,584","2,583","2,584","2,461","2,502","2,513","2,520","2,548","2,803","2,729","2,742","5,105","4,320","2,047","2,009","2,041","5,521","5,558","5,571","5,508","5,633","5,585","5,539","5,512","5,004","4,956","4,933","4,986","5,024","4,981","4,980","5,010"
Total Liabilities,"3,635","3,735","3,762","4,010","4,419","4,555","4,667","4,725","4,815","4,968","5,089","5,272","5,456","5,561","5,736","6,076","6,339","6,458","6,534","9,407","9,634","9,734","9,812","10,232","10,749","10,722","10,701","11,020","11,439","11,730","11,730","12,444","12,201","12,341","12,371","13,114","12,461","13,000","13,314","13,261"
Total Debt,"1,510","1,506","1,508","1,514","1,902","1,904","1,906","1,907","1,917","1,918","1,917","1,892","1,884","1,888","1,889","1,881","1,875","1,874","1,875","4,125","4,130","4,134","4,137","4,138","4,711","4,697","4,726","4,708","4,707","4,693","4,685","4,673","4,665","4,658","4,641","4,633","4,126","4,113","4,096","4,080"
Debt Growth,-1.42%,-1.27%,-0.76%,0.02%,25.96%,26.43%,26.38%,25.95%,0.80%,0.74%,0.55%,-0.79%,-1.71%,-1.56%,-1.43%,-0.57%,-0.49%,-0.76%,-0.77%,119.24%,120.27%,120.57%,120.68%,0.32%,14.08%,13.63%,14.24%,13.77%,-0.08%,-0.09%,-0.87%,-0.74%,-0.89%,-0.75%,-0.94%,-0.86%,-11.55%,-11.70%,-11.74%,-11.94%
Common Stock,-180.41,-215.86,-139.6,-140.3,-63.97,-139.87,-67.47,-82.77,11.8,-62.46,-302.85,-516.08,-525.26,-702,-803.26,"-1,002.18","-1,086.43","-1,636.25","-2,147.38","-2,305.35","-2,557.39","-3,107.88","-3,539.98","-4,111","-4,736","-5,352","-5,517","-6,189","-6,834","-7,565","-8,205","-8,971","-11,009","-11,842","-12,561","-13,975","-14,922","-15,474","-15,951","-16,543"
Retained Earnings,"6,735","6,806","6,851","6,924","6,757","6,879","7,050","7,253","7,221","7,444","7,715","8,115","8,299","8,653","9,072","9,574","9,830","10,471","11,137","11,816","12,579","13,184","13,977","14,829","15,390","16,428","17,383","19,611","20,521","21,538","22,750","23,905","24,961","26,022","27,158","28,319","29,435","30,609","32,012","33,346"
Comprehensive Income,56.59,46.64,20.07,-8.09,-103.81,-129.47,-140.83,-169.08,-151.68,-133.05,-134.11,-173.6,-185.41,-146.75,-98.63,-111.82,-109.94,-129.23,-128.05,-148.13,-150.43,-144.36,-193.95,-188,-189,-195,-153,-158,-141,-121,-131,-137,-177,-195,-224,-293,-307,-297,-285,-285
Shareholders' Equity,"6,611","6,637","6,731","6,776","6,589","6,610","6,841","7,002","7,081","7,249","7,278","7,425","7,589","7,804","8,170","8,460","8,634","8,706","8,862","9,362","9,871","9,932","10,243","10,530","10,465","10,881","11,713","13,264","13,546","13,852","14,414","14,797","13,775","13,985","14,373","14,051","14,206","14,838","15,776","16,518"
Net Cash / Debt,"1,622","1,824","2,012","2,225","1,275","1,509","1,763","2,081","2,181","2,400","2,530","2,869","2,764","3,043","3,479","3,938","4,273","4,460","3,070",-895.84,-903.33,-654.63,-486.23,39,-540,-346,538,"1,284",256,"1,075","1,479","1,125",36,641,"1,123","1,463","1,527","2,488","3,420","3,762"
Net Cash / Debt Growth,-23.81%,-22.06%,22.37%,34.06%,-21.40%,-17.27%,-12.39%,-6.49%,71.04%,59.06%,43.52%,37.88%,26.71%,26.80%,37.53%,37.27%,54.63%,46.56%,-11.77%,-,-,-,-,-,-,-,-,3192.31%,-,-,174.91%,-12.38%,-85.94%,-40.37%,-24.07%,30.04%,4141.67%,288.14%,204.54%,157.14%
Net Cash Per Share,3.19,3.60,3.96,4.38,2.51,2.98,3.48,4.10,4.31,4.76,5.02,5.72,5.52,6.08,6.95,7.86,8.56,8.95,6.18,-1.81,-1.83,-1.33,-0.99,0.08,-1.11,-0.71,1.11,2.66,0.53,2.23,3.07,2.34,0.08,1.36,2.39,3.15,3.32,5.42,7.45,8.20
Working Capital,"1,830","1,896","2,034","2,108","2,184","2,241","2,465","2,608","2,704","2,853","2,913","3,028","2,801","3,004","3,365","3,720","3,944","4,012","2,509",555.91,-180.02,"-2,344.45","-2,052.87","-1,696","1,227","1,485","2,257","2,634","1,578","1,933","2,428","1,737",279,523,"1,051",868,905,"1,255","2,076","2,833"
Book Value Per Share,13.30,13.33,13.50,13.60,13.21,13.24,13.72,14.05,14.19,14.50,14.60,14.98,15.34,15.79,16.56,17.19,17.55,17.70,18.09,19.11,20.23,20.35,21.08,21.80,21.71,22.62,24.40,27.58,28.28,28.98,30.22,31.22,29.12,29.63,30.65,30.09,30.95,32.40,34.60,36.38
