,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,102,774,205,699,117,709,91,944,61,862,150,830,102,842,110,844,683,921,245,"1,006",474,970,253,"1,217","1,574","1,345",314,"1,436",157,"1,178",215,"1,146",197,"1,240",241,"1,282",771,"1,955",540,"1,190"
Cash & Cash Equivalents,102,774,205,699,117,709,91,944,61,862,150,830,102,842,110,844,683,921,245,"1,006",474,970,253,"1,217","1,574","1,345",314,"1,436",157,"1,178",215,"1,146",197,"1,240",241,"1,282",771,"1,955",540,"1,190"
Cash Growth,-22.73%,3.61%,177.03%,3.71%,14.71%,-8.40%,-55.61%,35.05%,-47.86%,21.58%,64.84%,-12.08%,67.21%,-2.32%,-26.67%,1.69%,569.61%,9.38%,122.73%,19.19%,-30.60%,5.32%,3.27%,20.97%,232.07%,38.66%,24.11%,18.00%,-90.03%,-12.42%,-31.53%,-20.19%,25.48%,5.26%,12.09%,11.87%,291.37%,57.66%,124.07%,-7.18%
Receivables,"2,232","1,916","1,934","1,834","2,049","1,700","1,813","1,716","1,732","1,563","1,695","1,748","1,779","1,585","1,703","1,861","1,922","1,743","1,963","2,066","2,076","1,797","1,928","2,019","1,949","2,068","2,232","2,578","2,667","2,596","2,851","2,903","3,010","3,028","3,044","3,058","2,990","2,659","3,013","3,584"
Inventory,303,322,343,372,332,321,338,350,342,321,335,339,313,357,337,334,301,318,338,358,327,344,358,352,326,336,353,356,339,360,405,437,404,449,533,492,431,434,455,469
Other Current Assets,847,445,"1,037",811,900,949,"1,263",826,"1,050",753,974,489,823,496,946,498,867,454,810,434,904,596,"1,042",684,"1,177",815,"1,305",931,"1,424",976,"1,625","1,065","1,851","1,299","1,915","8,140","1,676","1,155","1,931","1,294"
Total Current Assets,"3,484","3,457","3,519","3,716","3,398","3,679","3,505","3,836","3,185","3,499","3,154","3,406","3,017","3,280","3,096","3,537","3,773","3,436","3,356","3,864","3,781","3,707","3,581","4,272","5,026","4,564","4,204","5,301","4,587","5,110","5,096","5,551","5,462","6,016","5,733","12,972","5,868","6,203","5,939","6,537"
"Property, Plant & Equipment","28,682","28,754","29,239","29,827","30,212","30,923","31,473","32,209","32,971","33,459","33,906","35,216","35,663","36,251","36,728","37,600","38,075","38,767","39,383","41,749","43,004","43,587","44,068","44,746","45,283","45,750","46,408","47,392","47,906","48,157","48,764","49,405","49,821","50,513","51,236","47,334","47,848","48,475","49,080","50,141"
Long-Term Investments,547,693,740,816,814,848,874,884,865,"1,913","1,931","1,921","1,914","1,961","1,977","2,001","2,012","2,057","2,131","1,766","1,832","1,899","1,983","2,065","2,011","2,080","2,124","1,816","1,654","1,688","1,078",853,833,794,805,841,905,942,933,999
Goodwill and Intangibles,433,432,432,432,432,432,432,431,431,431,429,552,550,544,542,559,557,555,571,"2,094","2,070","2,045","2,026","2,003","1,978","1,956","1,931","1,906","1,880","1,786","1,763","1,732","1,707","1,683","1,661",408,407,408,408,408
Other Long-Term Assets,"7,335","6,975","6,737","9,280","9,121","8,869","8,687","8,282","8,128","7,968","7,896","7,160","7,221","7,063","6,903","4,414","4,483","4,249","4,103","4,447","4,379","4,364","4,282","4,993","4,861","4,731","4,928","6,480","6,272","6,178","6,237","5,575","5,914","6,066","6,328","7,510","7,776","7,743","8,045","8,246"
Total Long-Term Assets,"36,997","36,854","37,148","40,355","40,579","41,072","41,466","41,806","42,395","43,771","44,162","44,849","45,348","45,819","46,150","44,574","45,127","45,628","46,188","50,056","51,285","51,895","52,359","53,807","54,133","54,517","55,391","57,594","57,712","57,809","57,842","57,565","58,275","59,056","60,030","56,093","56,936","57,568","58,466","59,794"
Total Assets,"40,481","40,311","40,667","44,071","43,977","44,751","44,971","45,642","45,580","47,270","47,316","48,255","48,365","49,099","49,246","48,111","48,900","49,064","49,544","53,920","55,066","55,602","55,940","58,079","59,159","59,081","59,595","62,895","62,299","62,919","62,938","63,116","63,737","65,072","65,763","69,065","62,804","63,771","64,405","66,331"
Accounts Payable,"1,079",967,972,"1,035",937,845,"1,092","1,008",909,969,"1,113","1,147",963,973,"1,057","1,286","1,236","1,130","1,173","1,187","1,010",994,"1,082","1,164","1,015","1,018","1,279","1,475","1,208","1,217","1,370","1,497","1,308","1,547","1,587","1,955","1,363","1,320","1,306","1,775"
Current Debt,"1,115","1,576","1,635","1,360","1,015","1,705","1,921","2,268","1,938","1,454",947,"1,093",869,"1,673","1,043","1,875","2,680","2,684","2,480","3,216","3,514","3,188","3,273","3,203","3,378","3,861","3,884","3,933","3,455","2,508","1,588","2,041","1,872","3,093","2,945","3,792","1,168","2,714","2,644","2,654"
Other Current Liabilities,"1,382","1,296","1,266","1,362","1,455","1,385","1,416","1,444","1,589","1,480","1,531","1,603","1,609","1,683","1,815","1,741","1,735","1,642","1,748","1,804","1,824","1,787","1,864","1,920","1,918","1,826","1,997","1,946","1,896","1,832","2,297","1,889","2,235","2,183","2,358","5,589","2,364","2,038","2,100","2,033"
Total Current Liabilities,"3,576","3,839","3,873","3,757","3,407","3,935","4,429","4,720","4,436","3,903","3,591","3,843","3,441","4,329","3,915","4,902","5,651","5,456","5,401","6,207","6,348","5,969","6,219","6,287","6,311","6,705","7,160","7,354","6,559","5,557","5,255","5,427","5,415","6,823","6,890","11,336","4,895","6,072","6,050","6,462"
