,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Current Liabilities,"2,077","2,197","2,327","-9,782","2,395","2,221","2,372","-9,412","2,369","2,116","2,047","-10,404","1,910","1,994","2,007","-2,589","2,047","2,184","2,209","-3,068","2,421","2,620","-3,897","-3,889","2,830","3,796","4,047","-3,194","3,367","3,303","3,558","-3,768","5,104","-4,421","-4,362","-3,951","5,740","3,972","4,072","5,967"
Total Current Liabilities,"7,492","8,708","8,251","11,233","11,903","9,646","10,516","11,400","10,891","9,906","12,076","11,551","10,941","12,466","10,820","12,482","12,998","12,791","13,922","15,041","12,282","13,447","13,390","14,752","15,170","16,690","16,693","16,305","17,333","16,211","15,556","15,931","15,425","16,544","16,912","18,873","16,015","17,375","17,160","17,283"
Long-Term Debt,"39,000","38,706","38,702","37,213","37,173","36,795","37,667","37,495","38,232","39,931","43,964","45,576","47,021","46,043","48,929","49,035","49,030","49,863","50,507","51,123","55,169","55,844","56,274","56,417","57,725","57,520","57,428","56,965","56,120","58,725","59,022","61,522","63,264","64,186","67,064","67,937","69,958","70,755","72,250","73,369"
Other Long-Term Liabilities,"26,511","26,878","31,250","31,364","31,979","32,517","32,982","32,490","32,645","32,869","33,100","34,593","34,960","35,201","34,934","34,660","34,715","35,090","35,723","35,394","38,640","38,826","38,846","39,718","39,094","39,228","39,993","39,934","40,354","40,904","41,189","40,998","41,279","40,069","40,195","39,465","40,909","40,875","39,924",0
Total Long-Term Liabilities,"65,511","65,584","69,952","68,577","69,152","69,312","70,649","69,985","70,877","72,800","77,064","80,169","81,981","81,244","83,863","83,695","83,745","84,953","86,230","86,517","93,809","94,670","95,120","96,135","96,819","96,748","97,421","96,899","96,474","99,629","100,211","102,520","104,543","104,255","107,259","107,402","110,867","111,630","112,174","73,369"
Total Liabilities,"73,003","74,292","78,203","79,810","81,055","78,958","81,165","81,385","81,768","82,706","89,140","91,720","92,922","93,710","94,683","96,177","96,743","97,744","100,152","101,558","106,091","108,117","108,510","110,887","111,989","113,438","114,114","113,204","113,807","115,840","115,767","118,451","119,968","120,799","124,171","126,275","126,882","129,005","129,334","126,706"
Total Debt,"41,622","42,460","41,645","42,534","43,763","41,331","42,622","43,202","43,793","44,585","50,176","50,382","52,556","53,003","53,313","54,442","55,950","56,044","56,853","57,939","60,699","62,335","61,839","62,693","65,835","66,061","65,522","64,076","65,770","66,997","65,993","68,213","70,410","71,232","73,919","76,043","77,019","78,819","79,438","80,457"
Debt Growth,0.66%,2.54%,0.81%,3.50%,5.14%,-2.66%,2.35%,1.57%,0.07%,7.87%,17.72%,16.62%,20.01%,18.88%,6.25%,8.06%,6.46%,5.74%,6.64%,6.42%,8.49%,11.23%,8.77%,8.21%,8.46%,5.98%,5.96%,2.21%,-0.10%,1.42%,0.72%,6.46%,7.05%,6.32%,12.01%,11.48%,9.39%,10.65%,7.47%,5.80%
Common Stock,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retained Earnings,"1,713","1,768","2,479","2,012","2,309","2,294","2,656","2,564","2,688","2,627","3,212","2,384","2,521","2,607","2,936","3,013","3,021","2,894","3,313","3,113","3,360","3,502","4,139","4,108","4,221","2,707","3,260","2,471","2,680","2,687","3,293","3,265","3,323","3,457","4,063","2,756","2,626","1,615","2,036","2,235"
Comprehensive Income,-377,-355,-456,-543,-672,-648,-778,-806,-766,-717,-721,-93,-85,-82,-80,-67,-69,-70,-66,-92,-128,-148,-153,-130,-193,-183,-263,-237,-218,-306,-297,-303,-204,-73,-78,-140,-166,-111,121,-6
Shareholders' Equity,"40,709","40,803","41,412","40,875","41,051","39,580","39,832","39,727","39,892","39,895","40,489","41,033","41,179","41,284","41,631","41,739","41,792","42,507","42,995","43,817","45,030","45,213","46,438","46,822","46,921","45,484","46,006","47,964","48,186","48,132","49,307","49,296","49,446","49,720","50,345","49,441","49,260","48,333","49,006","49,112"
Total Liabilities and Equity,"113,792","115,173","119,656","120,709","122,142","118,575","121,033","121,156","121,709","122,654","129,686","132,761","134,108","135,004","136,325","137,914","138,541","140,259","143,165","145,392","151,136","153,449","155,917","158,838","160,072","160,049","161,409","162,388","163,465","165,385","167,007","169,587","171,220","172,383","176,340","178,261","178,833","180,076","181,160","176,893"
Net Cash / Debt,"-40,085","-18,687","-17,378","-18,527","-18,803","-20,804","-21,735","-22,960","-23,630","-24,580","-24,695","-27,813","-51,678","-52,705","-53,031","-54,084","-55,529","-55,740","-56,550","-57,497","-60,322","-61,999","-61,460","-62,382","-64,385","-65,720","-65,214","-63,817","-65,391","-66,630","-65,445","-67,870","-69,557","-70,804","-73,466","-75,634","-76,568","-88,007","-88,359","-80,204"
Net Cash Per Share,-56.78,-26.43,-24.58,-26.17,-26.56,-30.06,-31.59,-33.32,-34.30,-35.62,-35.74,-39.73,-73.83,-75.29,-75.76,-77.15,-79.21,-79.18,-79.20,-79.09,-82.97,-85.16,-84.31,-84.99,-87.48,-89.41,-88.73,-86.83,-85.03,-86.64,-85.10,-88.26,-90.33,-91.95,-95.41,-98.23,-99.44,-114.15,-114.60,-
Working Capital,"3,073","2,807","3,324",342,419,-48,-321,"-3,078","-2,948","-1,809","1,458","-3,512","-2,936","-4,793","-3,114","-4,029","-4,719","-4,315","-4,402","-5,327","-3,114","-3,938","-3,771","-5,589","-4,989","-7,453","-8,014","-7,623","-8,825","-7,226","-6,120","-5,991","-4,383","-4,983","-3,940","-5,651","-3,701","-4,287","-4,112","-4,514"
Book Value Per Share,57.66,57.71,58.57,57.73,57.98,57.20,57.90,57.66,57.90,57.90,58.76,58.62,58.83,58.98,59.47,59.54,59.62,60.47,60.30,60.27,61.94,62.11,63.70,63.79,63.93,61.88,62.59,65.26,62.66,62.59,64.12,64.10,64.22,64.57,65.38,64.21,63.97,62.69,63.56,-
