,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31
Revenue,"129,706","114,960","120,125","119,001","131,565","114,826","120,229","117,408","129,667","115,904","120,854","118,179","130,936","117,542","123,355","123,179","136,267","122,690","128,028","124,894","138,793","123,925","130,377","127,991","141,671","134,622","137,742","134,708","152,079","138,310","141,048","140,525","152,871","141,569","152,859","152,813","164,048","152,301","161,632","160,804"
Revenue Growth (YoY),1.51%,0.78%,2.82%,2.86%,1.43%,-0.12%,0.09%,-1.34%,-1.44%,0.94%,0.52%,0.66%,0.98%,1.41%,2.07%,4.23%,4.07%,4.38%,3.79%,1.39%,1.85%,1.01%,1.83%,2.48%,2.07%,8.63%,5.65%,5.25%,7.35%,2.74%,2.40%,4.32%,0.52%,2.36%,8.37%,8.74%,7.31%,7.58%,5.74%,5.23%
Cost of Revenue,"97,971","86,714","90,010","89,247","99,115","86,483","90,056","87,446","96,999","86,544","89,485","87,484","97,743","87,688","91,521","91,547","102,640","91,707","95,571","93,116","104,907","93,034","97,923","95,900","107,748","102,026","102,689","100,339","115,261","103,272","105,183","105,023","115,522","106,847","115,838","115,613","125,423","115,284","121,850","121,183"
Gross Profit,"31,735","28,246","30,115","29,754","32,450","28,343","30,173","29,962","32,668","29,360","31,369","30,695","33,193","29,854","31,834","31,632","33,627","30,983","32,457","31,778","33,886","30,891","32,454","32,091","33,923","32,596","35,053","34,369","36,818","35,038","35,865","35,502","37,349","34,722","37,021","37,200","38,625","37,017","39,782","39,621"
"Selling, General & Admin","24,388","22,053","23,375","23,489","24,501","22,663","24,104","24,248","26,026","24,085","25,204","25,576","26,988","24,617","25,865","26,868","29,160","25,829","26,707","26,792","27,819","25,946","26,871","27,373","28,601","27,372","28,994","28,591","31,331","28,129","28,511","29,710","31,462","29,404","30,167","34,505","33,064","30,777","32,466","33,419"
Operating Expenses,"24,388","22,053","23,375","23,489","24,501","22,663","24,104","24,248","26,026","24,085","25,204","25,576","26,988","24,617","25,865","26,868","29,160","25,829","26,707","26,792","27,819","25,946","26,871","27,373","28,601","27,372","28,994","28,591","31,331","28,129","28,511","29,710","31,462","29,404","30,167","34,505","33,064","30,777","32,466","33,419"
Operating Income,"7,347","6,193","6,740","6,265","7,949","5,680","6,069","5,714","6,642","5,275","6,165","5,119","6,205","5,237","5,969","4,764","4,467","5,154","5,750","4,986","6,067","4,945","5,583","4,718","5,322","5,224","6,059","5,778","5,487","6,909","7,354","5,792","5,887","5,318","6,854","2,695","5,561","6,240","7,316","6,202"
Interest Expense / Income,581,592,570,676,623,843,567,573,565,585,588,609,585,598,613,583,536,530,554,593,669,673,641,633,652,592,658,541,524,566,515,486,427,455,479,584,610,664,642,682
Other Expense / Income,86,94,-36,95,185,-77,136,89,157,113,94,144,199,78,955,"1,457","1,155","1,944","4,932","1,924",-140,-821,99,-255,-850,-680,"-3,282","-1,812","5,639","2,580","1,004","1,186",749,"2,011",-271,"3,573","-4,417","3,111","-3,891","4,795"
Pretax Income,"6,680","5,507","6,206","5,494","7,141","4,914","5,366","5,052","5,920","4,577","5,483","4,366","5,421","4,561","4,401","2,724","2,776","2,680",264,"2,469","5,538","5,093","4,843","4,340","5,520","5,312","8,683","7,049",-676,"3,763","5,835","4,120","4,711","2,852","6,646","-1,462","9,368","2,465","10,565",725
