,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"4,385","3,843","5,768","5,654","6,288","6,224","7,623","8,577","6,610","7,309","7,032","6,607","5,848","6,218","13,148","13,438","10,281","9,244","6,939","8,548","11,543","1,661","2,107","1,540","1,748","3,737","10,214","8,750","4,384","3,962","1,720","2,025","1,725","1,492","1,888","3,669","3,629","4,996","1,747","2,803"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,826",956,257,507,370,29,119,8,6,0,0,0,0,0,"2,001",0,0,0,0,0,0,"1,302","1,319",0,0,0
Cash & Cash Equivalents,"4,385","3,843","5,768","5,654","6,288","6,224","7,623","8,577","6,610","7,309","7,032","6,607","5,848","6,218","14,974","14,394","10,538","9,751","7,309","8,577","11,662","1,669","2,113","1,540","1,748","3,737","10,214","8,750","6,385","3,962","1,720","2,025","1,725","1,492","1,888","4,971","4,948","4,996","1,747","2,803"
Cash Growth,24.79%,-21.30%,9.41%,-4.81%,43.40%,61.96%,32.16%,51.70%,5.12%,17.43%,-7.75%,-22.97%,-11.53%,-14.93%,112.94%,117.86%,80.20%,56.82%,-51.19%,-40.41%,10.67%,-82.88%,-71.09%,-82.05%,-85.01%,123.91%,383.39%,468.18%,265.27%,6.02%,-83.16%,-76.86%,-72.98%,-62.34%,9.77%,145.48%,186.84%,234.85%,-7.47%,-43.61%
Receivables,"10,854","10,778","10,192","9,992","9,289","9,593","8,903","8,662","9,333","10,026","10,099","9,686","10,551","11,619","18,999","17,573","20,480","20,881","20,074","3,438","19,161","4,250","3,997","3,802","3,900","3,646","3,770","2,421","2,609","2,826","2,908","2,159","2,327","2,267","2,257","2,518","2,438","2,315","2,399","2,370"
Inventory,"9,102","8,926","9,019","8,101","8,087","8,061","7,822","6,871","7,298","8,212","8,013","7,363","8,210","8,163","17,255","16,992","17,457","15,630","16,441","4,107","16,604","4,390","4,306","4,319","4,410","4,307","3,902","2,393","2,499","2,642","2,844","2,086","2,238","2,356","2,359","2,329","2,443","2,341","2,279","2,147"
Other Current Assets,721,736,751,508,730,886,504,-169,93,763,-366,3,31,-65,"3,573",934,"1,258","1,635","1,581","110,533","1,821",314,272,338,334,296,"-5,280","15,444","1,047","1,062","1,025","8,033","8,153","7,891","7,846","1,452","1,371","1,475","1,510",194
Total Current Assets,"25,062","24,283","25,730","24,255","24,394","24,764","24,852","23,941","23,334","26,310","24,778","23,659","24,640","25,935","54,801","49,893","49,733","47,897","45,405","126,655","49,248","10,623","10,688","9,999","10,392","11,986","12,606","29,008","12,540","10,492","8,497","14,303","14,443","14,006","14,350","11,270","11,200","11,127","7,935","7,514"
"Property, Plant & Equipment","17,573","17,901","17,694","18,051","18,066","18,580","18,858","17,854","18,420","22,783","23,311","23,486","23,768","24,116","36,219","36,247","36,076","35,224","35,228","9,917","35,575","9,806","9,699","10,143","9,912","9,909","9,686","6,867","6,744","6,856","6,921","5,753","5,668","5,564","5,477","5,731","5,738","5,701","5,756","5,884"
Long-Term Investments,"7,094","7,243","7,270","7,260","6,862","7,197","7,472","7,697","7,708","7,314","7,552","7,424","7,467","7,405","8,843","8,580","8,507","8,330","8,472","1,820","7,893","1,718","1,733","1,260","1,282","1,267","1,122","1,047","1,059","1,068","1,029",919,821,836,779,836,744,757,751,"1,071"
