,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"3,830","3,888","3,766","3,166","9,277","3,065","3,316","3,239","3,666","2,308","3,238","3,489","4,582","2,617","3,070","3,724","6,536","3,084","6,817","8,960","7,321","2,036","2,290","1,564","2,338","1,699","2,365","3,595","3,657","3,002","3,220","3,788","3,819","2,459","2,623","2,617","2,067","3,546","2,695","2,381"
Short-Term Investments,"1,567","1,324","1,361","1,644",955.4,"1,075",915.4,"1,080",785.4,687.4,696.8,737.8,"1,457",888.7,"2,364","3,219","1,498","1,705",92.2,76.1,88.2,100.7,77.7,89.2,101,78.4,22.8,35,24.2,49,51.2,37.1,90.1,109.1,113.8,124.7,144.8,123.4,134.6,113.1
Cash & Cash Equivalents,"5,397","5,212","5,127","4,810","10,233","4,140","4,231","4,319","4,452","2,995","3,935","4,227","6,039","3,506","5,434","6,943","8,034","4,790","6,910","9,036","7,409","2,137","2,368","1,653","2,439","1,777","2,388","3,630","3,681","3,051","3,271","3,825","3,909","2,568","2,737","2,742","2,212","3,669","2,829","2,494"
Cash Growth,-5.05%,10.14%,8.82%,-10.59%,89.59%,-20.58%,-17.47%,-10.20%,-56.49%,-27.65%,-7.00%,-2.14%,35.64%,17.05%,38.10%,64.26%,33.05%,36.62%,27.15%,30.15%,-7.78%,-55.38%,-65.73%,-81.71%,-67.09%,-16.83%,0.84%,119.62%,50.97%,71.68%,36.99%,5.37%,6.17%,-15.83%,-16.34%,-28.32%,-43.41%,42.87%,3.38%,-9.05%
Receivables,"4,023","3,746","3,754","3,635","3,801","3,826","4,097","4,068","4,072","4,187","4,493","4,521","4,766","4,614","4,956","5,015","5,262","5,271","5,579","5,653","5,777","5,178","5,590","5,538","5,542","6,353","5,776","5,845","6,929","6,659","6,903","7,025","8,127","7,806","7,672","8,325","8,559","9,022","9,171","10,364"
Inventory,"2,929","2,969","3,190","2,845","2,740","2,980","3,288","3,418","3,446","3,740","3,760","3,881","3,562","4,035","4,346","4,407","4,458","4,631","4,156","4,118","3,098","3,055","3,181","3,101","3,191","3,102","3,314","3,555","3,980","3,661","3,825","3,907","3,886","3,893","3,899","3,831","4,310","4,545","4,799","4,901"
Other Current Assets,755.8,"1,112","1,086",821.5,"-4,845.6",797,730.1,762.4,604.4,792,789.5,756.5,734.6,821.6,"1,010","1,064","1,448","1,570","1,689","1,879","4,266","2,227","2,316","2,370","2,539","2,762","3,105","3,209","2,872","3,234","3,297","3,051","2,531","2,698","2,807","2,742","2,954","3,575","4,532","5,248"
Total Current Assets,"13,105","13,039","13,157","12,111","11,928","11,743","12,346","12,567","12,574","11,715","12,977","13,386","15,101","12,976","15,747","17,428","19,202","16,262","18,333","20,686","20,550","12,598","13,455","12,662","13,710","13,994","14,582","16,240","17,462","16,605","17,296","17,808","18,452","16,965","17,115","17,640","18,035","20,811","21,332","23,007"
"Property, Plant & Equipment","7,976","7,971","8,101","8,043","7,964","7,951","8,023","8,075","8,054","8,033","8,066","8,252","8,253","8,426","8,583","8,599","8,827","8,958","8,771","8,814","7,996","8,327","8,393","8,337","7,873","7,898","7,981","8,281","8,682","8,630","8,856","8,920","8,985","9,103","9,128","9,311","10,144","10,546","11,277","11,863"
Long-Term Investments,"7,625","7,205","6,650","7,406","4,569","4,577","4,099","4,102","3,647","3,764","4,449","5,027","5,208","5,298","5,723","6,149","5,679","5,375","2,060","2,006","2,005","2,111","1,853","1,825","1,962","2,149","2,406","2,476","2,967","3,232","3,475","3,351","3,213","2,727","2,587","2,575","2,902","2,750","2,745","2,692"
Goodwill and Intangibles,"4,331","4,203","4,670","4,751","4,642","8,895","8,868","8,671","9,075","8,935","8,833","8,646","8,331","8,905","8,833","8,637","8,399","8,332","8,105","7,978","2,435","10,497","10,407","10,462","10,297","11,546","11,436","11,315","11,217","11,965","11,870","11,772","11,584","11,374","11,390","11,016","11,280","11,160","10,982","10,867"
Other Long-Term Assets,"2,213","2,339","2,441","2,339","7,204","2,489","2,701","2,890","2,221","2,245","2,150","2,279","1,914","2,020","2,061","2,198","2,874","5,428","5,091","5,142","10,923","4,474","4,560","4,607","5,444","5,516","5,562","5,634","6,306","6,406","6,314","6,336","6,572","6,750","6,844","6,920","7,130","7,895","8,478","9,487"
Total Long-Term Assets,"22,144","21,718","21,862","22,538","24,379","23,911","23,691","23,738","22,995","22,977","23,498","24,204","23,705","24,648","25,200","25,582","25,779","28,094","24,027","23,939","23,359","25,409","25,212","25,231","25,577","27,109","27,385","27,706","29,171","30,234","30,514","30,379","30,354","29,955","29,948","29,822","31,455","32,352","33,482","34,909"
