,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,4,9,"3,523","7,114","7,132",30,"19,626","22,269","23,591",555,"1,165","1,535","2,920",694,"2,164",621,576,773,660,765,"1,626",846,597,"3,549","2,936","2,102","1,286","1,001",772,"1,711",466,601,"2,431",483,480,645,534,478,571,709
Cash & Cash Equivalents,4,9,"3,523","7,114","7,132",30,"19,626","22,269","23,591",555,"1,165","1,535","2,920",694,"2,164",621,576,773,660,765,"1,626",846,597,"3,549","2,936","2,102","1,286","1,001",772,"1,711",466,601,"2,431",483,480,645,534,478,571,709
Cash Growth,-95.65%,-79.55%,8492.68%,33776.19%,178200.00%,233.33%,457.08%,213.03%,230.78%,1750.00%,-94.06%,-93.11%,-87.62%,25.05%,85.75%,-59.54%,-80.27%,11.38%,-69.50%,23.19%,182.29%,9.44%,-9.55%,363.92%,80.57%,148.46%,115.41%,-71.79%,-73.71%,-18.60%,-63.76%,-39.96%,214.90%,-71.77%,3.00%,7.32%,-78.03%,-1.04%,18.96%,9.92%
Receivables,217,252,270,285,264,321,292,279,253,"1,340","1,242","1,432","1,311","1,489","1,652","1,635","1,409","1,619","1,736","1,733","1,578","2,070","2,284","2,227","2,091","1,994","2,068","2,539","2,395","2,583","2,645","2,579","2,530","2,779","2,841","2,921","2,851","2,864","2,932","2,965"
Other Current Assets,83,76,"-3,423","-7,054",106,105,"-19,512","-22,203","-22,232",430,374,333,435,381,316,299,413,358,333,232,547,424,507,695,732,669,706,369,496,388,387,386,555,476,433,451,682,587,613,458
Total Current Assets,304,337,370,345,"7,502",456,406,345,"1,612","2,325","2,781","3,300","4,666","2,564","4,132","2,555","2,398","2,750","2,729","2,730","3,751","3,340","3,388","6,471","5,759","4,765","4,060","3,909","3,663","4,682","3,498","3,566","5,516","3,738","3,754","4,017","4,067","3,929","4,116","4,132"
"Property, Plant & Equipment","8,079","8,197","8,305","8,373","8,275","8,244","8,281","8,345","8,294","33,358","32,881","32,963","32,699","32,948","33,300","33,888","34,002","34,411","34,740","35,126","35,960","35,641","35,321","34,591","34,096","34,074","34,196","34,357","34,184","34,206","34,179","34,310","34,173","34,472","35,005","36,039","36,602","37,546","38,617","39,520"
Goodwill and Intangibles,"2,494","2,415","2,345","2,273","2,210","2,146","2,084","2,024","1,968","45,846","45,604","44,117","43,430","42,785","42,143","41,505","40,869","40,264","39,690","39,119","38,551","38,015","37,510","37,007","36,509","36,040","35,604","35,169","34,739","34,341","33,973","33,622","33,262","32,936","32,636","32,335","32,042","31,894","31,655","31,413"
Other Long-Term Assets,"6,420","6,420","9,930","13,397","6,423","6,473","26,102","28,602","28,650","67,666","67,631","68,687","68,649","68,663","68,653","68,675","68,882","68,826","68,926","69,155","68,995","69,089","69,048","70,119","70,188","70,257","70,333","70,771","70,853","70,797","70,845","70,993","70,997","72,112","72,274","72,132","72,159","72,246","72,294","72,128"
Total Long-Term Assets,"16,993","17,032","20,580","24,043","16,908","16,863","36,467","38,971","38,912","146,870","146,116","145,767","144,778","144,396","144,096","144,068","143,753","143,501","143,356","143,400","143,506","142,745","141,879","141,717","140,793","140,371","140,133","140,297","139,776","139,344","138,997","138,925","138,432","139,520","139,915","140,506","140,803","141,686","142,566","143,061"
Total Assets,"17,297","17,369","20,950","24,388","24,410","17,319","36,873","39,316","40,524","149,195","148,897","149,067","149,444","146,960","148,228","146,623","146,151","146,251","146,085","146,130","147,257","146,085","145,267","148,188","146,552","145,136","144,193","144,206","143,439","144,026","142,495","142,491","143,948","143,258","143,669","144,523","144,870","145,615","146,682","147,193"
Accounts Payable,"1,523","1,606","1,586","1,635","1,586","1,636","1,829","1,972","1,925","6,736","6,597","7,544","7,513","8,123","8,351","9,045","8,262","8,637","8,511","8,805","8,213","8,145","8,263","8,885","8,310","8,436","8,541","8,867","8,911","9,036","9,241","9,461","9,386","9,862","10,073","10,555","10,243","9,976","10,626","11,214"
Current Debt,0,0,0,0,"6,983",0,0,0,0,"2,071","2,050","2,028","2,007",0,"2,068","2,045","3,340","5,387","3,339","3,290","3,737","1,730","3,719","3,500","4,905",706,"1,715","1,008","1,005","1,002","2,996","2,997","4,543","1,533","1,522","1,510","1,999","1,999","1,999","2,000"
Total Current Liabilities,"1,523","1,606","1,586","1,635","8,569","1,636","1,829","1,972","1,925","8,807","8,647","9,572","9,520","8,123","10,419","11,090","11,602","14,024","11,850","12,095","11,950","9,875","11,982","12,385","13,215","9,142","10,256","9,875","9,916","10,038","12,237","12,458","13,929","11,395","11,595","12,065","12,242","11,975","12,625","13,214"
Long-Term Debt,"14,090","14,019","17,595","20,887","13,981","13,896","33,281","35,723","37,124","60,132","59,946","59,719","60,837","63,248","66,064","68,186","67,609","66,730","69,135","69,537","71,548","72,836","72,381","75,578","74,787","77,663","77,947","81,744","83,882","86,962","85,376","88,564","90,679","94,468","95,510","96,093","95,973","95,971","95,800","95,777"
Other Long-Term Liabilities,"1,557","1,625","1,672","1,720","1,783","1,818","1,703","1,667","1,694","29,224","29,229","29,410","29,183","29,156","29,167","19,816","19,815","19,855","19,872","20,226","20,116","20,280","20,382","21,414","21,828","21,930","22,278","22,306","22,460","22,940","23,356","23,313","23,396","23,882","24,214","23,816","23,753","23,642","23,513","23,484"
