,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02,2022-04-03,2022-07-03,2022-10-02,2023-01-01,2023-04-02,2023-07-02,2023-10-01
Cash & Equivalents,"20,927","19,722","14,236","13,818","14,523","11,988","10,639","13,639","13,732","13,861","18,640","18,205","18,972","20,909","12,598","15,721","17,824","14,639","17,569","16,056","18,107","14,734","14,376","16,249","17,305","15,530","11,174","18,965","13,985","12,671","14,332","17,604","14,487","10,463","10,983","11,355","12,889","26,865","21,183","19,728"
Short-Term Investments,"8,279","9,670","17,388","19,187","18,566","19,331","23,315","23,667","24,644","25,994","23,944","22,228","22,935","18,434",255,510,472,565,570,"3,308","1,580",602,902,"1,696","1,982","2,494","7,961","11,816","11,200","11,948","10,974","13,397","17,121","19,925","21,585","22,724","9,392","5,443","7,322","3,783"
Cash & Cash Equivalents,"29,206","29,392","31,624","33,005","33,089","31,319","33,954","37,306","38,376","39,855","42,584","40,433","41,907","39,343","12,853","16,231","18,296","15,204","18,139","19,364","19,687","15,336","15,278","17,945","19,287","18,024","19,135","30,781","25,185","24,619","25,306","31,001","31,608","30,388","32,568","34,079","22,281","32,308","28,505","23,511"
Cash Growth,38.49%,35.65%,25.85%,30.83%,13.30%,6.56%,7.37%,13.03%,15.98%,27.26%,25.42%,8.38%,9.20%,-1.28%,-69.82%,-59.86%,-56.34%,-61.36%,41.13%,19.30%,7.60%,0.87%,-15.77%,-7.33%,-2.03%,17.53%,25.25%,71.53%,30.58%,36.59%,32.25%,0.71%,25.50%,23.43%,28.70%,9.93%,-29.51%,6.32%,-12.48%,-31.01%
Receivables,"11,713","12,116","12,257","11,615","10,985","11,533","11,968","11,366","10,734","11,406","12,062","11,798","11,699","12,300","13,283","13,155","13,490","14,166","14,111","14,048","14,098","14,115","14,653","14,801","14,481","14,874","14,645","14,579","13,576","14,938","14,871","14,911","15,283","15,594","16,139","15,890","14,039","16,350","16,777","14,798"
Inventory,"7,878","8,009","8,155","8,419","8,184","8,085","8,298","8,206","8,053","8,170","8,523","8,488","8,144","8,878","9,699","9,521","8,765","9,014","8,810","8,678","8,599","9,086","9,263","9,173","9,020","8,868","9,424","9,599","9,344","9,952","10,100","10,387","10,387","10,990","11,437","11,675","10,268","12,809","12,888","11,198"
Other Current Assets,"7,610","7,852","8,083","6,934","3,486","7,255","6,781","6,616","3,047","3,307","3,122","2,600","3,282","2,826","2,954","2,922","2,537","4,384","4,378","5,104","3,649","3,450","2,605","2,414","2,486","2,460","2,688","2,619","3,132","3,024","3,492","3,590","3,701","3,452","3,703","3,592","8,706","2,921","2,397","4,196"
Total Current Assets,"56,407","57,369","60,119","59,973","55,744","58,192","61,001","63,494","60,210","62,738","66,291","63,319","65,032","63,347","38,789","41,829","43,088","42,768","45,438","47,194","46,033","41,987","41,799","44,333","45,274","44,226","45,892","57,578","51,237","52,533","53,769","59,889","60,979","60,424","63,847","65,236","55,294","64,388","60,567","53,703"
"Property, Plant & Equipment","16,710","15,996","16,155","15,804","16,126","15,364","15,583","15,551","15,905","15,964","15,972","16,095","15,912","16,191","16,458","16,628","17,005","17,040","16,632","16,629","17,035","17,000","17,248","17,048","17,658","17,401","17,598","17,855","18,766","18,367","18,632","18,478","18,962","18,701","18,354","18,152","17,982","20,174","20,576","18,821"
Goodwill and Intangibles,"50,745","49,821","49,111","47,940","49,054","48,370","48,510","47,267","47,393","47,688","47,798","50,813","49,681","54,310","86,176","85,877","85,134","83,514","80,402","79,339","78,064","78,348","82,993","81,137","81,282","80,809","81,303","81,313","89,795","86,798","86,063","83,345","81,638","79,355","76,574","73,719","74,536","93,023","91,686","71,145"
Other Long-Term Assets,"8,821","10,144","9,815","8,380","9,434","6,664","6,942","6,954","9,903","9,841","9,753","10,142","10,583","11,070","11,384","11,324","12,076","13,303","12,893","12,541","11,822","12,692","13,077","13,003","13,514","12,581","13,587","13,947","15,096","14,859","17,976","17,516","20,439","19,875","18,949","18,017","39,566","18,384","18,857","22,392"
Total Long-Term Assets,"76,276","75,961","75,081","72,124","74,614","70,398","71,035","69,772","73,201","73,493","73,523","77,050","76,176","81,571","114,018","113,829","114,215","113,857","109,927","108,509","106,921","108,040","113,318","111,188","112,454","110,791","112,488","113,115","123,657","120,024","122,671","119,339","121,039","117,931","113,877","109,888","132,084","131,581","131,119","112,358"
Total Assets,"132,683","133,330","135,200","132,097","130,358","128,590","132,036","133,266","133,411","136,231","139,814","140,369","141,208","144,918","152,807","155,658","157,303","156,625","155,365","155,703","152,954","150,027","155,117","155,521","157,728","155,017","158,380","170,693","174,894","172,557","176,440","179,228","182,018","178,355","177,724","175,124","187,378","195,969","191,686","166,061"
Accounts Payable,"6,266","6,113","6,193","6,603","7,633","6,719","6,140","5,928","6,668","5,965","6,061","5,971","6,918","6,082","6,135","6,390","7,310","6,443","6,516","7,000","7,537","6,923","6,912","7,491","8,544","7,411","6,765","7,044","9,505","8,503","8,704","8,961","11,055","9,309","9,765","10,153","9,889","9,909","10,443","8,355"
Current Debt,"4,852","3,949","3,819","2,115","3,638","4,045","5,222","5,677","7,004","3,116","1,708","3,443","4,684","5,355","7,209","8,491","3,906","2,696","2,678","1,773","2,796","1,708","1,719","2,299","1,202","2,190","5,332","5,078","2,631","3,350","3,173","3,798","3,766","4,297","4,305","4,424","12,756","17,979","11,701","3,870"
Other Current Liabilities,"14,557","13,778","14,347","14,264","13,760","13,072","13,150","13,655","14,075","13,053","13,767","13,816","14,685","13,682","15,528","16,925","19,321","17,942","18,294","18,664","20,897","20,480","22,722","25,372","26,218","24,088","24,675","26,725","30,357","29,079","26,844","31,802","30,405","29,784","30,751","30,966","33,157","32,485","32,026","32,145"
Total Current Liabilities,"25,675","23,840","24,359","22,982","25,031","23,836","24,512","25,260","27,747","22,134","21,536","23,230","26,287","25,119","28,872","31,806","30,537","27,081","27,488","27,437","31,230","29,111","31,353","35,162","35,964","33,689","36,772","38,847","42,493","40,932","38,721","44,561","45,226","43,390","44,821","45,543","55,802","60,373","54,170","44,370"
Long-Term Debt,"13,328","13,343","13,303","13,152","15,122","14,938","14,085","14,073","12,857","20,233","24,535","23,546","22,442","27,015","27,363","26,675","30,675","29,837","29,405","29,480","27,684","27,660","27,699","26,919","26,494","25,393","25,062","32,680","32,635","30,263","30,310","30,130","29,985","28,851","28,292","27,603","26,886","34,928","33,901","26,051"
Other Long-Term Liabilities,"19,627","19,565","19,490","19,372","20,453","21,938","22,308","22,379","21,657","21,217","21,270","20,824","22,061","22,443","24,650","23,198","35,931","36,452","35,583","34,160","34,288","34,301","35,280","35,230","35,799","34,641","33,568","34,693","36,488","35,528","37,829","34,265","32,784","31,405","28,254","27,379","27,886","29,799","27,206","24,412"
