,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31,2017-08-31,2017-11-30,2018-02-28,2018-05-31,2018-08-31,2018-11-30,2019-02-28,2019-05-31,2019-08-31,2019-11-30,2020-02-29,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31,2022-11-30,2023-02-28,2023-05-31,2023-08-31,2023-11-30
Cash & Equivalents,"1,777","2,126","2,646","12,861","3,005","4,449","3,000","2,570","3,586","3,291","9,807","9,598","11,822","12,253","3,301","1,830","1,749","1,818",785,980,818,839,"1,023",811,792,768,469,"1,111","1,030","1,345",559,"4,135","1,887","2,285",0,"2,349","1,088",871,739,784
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,"2,173",0,"1,883",752,99,0,0
Cash & Cash Equivalents,"1,777","2,126","2,646","12,861","3,005","4,449","3,000","2,570","3,586","3,291","9,807","9,598","11,822","12,253","3,301","1,830","1,749","1,818",785,980,818,839,"1,023",811,792,768,469,"1,111","1,030","1,345","1,193","4,135","1,887","4,458",0,"4,232","1,840",970,739,784
Cash Growth,-26.90%,-28.99%,25.64%,1227.24%,69.11%,109.27%,13.38%,-80.02%,19.33%,-26.03%,226.90%,273.46%,229.67%,272.32%,-66.34%,-80.93%,-85.21%,-85.16%,-76.22%,-46.45%,-53.23%,-53.85%,30.32%,-17.24%,-3.18%,-8.46%,-54.15%,36.99%,30.05%,75.13%,154.37%,272.19%,83.20%,231.45%,-,2.35%,-2.49%,-78.24%,-,-81.47%
Receivables,"2,774","3,029","3,218","3,579","7,017","6,899","6,849","6,821","6,733","6,508","6,260","6,138","5,674","6,339","6,528","6,858","7,281","7,159","6,573","7,144","7,828","7,239","7,226","7,435","7,572","6,982","4,110","7,869","4,878","5,153","5,663","5,960","5,328","5,034","5,017","4,853","5,730","5,843","5,381","5,972"
Inventory,"7,213","6,439","6,076","6,518","9,379","8,764","8,678","9,884","9,025","8,931","8,956","10,039","9,230","8,681","8,899","10,010","10,316","9,889","9,565","10,976","10,188","9,874","9,333","10,536","9,652","9,563","7,917","11,180","8,541","8,333","8,159","9,475","8,947","8,520","8,353","9,322","8,757","8,164","8,257","9,454"
Other Current Assets,272,334,302,322,"1,314",917,"1,130",956,"1,034",983,860,893,783,879,"1,025",983,"1,012","1,122",923,983,"1,017","1,069","1,118",822,893,"1,013","5,577",924,"11,635","11,776",799,744,662,860,"3,532","1,116","1,362","1,565","1,126","1,135"
Total Current Assets,"12,036","11,928","12,242","23,280","20,715","21,029","19,657","20,231","20,378","19,713","25,883","26,668","27,509","28,152","19,753","19,681","20,358","19,988","17,846","20,083","19,851","19,021","18,700","19,604","18,909","18,326","18,073","21,084","26,084","26,607","15,814","20,314","16,824","18,872","16,902","19,523","17,689","16,542","15,503","17,345"
"Property, Plant & Equipment","12,136","12,088","12,257","12,103","15,646","15,241","15,068","14,878","14,552","14,493","14,335","13,709","13,528","13,535","13,642","13,693","14,045","13,938","13,911","13,821","13,828","13,717","13,478","35,294","35,237","34,680","34,249","35,228","34,496","34,324","34,140","34,121","33,937","33,158","32,988","32,690","33,600","33,613","33,254","32,884"
Long-Term Investments,"6,804","7,035","7,336","7,335",0,0,"1,242",0,0,0,"6,174","6,136","6,164","6,323","6,320","6,028","6,431","6,272","6,610","6,570","6,683","6,673","6,851","6,902","6,921","7,033","7,204","6,019","6,202","6,778","6,987","6,367","6,247","5,777","7,967","4,426","4,069","3,527","3,497","3,400"
Goodwill and Intangibles,"2,455","2,365","3,539","2,356","29,269","28,590","28,723","28,235","26,918","27,658","25,829","24,931","24,864","25,724","25,788","26,519","29,237","29,200","28,697","28,393","28,959","28,042","27,436","27,855","27,717","25,131","22,085","26,005","22,954","22,928","22,357","34,290","34,310","33,484","33,010","33,194","42,207","41,949","41,822","41,462"
Other Long-Term Assets,"3,650","3,975","1,876","3,538","5,727","5,784","4,092","5,313","4,537","5,469",467,468,440,439,506,697,745,754,"1,060","1,074","1,113","1,133","1,133","1,152","1,219","1,274","5,563",831,"1,184","1,283","1,987","1,415","1,365","1,468",-743,"3,042","2,914","2,974","2,552","2,732"
Total Long-Term Assets,"25,045","25,463","25,008","25,332","50,642","49,615","49,125","48,426","46,007","47,620","46,805","45,244","44,996","46,021","46,256","46,937","50,458","50,164","50,278","49,858","50,583","49,565","48,898","71,203","71,094","68,118","69,101","68,083","64,836","65,313","65,471","76,193","75,859","73,887","73,222","73,352","82,790","82,063","81,125","80,478"
Total Assets,"37,081","37,391","37,250","48,612","71,357","70,644","68,782","68,657","66,385","67,333","72,688","71,912","72,505","74,173","66,009","66,618","70,816","70,152","68,124","69,941","70,434","68,586","67,598","90,807","90,003","86,444","87,174","89,167","90,920","91,920","81,285","96,507","92,683","92,759","90,124","92,875","100,479","98,605","96,628","97,823"
Accounts Payable,"4,488","4,235","4,315","5,189","10,293","9,932","10,088","10,643","9,873","10,337","11,000","11,372","11,264","11,528","12,494","13,570","13,301","13,089","13,566","14,660","14,348","14,130","14,341","15,401","14,968","14,033","10,145","16,212","11,009","11,290","11,136","12,452","11,178","11,794","11,255","12,184","12,720","12,029","12,635","13,593"
Current Debt,577,780,774,774,"1,061","1,192","1,068","1,083","1,052",374,323,"1,095","1,153","4,838",251,"1,268","3,140","2,587","1,966","4,344","5,356","5,483","5,738","8,513","8,262","6,667","5,623","7,680","7,521","10,290","3,564","4,913","4,382","5,057","3,345","6,209","6,562","5,417","3,264","4,020"
