,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,2000-02-03,2000-04-26,2000-07-26,2000-10-25,2001-02-14,2001-05-09,2001-08-08,2001-11-07,2002-02-13,2002-05-08,2002-08-07,2002-11-06,2003-02-12,2003-05-05,2003-08-04,2003-10-30,2004-02-19,2004-04-27,2004-08-04,2004-11-06,2005-02-17,2005-05-04,2005-08-04,2005-11-07,2006-03-14,2006-05-09,2006-08-08,2006-11-09,2007-03-13,2007-05-09,2007-09-11,2007-10-05,2008-03-28,2008-05-09,2008-08-07,2008-11-07,2009-03-09,2009-05-12,2009-08-06,2009-11-03,2010-03-10,2010-04-29,2010-08-05,2010-11-04,2011-03-01,2011-05-05,2011-08-04,2011-11-03,2012-03-07,2012-05-03,2012-08-02,2012-11-08,2013-03-12,2013-05-09,2013-08-08,2013-11-07,2014-03-11,2014-04-30,2014-08-07,2014-11-06,2015-03-12,2015-05-07,2015-08-06,2015-11-05,2016-03-10,2016-05-04,2016-08-04,2016-11-02,2017-02-27,2017-05-04,2017-07-27,2017-11-02,2018-02-28,2018-05-10,2018-08-02,2018-11-06,2019-02-28,2019-05-08,2019-07-31,2019-11-05,2020-02-24,2020-05-07,2020-08-04,2020-10-29,2021-02-25,2021-05-05,2021-08-03,2021-11-03,2022-02-22,2022-05-05,2022-08-04,2022-11-03,2023-02-23,2023-05-03,2023-08-03,2023-11-02
reportedEPS,1,1.2,1.8,2.1,2.4,-1.1,0.4,0.2,-0.3,-10.8,0.4,0.4,0.5,0.6,0.7,0.9,1.1,0.8,1,0.9,0.8,0.5,0.6,0.8,0.2,-0.1,-0.1,-0.1,-7.5,-2.7199,-1,-1.1,-1.5499,-0.2405,0.0955,-0.019,-0.3,-3.3,-0.2,0.19,0.05,0.02,0.65,0.19,0.02,-0.17,-0.22,-0.22,-0.25,-0.09,-0.38,-0.08,-0.04,-0.18,-0.17,0.02,0.06,-0.06,0.02,0.1,0.11,-0.09,-0.02,-0.02,0.02,-0.13,0.01,0.03,0.02,-0.01,0.01,0.03,0.09,0.05,0.02,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.08,0.14,0.08,0.06,0.06,0.09,0.11,0.04,0.07,0.08,0.08,0.06,0.09,0.12
estimatedEPS,0.67,1.08,1.18,1.9,2.2,-0.17,0.4,0.33,0.16,-0.3,-0.25,0.4,0.45,0.35,0.58,0.7,1.1,0.7,1.02,0.48,0.77,0.48,0.6,0.78,0.53,0.24,0.08,0.08,None,None,-0.5,0.3,None,None,None,None,None,0.1,0.1,-0.08,-0.05,-0.08,-0.08,0.09,0.02,0.12,-0.09,0.07,0.01,-0.12,-0.09,-0.03,-0.07,-0.09,-0.15,None,0.06,-0.11,-0.01,0.13,0.07,-0.12,-0.04,-0.01,-0.11,-0.06,-0.07,-0.04,-0.05,-0.06,-0.01,0.03,0.07,0.01,0.02,0.03,0.06,0.02,0.07,0.07,0.1,0.07,0.06,0.09,0.1,0.05,0.06,0.07,0.09,0.02,0.04,0.07,0.08,0.05,0.06,0.09
surprise,0.33,0.12,0.62,0.2,0.2,-0.93,0,-0.13,-0.46,-10.5,0.65,0,0.05,0.25,0.12,0.2,0,0.1,-0.02,0.42,0.03,0.02,0,0.02,-0.33,-0.34,-0.18,-0.18,None,None,-0.5,-1.4,None,None,None,None,None,-3.4,-0.3,0.27,0.1,0.1,0.73,0.1,0,-0.29,-0.13,-0.29,-0.26,0.03,-0.29,-0.05,0.03,-0.09,-0.02,None,0,0.05,0.03,-0.03,0.04,0.03,0.02,-0.01,0.13,-0.07,0.08,0.07,0.07,0.05,0.02,0,0.02,0.04,0,0.05,0.03,0.06,0.01,0.02,-0.01,0.02,0.02,0.05,-0.02,0.01,0,0.02,0.02,0.02,0.03,0.01,0,0.01,0.03,0.03
surprisePercentage,49.2537,11.1111,52.5424,10.5263,9.0909,-547.0588,0,-39.3939,-287.5,-3500,260,0,11.1111,71.4286,20.6897,28.5714,0,14.2857,-1.9608,87.5,3.8961,4.1667,0,2.5641,-62.2642,-141.6667,-225,-225,None,None,-100,-466.6667,None,None,None,None,None,-3400,-300,337.5,200,125,912.5,111.1111,0,-241.6667,-144.4444,-414.2857,-2600,25,-322.2222,-166.6667,42.8571,-100,-13.3333,None,0,45.4545,300,-23.0769,57.1429,25,50,-100,118.1818,-116.6667,114.2857,175,140,83.3333,200,0,28.5714,400,0,166.6667,50,300,14.2857,28.5714,-10,28.5714,33.3333,55.5556,-20,20,0,28.5714,22.2222,100,75,14.2857,0,20,50,33.3333
startPeriod,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30
endPeriod,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,743.75,1635.0,1151.25,848.12,670.0,451.88,79.5,104.9,75.5,73.9,60.8,53.3,75.5,70.7,121.4,156.0,186.0,184.4,118.6,102.2,100.0,99.3,65.5,67.0,72.5,55.6,45.3,29.4,29.8,29.4,18.0,28.5,30.9,23.5,20.5,21.4,20.0,14.0,9.4,9.2,11.9,15.0,15.56,12.0,13.5,14.77,14.39,12.42,7.26,7.79,6.05,6.19,6.0,5.24,6.73,9.16,8.86,9.18,9.08,8.14,7.07,6.02,7.12,6.52,5.38,5.0,5.58,7.58,8.22,9.19,12.34,13.93,13.75,12.92,12.05,14.94,16.09,17.87,22.98,25.08,19.98,21.39,20.11,22.26,28.53,34.11,30.29,29.87,23.51,21.95,22.26,16.23,11.42,13.66,15.65,17.31
stockLow,150.0,386.25,306.25,460.0,271.25,33.12,35.31,40.0,41.0,35.0,40.9,39.3,40.0,50.1,57.4,110.1,111.4,104.1,85.8,46.1,66.0,62.2,50.3,49.2,50.6,37.3,27.9,18.5,19.8,12.0,10.1,17.0,18.0,15.0,15.7,13.3,9.0,5.8,6.5,6.6,6.01,9.27,9.82,9.36,10.35,12.85,10.25,7.0,4.61,5.3,4.73,4.64,4.14,4.08,4.71,6.4,6.32,6.75,6.9,6.72,4.21,4.76,4.8,3.82,3.64,2.8,3.75,3.9,5.23,6.83,7.37,10.64,9.71,8.9,9.76,11.26,11.91,13.0,14.48,17.4,16.83,5.0,12.78,14.4,18.22,22.31,23.28,21.22,18.83,14.93,12.54,10.2,8.9,9.87,12.12,13.13
