,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29,2017-07-29,2017-10-28,2018-02-03,2018-05-05,2018-08-04,2018-11-03,2019-02-02,2019-05-04,2019-08-03,2019-11-02,2020-02-01,2020-05-02,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-29,2023-07-29,2023-10-28
Cash & Equivalents,267.7,387.1,467.7,407.6,864.1,"8,115","1,303","1,107",736.1,929.7,"1,093",733.8,866.4,"1,155",693.3,400.1,"1,098",475.2,647.3,708.3,446.7,750.5,648.3,480.3,586,"1,802","1,797","1,165","1,464","1,521",767.7,754.8,"1,038","1,272",742.4,506.9,711.3,942,582.8,515.6
Short-Term Investments,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,267.7,387.1,467.7,407.6,864.1,"8,115","1,307","1,111",740.1,933.7,"1,097",737.8,870.4,"1,159",697.3,400.1,"1,098",475.2,647.3,708.3,446.7,750.5,648.3,480.3,586,"1,802","1,797","1,165","1,464","1,521",767.7,754.8,"1,038","1,272",742.4,506.9,711.3,942,582.8,515.6
Cash Growth,-33.06%,0.99%,13.05%,177.09%,222.79%,1996.23%,179.35%,172.55%,-14.35%,-88.49%,-16.02%,-33.59%,17.61%,24.12%,-36.45%,-45.77%,26.13%,-59.00%,-7.17%,77.03%,-59.31%,57.93%,0.15%,-32.19%,31.18%,140.11%,177.22%,142.60%,149.76%,-15.60%,-57.28%,-35.22%,-29.06%,-16.37%,-3.30%,-32.84%,-31.49%,-25.94%,-21.50%,1.72%
Inventory,"1,035","1,043","1,084","1,305","1,036","1,094","2,825","3,185","2,886","2,930","2,975","3,274","2,866","2,878","2,929","3,398","3,169","3,248","3,288","3,716","3,536","3,326","3,471","3,883","3,522","3,199","3,276","3,792","3,427","3,605","3,668","4,316","4,367","4,801","5,422","5,658","5,449","5,112","5,329","5,515"
Other Current Assets,75.5,107,111.5,83.6,94.8,127.6,393.1,331.8,310.3,308.9,377.1,330.7,201.8,240.8,189.4,174.7,309.2,318.6,337.3,325.6,310.6,170.1,221.6,209.1,161.4,164.9,159.6,213.5,160.2,179.5,212.7,303.7,203.6,209.3,212.7,282,206.5,213.6,245.2,271.4
Total Current Assets,"1,379","1,537","1,663","1,796","1,995","9,336","4,525","4,628","3,936","4,172","4,449","4,342","3,938","4,278","3,815","3,973","4,576","4,042","4,273","4,750","4,293","4,246","4,341","4,572","4,269","5,165","5,233","5,171","5,051","5,305","4,648","5,375","5,609","6,282","6,377","6,447","6,367","6,268","6,157","6,302"
"Property, Plant & Equipment","1,094","1,116","1,153","1,193","1,211","1,226","3,152","3,141","3,126","3,153","3,174","3,176","3,116","3,094","3,115","3,179","3,201","3,250","3,316","3,406","3,445","9,636","9,681","9,675","10,107","10,112","10,237","10,281","10,440","10,539","10,591","10,801","10,903","10,879","11,087","11,237","11,430","11,615","12,030","12,483"
Goodwill and Intangibles,169.3,169.6,171.9,170.5,165.8,167.2,"8,089","8,130","8,128","8,674","8,648","8,622","8,597","8,571","8,551","8,527","8,501","8,479","8,458","8,438","5,685","5,396","5,396","5,397","5,083","5,081","5,083","5,083","5,084","5,086","5,085","5,085","5,084","5,084","5,084","5,082","5,083","5,083","5,083","5,082"
Other Long-Term Assets,130.1,131.8,141.4,207.7,121.8,140.4,799.4,799.8,712.3,61.2,57.8,54.4,50.6,51.9,51.2,51.5,55.3,56.3,56.3,55.4,77.3,76.3,76.2,98,115.1,113.2,118.8,117.4,120.4,121.3,120.6,128.8,125.6,126.8,128.2,143.3,141.7,143.2,157.2,164.7
Total Long-Term Assets,"1,393","1,417","1,467","1,572","1,498","1,534","12,040","12,071","11,965","11,889","11,880","11,853","11,764","11,717","11,717","11,758","11,757","11,785","11,831","11,900","9,208","15,108","15,153","15,170","15,305","15,306","15,439","15,481","15,645","15,746","15,797","16,016","16,113","16,090","16,299","16,463","16,655","16,841","17,271","17,729"
Total Assets,"2,772","2,954","3,130","3,368","3,493","10,869","16,565","16,699","15,901","16,061","16,329","16,195","15,702","15,995","15,532","15,730","16,333","15,827","16,104","16,649","13,501","19,354","19,494","19,742","19,575","20,472","20,671","20,652","20,696","21,051","20,445","21,390","21,722","22,372","22,676","22,910","23,022","23,109","23,428","24,031"
Accounts Payable,393.9,447,524.2,545,433.6,515.6,"1,153","1,259","1,252","1,260","1,352","1,266","1,120","1,224","1,196","1,181","1,175","1,182","1,242","1,365","1,416","1,187","1,455","1,473","1,337","1,337","1,481","1,587","1,481","1,521","1,560","1,985","1,884","1,794","2,011","1,864","1,900","1,598","1,776","1,857"
Current Debt,12.8,0,0,0,0,0,83,95.5,108,120.5,145.5,145.8,152.1,165.9,165.9,165.9,915.9,0,0,0,0,"1,966","1,965","1,953","1,529","2,315","2,085","1,597","1,348","1,356","1,369","1,388","1,408","1,407","1,428","1,777","1,450","1,457","1,479","1,723"
Other Current Liabilities,279.6,277.5,258.8,321.5,428,499.6,837.8,806.4,735.5,668.3,683,722,834.2,850.8,722.5,692.7,768.4,735.7,665.7,770.6,679.3,826.9,673.6,754,680.7,852.3,713.2,858.6,901.6,"1,026",794.5,918.4,884.6,"1,089",940.9,"1,042",875.8,"1,087",895.3,"1,068"
Total Current Liabilities,686.3,724.5,783,866.5,861.6,"1,015","2,073","2,161","2,095","2,049","2,180","2,134","2,106","2,241","2,085","2,040","2,859","1,917","1,907","2,136","2,096","3,979","4,094","4,180","3,547","4,504","4,279","4,042","3,730","3,902","3,723","4,291","4,177","4,290","4,381","4,683","4,225","4,142","4,150","4,648"
Long-Term Debt,757,752.9,740.2,757,682.7,"7,820","8,266","8,248","7,238","7,210","7,156","6,938","6,170","6,132","5,595","5,557","4,762","5,040","5,042","5,044","4,265","8,366","8,286","8,156","8,502","8,109","8,206","8,187","8,292","8,327","8,308","8,382","8,563","8,506","8,559","8,576","8,677","8,692","8,872","8,965"
Other Long-Term Liabilities,157.9,158.7,158.6,159.1,163.4,163.5,"2,179","2,148","2,161","2,132","2,137","2,075","2,037","2,013","1,992","2,017","1,529","1,514","1,507","1,527","1,497","1,253","1,248","1,285","1,272","1,339","1,373","1,461","1,389","1,410","1,403","1,472","1,264","1,335","1,341","1,375","1,369","1,376","1,375","1,420"
Total Long-Term Liabilities,914.9,911.6,898.8,916.1,846.1,"7,983","10,445","10,396","9,399","9,342","9,293","9,013","8,206","8,145","7,587","7,574","6,291","6,554","6,549","6,571","5,763","9,619","9,534","9,441","9,773","9,447","9,579","9,649","9,680","9,737","9,711","9,854","9,827","9,841","9,899","9,951","10,045","10,067","10,247","10,385"
Total Liabilities,"1,601","1,636","1,682","1,783","1,708","8,998","12,518","12,557","11,494","11,391","11,473","11,147","10,312","10,386","9,672","9,614","9,151","8,471","8,456","8,706","7,858","13,598","13,628","13,621","13,320","13,951","13,857","13,691","13,411","13,639","13,434","14,146","14,003","14,131","14,280","14,634","14,271","14,209","14,397","15,033"
Total Debt,769.8,752.9,740.2,757,682.7,"7,820","8,349","8,344","7,346","7,330","7,301","7,084","6,322","6,298","5,761","5,723","5,678","5,040","5,042","5,044","4,265","10,332","10,251","10,109","10,031","10,424","10,291","9,784","9,640","9,683","9,677","9,770","9,970","9,913","9,987","10,353","10,127","10,149","10,350","10,688"
Debt Growth,183.74%,177.52%,174.35%,-25.77%,-11.31%,938.61%,1027.87%,1002.18%,976.08%,-6.26%,-12.54%,-15.10%,-13.95%,-14.09%,-21.10%,-19.21%,-10.18%,-19.97%,-12.48%,-11.87%,-24.88%,105.00%,103.32%,100.42%,135.18%,0.88%,0.39%,-3.21%,-3.90%,-7.11%,-5.96%,-0.14%,3.43%,2.38%,3.21%,5.97%,1.57%,2.38%,3.64%,3.24%
Common Stock,12.8,"1,318","1,448","1,585",45.1,"1,871","4,047","4,142","2,394","4,670","4,857","5,048","2,475","5,609","5,860","6,117","2,548","7,356","7,648","7,943","2,605","5,756","5,866","6,121","2,457","6,521","6,814","6,961","2,141","7,411","7,012","7,244","1,246","1,233","1,029",649.1,669.7,521.7,448.7,210.8
Retained Earnings,"1,175",-,-,-,"1,774",-,-,-,"2,056",-,-,-,"2,953",-,-,-,"4,667",-,-,-,"3,076",-,-,-,"3,838",-,-,-,"5,180",-,-,-,"6,508","7,044","7,404","7,671","8,123","8,422","8,622","8,834"
Comprehensive Income,-16.9,0,0,0,-34.1,0,0,0,-43.1,0,0,0,-37.6,0,0,0,-32.3,0,0,0,-38.3,0,0,0,-39.8,0,0,0,-35.2,0,0,0,-35.2,-35.3,-36.3,-44.6,-41.2,-44,-40.1,-47
Shareholders' Equity,"1,171","1,318","1,448","1,585","1,785","1,871","4,047","4,142","4,407","4,670","4,857","5,048","5,390","5,609","5,860","6,117","7,182","7,356","7,648","7,943","5,643","5,756","5,866","6,121","6,255","6,521","6,814","6,961","7,285","7,411","7,012","7,244","7,719","8,242","8,397","8,275","8,752","8,900","9,031","8,998"
Net Cash / Debt,-502.1,-365.8,-272.5,-349.4,181.4,294.8,"-7,042","-7,232.6","-6,606.3","-6,396.6","-6,204","-6,346","-5,451.4","-5,138.7","-5,063.6","-5,322.8","-4,580.2","-4,564.9","-4,394.5","-4,335.5","-3,818.6","-9,581.8","-9,602.7","-9,628.5","-9,445","-8,621.5","-8,493.3","-8,618.7","-8,176.3","-8,161.8","-8,909.1","-9,015.3","-8,932","-8,640.8","-9,244.7","-9,846.1","-9,415.2","-9,206.6","-9,767.5","-10,172.7"
Net Cash Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-44.15,-,-,-,-46.41
Working Capital,692.2,812.5,880.2,929.6,"1,133","8,320","2,451","2,467","1,841","2,123","2,269","2,208","1,832","2,038","1,731","1,933","1,717","2,125","2,365","2,614","2,198",266.8,246.8,392.6,722.9,661.2,953.7,"1,129","1,321","1,403",925.4,"1,083","1,433","1,992","1,997","1,764","2,142","2,126","2,007","1,654"
Book Value Per Share,5.63,6.39,7.00,7.71,8.68,9.09,19.63,17.65,18.77,19.86,20.61,21.41,22.83,23.74,24.76,25.82,30.29,30.99,32.16,33.39,23.71,24.16,24.69,25.87,26.43,27.54,28.72,29.33,30.98,31.75,30.23,32.21,34.31,36.61,37.39,37.24,39.57,40.23,40.98,41.11
