,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,14.5,16.2,11,56.9,97.6,54.8,139.2,5.8,4.8,6.5,84.7,8.2,8.4,7.3,9.2,27.9,19.1,5,239.7,20.9,10.1,170.2,193.7,16,55.2,208.1,189,54,14,15,20,39,67,19,344,20,157,13,206,62
Cash & Cash Equivalents,14.5,16.2,11,56.9,97.6,54.8,139.2,5.8,4.8,6.5,84.7,8.2,8.4,7.3,9.2,27.9,19.1,5,239.7,20.9,10.1,170.2,193.7,16,55.2,208.1,189,54,14,15,20,39,67,19,344,20,157,13,206,62
Cash Growth,-72.85%,40.87%,-37.85%,480.61%,573.10%,238.27%,1165.45%,-89.81%,-95.08%,-88.14%,-39.15%,41.38%,75.00%,12.31%,-89.14%,240.24%,127.38%,-31.51%,2505.43%,-25.09%,-47.12%,3304.00%,-19.19%,-23.44%,446.53%,22.27%,-2.43%,237.50%,-74.64%,-92.79%,-89.42%,-27.78%,378.57%,26.67%,1620.00%,-48.72%,134.33%,-31.58%,-40.12%,210.00%
Receivables,184.9,163.4,148.9,427.3,361.6,297.3,427.3,397.6,390.6,316.3,491.5,493.3,424.9,424.9,336.1,482.8,343.2,415,465.3,350.4,417.9,421.5,451.5,402,396.4,386.5,399,412,325,377,392,440,481,490,509,516,428,428,486,475
Inventory,151,172.8,204.2,223.8,167.4,185.2,211.5,223.5,197.2,209.1,219.9,222.3,187.7,201.6,220.6,222.4,202.8,200.1,211.1,211.8,168,205.8,224.1,227,220.6,221.8,223,217,204,208,218,246,185,240,299,325,282,305,327,343
Other Current Assets,585.8,657.7,598.2,335.1,286.6,506.6,309.7,199.9,175.9,170.4,162,153.3,128.8,180.9,185.6,172,160.8,185.8,208.7,202,219.2,229.8,243.7,231,240,227.9,222,204,212,299,385,344,359,559,541,389,325,392,353,392
Total Current Assets,936.2,"1,010",962.3,"1,043",913.2,"1,044","1,088",826.8,768.5,702.3,958.1,877.1,749.8,814.7,751.5,905.1,725.9,805.9,"1,125",785.1,815.2,"1,027","1,113",876,912.2,"1,044","1,033",887,755,899,"1,015","1,069","1,092","1,308","1,693","1,250","1,192","1,138","1,372","1,272"
"Property, Plant & Equipment","8,426","8,566","8,764","8,938","9,050","9,174","9,367","9,519","9,627","9,846","9,920","10,279","10,449","10,608","10,931","11,235","11,440","11,696","12,005","12,462","12,665","12,854","13,131","13,527","13,685","13,936","14,199","14,336","14,353","14,540","14,738","14,987","15,192","15,453","15,858","16,247","16,396","16,306","16,633","17,157"
Long-Term Investments,332.9,338.6,343.3,344.9,343.9,349.9,353.1,346.3,323.5,324.8,329.6,337.6,346.8,354.5,458.6,396.1,414.7,420.5,424,431.3,433.6,443.3,453,468,469.5,473.2,478,485,494,506,514,517,533,546,551,559,569,584,594,602
Other Long-Term Assets,"1,422","1,472","1,525","1,737","1,773","1,745","1,751","1,803","1,816","1,812","1,821","1,880","1,920","1,966","1,974","1,652","1,662","1,693","1,716","1,747","1,799","1,797","1,836","1,830","1,812","1,816","1,830","2,002","1,992","1,994","2,062","1,980","2,022","2,084","2,103","2,107","2,083","2,355","2,305","2,206"
Total Long-Term Assets,"10,181","10,377","10,632","11,020","11,166","11,268","11,471","11,668","11,767","11,983","12,071","12,497","12,715","12,929","13,363","13,283","13,516","13,809","14,145","14,641","14,898","15,094","15,420","15,825","15,967","16,225","16,507","16,823","16,839","17,040","17,314","17,484","17,747","18,083","18,512","18,913","19,048","19,245","19,532","19,965"
Total Assets,"11,117","11,387","11,594","12,064","12,080","12,312","12,559","12,495","12,535","12,685","13,029","13,374","13,465","13,743","14,115","14,188","14,242","14,615","15,270","15,426","15,713","16,122","16,533","16,701","16,879","17,270","17,540","17,710","17,594","17,939","18,329","18,553","18,839","19,391","20,205","20,163","20,240","20,383","20,904","21,237"
Accounts Payable,388.1,475.6,471.1,427.9,356.9,374.9,438.3,402.4,323.8,353,365.1,445.3,369.5,381.1,478.1,477.3,363.1,431.1,498.1,543.3,387.7,422.5,497.7,422,375.4,429.9,417,377,307,392,361,436,383,584,786,756,518,585,604,611
Current Debt,580.1,816.9,846.6,324.3,224.5,154.4,112.1,473.2,526.8,534.6,552.3,248.7,307.4,373.8,590.5,"1,271","1,287",438.6,642.9,697.7,771.2,"1,097","1,006",994,627.7,192.8,429,397,644,843,699,"1,148",609,"1,132","1,041","1,050",918,850,910,"1,284"
Other Current Liabilities,416,440.7,424.2,462.5,441.7,462.2,440.4,483.7,497.9,485.6,452.3,468,488.1,453.3,401.5,400.8,423.3,387.7,407.3,403.1,428.8,429.2,578,638,647.1,598.2,449,523,457,404,497,470,529,560,595,557,472,458,421,409
Total Current Liabilities,"1,384","1,733","1,742","1,215","1,023",991.5,990.8,"1,359","1,349","1,373","1,370","1,162","1,165","1,208","1,470","2,149","2,074","1,257","1,548","1,644","1,588","1,949","2,082","2,054","1,650","1,221","1,295","1,297","1,408","1,639","1,557","2,054","1,521","2,276","2,422","2,363","1,908","1,893","1,935","2,304"
Long-Term Debt,"2,981","2,830","2,800","3,584","3,607","3,717","3,856","3,522","3,523","3,588","3,817","4,316","4,316","4,354","4,255","4,011","4,057","5,128","5,248","5,246","5,362","5,438","5,535","5,533","5,834","6,572","6,574","6,769","6,471","6,468","6,692","6,735","7,383","6,981","7,570","7,668","8,132","8,186","8,429","8,225"
Other Long-Term Liabilities,"3,219","3,284","3,415","3,624","3,651","3,782","3,766","3,690","3,699","3,734","3,784","3,834","3,887","3,931","4,036","3,646","3,680","3,679","3,703","3,750","3,881","3,835","3,747","3,709","3,693","3,728","3,762","3,756","3,749","3,813","3,895","3,774","3,858","3,968","3,948","3,856","3,872","3,852","3,814","3,931"
Total Long-Term Liabilities,"6,199","6,114","6,215","7,208","7,258","7,499","7,622","7,212","7,222","7,322","7,600","8,150","8,203","8,285","8,291","7,657","7,737","8,807","8,951","8,996","9,243","9,273","9,282","9,242","9,526","10,301","10,336","10,525","10,220","10,281","10,587","10,509","11,241","10,949","11,518","11,524","12,004","12,038","12,243","12,156"
Total Liabilities,"7,584","7,848","7,957","8,423","8,281","8,491","8,613","8,571","8,570","8,695","8,970","9,312","9,368","9,493","9,761","9,806","9,810","10,064","10,499","10,640","10,831","11,222","11,364","11,296","11,177","11,521","11,631","11,822","11,628","11,920","12,144","12,563","12,762","13,225","13,940","13,887","13,912","13,931","14,178","14,460"
Total Debt,"3,561","3,647","3,646","3,909","3,831","3,872","3,968","3,995","4,050","4,123","4,369","4,564","4,624","4,728","4,846","5,282","5,344","5,566","5,891","5,944","6,133","6,535","6,542","6,527","6,462","6,765","7,003","7,166","7,115","7,311","7,391","7,883","7,992","8,113","8,611","8,718","9,050","9,036","9,339","9,509"
Debt Growth,5.76%,8.34%,7.54%,8.10%,7.60%,6.17%,8.83%,2.22%,5.70%,6.49%,10.11%,14.24%,14.17%,14.68%,10.90%,15.71%,15.58%,17.72%,21.58%,12.54%,14.77%,17.41%,11.04%,9.81%,5.35%,3.52%,7.05%,9.79%,10.11%,8.07%,5.54%,10.01%,12.33%,10.97%,16.51%,10.59%,13.24%,11.38%,8.45%,9.07%
Common Stock,"1,500","1,500","1,501","1,501","1,624","1,642","1,649","1,656","1,666","1,675","1,679","1,685","1,691","1,822","1,830","1,837","1,843","1,938","2,031","2,038","2,093","2,101","2,229","2,438","2,667","2,675","2,684","2,695","2,704","2,714","2,725","2,740","2,741","2,750","2,757","2,767","2,770","2,843","2,972","3,020"
Retained Earnings,"1,832","1,838","1,935","1,938","1,974","1,979","2,097","2,069","2,099","2,116","2,181","2,177","2,206","2,229","2,325","2,346","2,389","2,413","2,540","2,546","2,587","2,598","2,739","2,766","2,834","2,874","3,026","2,994","3,063","3,106","3,261","3,250","3,336","3,387","3,508","3,509","3,559","3,606","3,750","3,756"
Comprehensive Income,-0.2,-0.2,-0.2,-0.6,-0.6,-0.6,-0.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,0.1,-0.2,1.7,2.4,1,1,1,2,-0.6,-1,-1,-1,-1,-1,0,0,0,0,0,-1,3,4,1
Shareholders' Equity,"3,332","3,337","3,436","3,439","3,597","3,621","3,745","3,724","3,765","3,790","3,859","3,862","3,897","4,050","4,154","4,182","4,232","4,351","4,570","4,586","4,682","4,700","4,969","5,205","5,502","5,548","5,709","5,688","5,766","5,819","5,985","5,990","6,077","6,137","6,265","6,276","6,328","6,452","6,726","6,777"
Net Cash / Debt,"-3,546.2","-3,630.6","-3,635.1","-3,851.7","-3,733.6","-3,817","-3,828.7","-3,989.6","-4,044.7","-4,116.5","-4,284.5","-4,556.1","-4,615.1","-4,720.8","-4,836.4","-5,253.6","-5,324.8","-5,561.1","-5,651.4","-5,923.1","-6,123.3","-6,365.2","-6,347.8","-6,511","-6,406.4","-6,557.1","-6,814","-7,112","-7,101","-7,296","-7,371","-7,844","-7,925","-8,094","-8,267","-8,698","-8,893","-9,023","-9,133","-9,447"
Net Cash Per Share,-16.00,-16.38,-16.40,-17.35,-16.80,-16.87,-16.91,-17.61,-17.83,-18.13,-18.86,-20.04,-20.28,-20.61,-20.94,-22.72,-23.01,-23.97,-24.03,-25.13,-25.88,-26.73,-26.46,-26.97,-26.19,-26.25,-27.26,-28.39,-28.36,-29.11,-29.39,-31.25,-31.59,-32.23,-32.90,-34.58,-35.37,-35.82,-35.99,-36.90
Working Capital,-448,-723.1,-779.6,-171.6,-109.9,52.4,96.9,-532.5,-580,-670.9,-411.6,-284.9,-415.2,-393.5,-718.6,"-1,243.9","-1,347.6",-451.5,-423.5,-859,-772.5,-921.7,-969.1,"-1,178",-738,-176.6,-262,-410,-653,-740,-542,-985,-429,-968,-729,"-1,113",-716,-755,-563,"-1,032"
Book Value Per Share,15.03,15.06,15.50,15.49,16.19,16.01,16.54,16.43,16.60,16.70,16.98,16.98,17.12,17.69,17.98,18.09,18.29,18.75,19.43,19.46,19.80,19.79,20.78,21.61,22.51,22.23,22.86,22.76,23.06,23.26,23.91,23.94,24.25,24.46,24.96,24.98,25.19,25.63,26.53,26.50
