,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,400,307,329,409,294,296,530,309,275,283,263,303,300,308,299,325,325,382,348,673,415,452,"8,441","1,028",893,896,869,937,906,831,841,933,835,863,883,893,902,"1,046","1,082","1,349"
Cash & Cash Equivalents,400,307,329,409,294,296,530,309,275,283,263,303,300,308,299,325,325,382,348,673,415,452,"8,441","1,028",893,896,869,937,906,831,841,933,835,863,883,893,902,"1,046","1,082","1,349"
Cash Growth,11.73%,-13.76%,2.81%,27.41%,-26.50%,-3.58%,61.09%,-24.45%,-6.46%,-4.39%,-50.38%,-1.94%,9.09%,8.83%,13.69%,7.26%,8.33%,24.03%,16.39%,107.08%,27.69%,18.32%,2325.57%,52.75%,115.18%,98.23%,-89.71%,-8.85%,1.46%,-7.25%,-3.22%,-0.43%,-7.84%,3.85%,4.99%,-4.29%,8.02%,21.21%,22.54%,51.06%
Receivables,751,752,730,748,798,765,746,783,802,805,812,830,902,861,845,898,997,878,932,949,"1,049","1,044",989,"2,653","2,782","2,582","2,512","2,323","2,482","2,617","2,663","2,793","2,860","2,911","3,194","3,303","3,585","3,340","3,465","3,461"
Other Current Assets,421,488,466,422,352,437,438,439,429,388,411,467,526,446,488,647,653,508,524,716,760,779,779,"14,310","13,371","9,455","14,101","10,765","12,831","12,992","14,223","14,699","15,175","14,669","16,204","15,679","23,057","15,903","16,897","23,771"
Total Current Assets,"1,572","1,547","1,525","1,579","1,444","1,498","1,714","1,531","1,506","1,476","1,486","1,600","1,728","1,615","1,632","1,870","1,975","1,768","1,804","2,338","2,224","2,275","10,209","17,991","17,046","12,933","17,482","14,025","16,219","16,440","17,727","18,425","18,870","18,443","20,281","19,875","27,544","20,289","21,444","28,581"
"Property, Plant & Equipment",266,284,300,304,317,338,382,397,396,401,394,403,405,400,396,385,390,375,374,385,398,409,418,"1,639","1,606","1,708","1,688","1,630","1,628","1,646","1,650","1,717","1,742","1,729","1,804","1,924","1,958","2,002","2,023","2,122"
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,"2,618","2,720","2,814","2,763","2,772","2,756","3,037","2,590","2,602","2,561","2,579","2,517","2,390","2,403","2,362","2,316","2,259"
Goodwill and Intangibles,"7,358","7,316","7,287","7,254","7,212","7,178","7,144","7,107","7,072","7,289","7,273","7,243","7,206","7,270","7,242","7,500","7,472","7,309","7,289","7,252","7,845","7,820","7,804","53,254","53,680","52,699","52,724","51,557","51,680","51,375","51,379","50,571","50,442","49,980","49,845","48,697","49,226","49,011","48,888","48,275"
Other Long-Term Assets,317,326,291,301,335,321,348,352,366,386,377,391,404,411,415,444,452,715,751,773,730,"1,172","1,209","2,362","2,487","2,444","2,436","2,388","2,336","2,342","2,430","2,452","2,634","2,739","2,765","2,754","2,738","2,884","2,928","2,917"
