,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,51.49,45.14,45.61,309.99,20.95,13.95,15.23,8.77,0.51,579.32,517.49,501.19,498.54,537.49,516.53,510.26,480.05,964.93,740.99,316.08,2.29,314.89,241.39,82.32,213.78,214.44,128.74,11.75,152,185.24,168.91,86.25,"1,046","1,457","1,069",788,683,983,850,856
Short-Term Investments,3.02,0,0,0,137.6,134.04,76.18,48.45,0,18.99,0,0,0,0,0,0,0,5.55,0,0,57.67,14.25,61.19,25.7,0.03,16.09,40.64,0,26,9.57,0,0,7,0,0,8,146,184,88,37
Cash & Cash Equivalents,54.51,45.14,45.61,309.99,158.56,147.99,91.41,57.22,0.51,598.31,517.49,501.19,498.54,537.49,516.53,510.26,480.05,970.48,740.99,316.08,59.95,329.14,302.59,108.02,213.81,230.52,169.38,11.75,178,194.81,168.91,86.25,"1,053","1,457","1,069",796,829,"1,167",938,893
Cash Growth,-33.16%,82.98%,-60.99%,265.71%,190.86%,227.82%,100.41%,-81.54%,-99.68%,304.29%,466.13%,775.94%,96892.61%,-10.17%,-0.18%,1.81%,-3.71%,80.56%,43.46%,-38.06%,-87.51%,-66.09%,-59.16%,-65.83%,256.64%,-29.96%,-44.02%,-89.12%,-16.75%,-15.49%,-0.27%,634.18%,491.57%,647.90%,532.87%,822.89%,-21.27%,-19.90%,-12.25%,12.19%
Receivables,222.48,245.07,212.1,191.27,235.4,185.28,138.35,119.74,120.23,100.87,118.05,121.3,191.05,192.78,177.34,161.69,216,170,180.55,222.83,362.4,220.73,183.38,159.24,209.02,135.7,117.92,136.74,215,197.84,182.7,284.71,"1,037","1,094","1,525","1,419","1,221",775,604,727
Inventory,17.47,10.39,11.91,13.73,14.03,14.09,20.42,18.28,17.05,15.95,14.99,13.49,13.3,12.1,11.08,13,8.01,12.45,20.47,12.48,11.08,18.28,19.38,18.2,13.93,18.25,17.95,14.93,15,15.87,17.4,12.78,39,41,46,57,63,56,65,64
Other Current Assets,84.44,73.22,36.47,72.96,5.47,2.05,4.81,20.18,6.99,5.56,8.72,19.66,12.99,5.95,30.87,33.09,60.9,83.19,45.4,68.48,111.11,112.05,125.99,136.23,131.48,157.32,158.69,159.14,8,3.39,27.06,58.98,7,5,192,78,98,7,33,29
Total Current Assets,378.9,373.83,306.1,587.95,413.45,349.4,254.99,215.42,144.79,720.69,659.24,655.65,715.88,748.31,735.82,718.03,764.96,"1,236",987.41,619.86,544.55,680.19,631.33,421.68,568.25,541.79,463.93,322.55,416,411.92,396.07,442.72,"2,136","2,597","2,832","2,350","2,211","2,005","1,640","1,713"
"Property, Plant & Equipment","4,546","4,711","4,826","5,130","4,926","5,059","5,133","5,141","4,977","4,838","4,763","4,723","4,250","4,328","4,203","4,235","3,072","3,146","3,225","3,366","3,464","3,575","3,700","3,788","3,856","3,920","4,002","4,035","4,045","4,075","4,151","4,226","17,375","17,346","17,407","17,429","17,479","17,682","17,801","17,928"
Long-Term Investments,26.89,0,49.85,57.5,68.03,74.53,81.08,93.41,103.52,117.18,123.62,127.9,129.52,135.98,140.58,148.92,88.32,126.26,151.4,159.18,163.18,163.96,166.14,169.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
