,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Current Liabilities,"7,014","10,477","9,948","8,762","9,540","10,162","7,480","6,487","5,831","5,352","4,180","2,583","2,068","11,578","10,422","10,502","10,878","13,153","11,027","11,155","11,667","17,316","12,501","13,361","15,316","16,851","14,745","15,942","18,016","21,281","21,432","20,429","22,809","24,925","23,643","22,741","24,540","26,994","26,741","27,996"
Total Current Liabilities,"33,903","45,625","44,694","47,415","40,748","49,647","49,399","42,643","44,354","59,357","58,810","70,787","52,005","55,745","51,615","58,099","46,133","58,488","56,277","50,318","53,861","69,420","58,118","59,640","58,707","72,310","70,056","67,486","72,193","88,657","80,528","77,510","77,439","95,082","87,389","81,718","85,691","104,149","124,792","121,016"
Long-Term Debt,"20,679","20,645","18,472","18,260","27,644","27,808","27,819","40,679","40,896","40,557","60,154","59,306","76,222","81,445","82,023","78,988","79,231","77,810","75,385","75,336","72,557","72,850","73,137","70,533","70,110","67,249","64,808","64,011","59,279","59,703","60,089","59,034","59,534","58,521","57,034","56,117","54,277","54,718","55,433","59,083"
Other Long-Term Liabilities,"14,113","16,330","16,320","17,294","18,159","16,934","18,233","19,996","21,813","21,557","23,188","25,708","27,061","25,411","25,812","40,556","40,894","39,832","39,990","41,077","41,999","41,956","41,639","42,512","42,131","43,448","42,745","42,404","42,902","43,431","42,823","43,835","44,710","44,695","41,795","43,581","45,437","46,886","44,846","52,191"
Total Long-Term Liabilities,"34,792","36,975","34,792","35,554","45,803","44,742","46,052","60,675","62,709","62,114","83,342","85,014","103,283","106,856","107,835","119,544","120,125","117,642","115,375","116,413","114,556","114,806","114,776","113,045","112,241","110,697","107,553","106,415","102,181","103,134","102,912","102,869","104,244","103,216","98,829","99,698","99,714","101,604","100,279","111,274"
Total Liabilities,"68,695","82,600","79,486","82,969","86,551","94,389","95,451","103,318","107,063","121,471","142,152","155,801","155,288","162,601","159,450","177,643","166,258","176,130","171,652","166,731","168,417","184,226","172,894","172,685","170,948","183,007","177,609","173,901","174,374","191,791","183,440","180,379","181,683","198,298","186,218","181,416","185,405","205,753","225,071","232,290"
Total Debt,"22,679","22,645","23,720","28,308","31,868","35,292","38,567","44,429","46,394","53,461","74,690","84,970","84,008","91,566","91,243","94,900","82,908","81,808","81,882","78,852","79,072","78,366","76,154","76,780","73,858","70,998","71,305","69,398","67,330","67,775","63,338","64,032","61,283","61,270","60,282","60,114","60,522","59,965","84,989","88,374"
Debt Growth,59.77%,45.16%,48.88%,23.21%,40.52%,55.85%,62.59%,56.95%,45.58%,51.48%,93.66%,91.25%,81.08%,71.28%,22.16%,11.69%,-1.31%,-10.66%,-10.26%,-16.91%,-4.63%,-4.21%,-7.00%,-2.63%,-6.59%,-9.40%,-6.37%,-9.61%,-8.84%,-4.54%,-11.17%,-7.73%,-8.98%,-9.60%,-4.82%,-6.12%,-1.24%,-2.13%,40.99%,47.01%
Common Stock,"67,803","68,366","68,362","68,765","68,475","68,465","68,093","68,279","68,012","68,178","67,747","68,177","68,554","69,315","69,419","70,192","70,418","71,223","71,303","77,556","77,791","78,520","78,882","79,625","79,813","80,552","81,089","81,896","82,308","83,111","83,751","84,528","85,767","86,939","88,535","90,225","92,093","93,718","95,508","97,480"
Retained Earnings,"16,289","17,710","18,051","19,731","18,186","9,096","7,614","6,728","4,954","2,282",944,120,531,"17,769","19,702","8,567","9,974","13,682","17,279","16,585","18,338","24,150","27,240","30,739","32,012","34,566","39,193","44,973","50,735","57,055","66,944","75,045","79,633","84,281","92,374","99,368","108,234","118,848","132,143","145,737"
Comprehensive Income,"3,332","3,708","3,757","3,383","3,471","2,522","1,738","1,773","1,840","1,537","1,681",512,644,627,526,-399,"-1,153","-2,187","-2,615","-2,013","-1,265",-340,-61,-255,"2,676","3,186","3,110","3,367","1,462","1,822","1,283",437,"-2,476","-4,678","-7,343","-6,457","-5,644","-6,343","-6,937","-4,949"
Shareholders' Equity,"87,424","89,784","90,170","91,879","90,132","80,083","77,445","76,780","74,806","71,997","70,372","68,809","69,729","87,711","89,647","78,360","79,239","82,718","85,967","92,128","94,864","102,330","106,061","110,109","114,501","118,304","123,392","130,236","134,505","141,988","151,978","160,010","162,924","166,542","173,566","183,136","194,683","206,223","220,714","238,268"
Net Cash / Debt,"65,746","63,064","65,473","61,941","63,570","61,234","60,788","58,211","59,158","59,779","62,242","37,811","42,010","41,415","47,228","47,880","49,362","51,960","53,998","48,810","52,546","55,453","60,482","57,473","63,768","65,529","66,672","62,570","58,077","62,559","67,277","61,337","43,410","43,487","46,980","39,394","43,905","51,297","58,962","-7,357"
Net Cash / Debt Growth,9.05%,2.67%,1.13%,1.60%,-3.31%,-2.90%,-7.16%,-6.02%,-6.94%,-2.38%,2.39%,-35.04%,-28.99%,-30.72%,-24.12%,26.63%,17.50%,25.46%,14.33%,1.94%,6.45%,6.72%,12.01%,17.75%,21.36%,18.17%,10.23%,8.87%,-8.92%,-4.53%,0.91%,-1.97%,-25.25%,-30.49%,-30.17%,-35.77%,1.14%,17.96%,25.50%,-
Net Cash Per Share,7.86,7.54,7.84,7.47,7.72,7.53,7.52,7.23,7.41,7.54,7.90,4.83,5.38,5.30,6.06,6.21,6.33,6.68,6.95,6.28,6.79,7.17,7.84,7.47,8.31,8.56,8.73,8.22,7.64,8.25,8.89,8.12,5.76,5.80,6.28,5.27,5.88,6.87,7.90,-0.99
Working Capital,"75,103","68,621","67,745","68,947","77,650","73,150","72,257","85,169","84,067","80,303","99,099","74,162","94,308","106,951","109,416","109,534","110,526","111,174","107,918","106,556","106,026","106,132","107,778","107,434","111,798","109,605","107,021","106,487","93,421","95,749","93,798","96,678","76,483","74,602","73,423","76,105","78,198","80,108","82,794","26,377"
Book Value Per Share,10.55,10.89,10.93,11.17,11.04,9.93,9.69,9.64,9.47,9.18,9.04,8.87,9.03,11.37,11.63,10.16,10.29,10.77,11.20,11.98,12.37,13.37,13.89,14.45,15.06,15.60,16.31,17.24,17.84,18.87,20.23,21.32,21.74,22.29,23.28,24.58,26.16,27.74,29.71,32.06
